artifact_id,file_name,primary_key_columns,primary_key,column_name,comparison_type,current_row_count,historical_row_count,mismatch_count,maximum_absolute_difference,maximum_relative_difference,historical_value_numeric,current_value_numeric,absolute_difference,relative_difference,diagnostic_reason,absolute_tolerance,relative_tolerance,pass_flag,stage7_1_stable_code_identity_hash
fim_operating_points,fim_operating_points.csv,eta0,,strongest_fixed_baseline,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_operating_points,fim_operating_points.csv,eta0,,decision_status,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,__PRIMARY_KEY__,EXACT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,subset_id,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,elevation_mask_integer,EXACT_NUMERIC,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,azimuth_mask_integer,EXACT_NUMERIC,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,I_e_global,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,I_a_global,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,sequential_channel_ids,EXACT_TEXT,3,3,0,NaN,NaN,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,B_e,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
fim_greedy_exact_gap,fim_greedy_exact_gap.csv,eta0,,B_a,NUMERIC_ABS_OR_REL,3,3,0,0,0,NaN,NaN,NaN,NaN,,1e-12,1e-10,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
