scenario_id,element_snr_db,method_id,subset_id,n_trials,oracle_k_success_rate,Wilson_95_low,Wilson_95_high,azimuth_rmse_all_trials,elevation_rmse_all_trials,pair_rmse_all_trials,unconditional_penalized_error,wrong_local_peak_rate,paired_success_difference,paired_success_difference_95_low,paired_success_difference_95_high,paired_error_difference,paired_error_difference_95_low,paired_error_difference_95_high,diagnostic_status,stage7_1_stable_code_identity_hash
H0057,5,GREEDY_ETA_080,RECT_E28_A31,200,0.66,0.591884955268363,0.722084540290912,0.0442400498471131,0.153937408657067,0.160168373265536,0.262870689888655,0,0,-0.0310675177390447,0.0310675177390447,-0.000730376166023582,-0.0171843828885101,0.0157236305564629,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,5,FULL_PARENT_5X5,RECT_E31_A31,200,0.655,0.586755892590537,0.717402056232511,0.0453899221808974,0.151951378915144,0.158585833509181,0.264753901125612,0,-0.005,-0.0521111018672057,0.0421111018672057,0.00115283507093351,-0.0240640791175051,0.0263697492593721,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,10,FIXED_RECT_3X5,RECT_E14_A31,200,0.7,0.633209316272807,0.759252553176286,0.0376284753287886,0.117948496451482,0.123805290560358,0.231972081972518,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,10,GREEDY_ETA_080,RECT_E28_A31,200,0.72,0.654076954133493,0.77763110226051,0.037332515808128,0.115135110150743,0.121036400830444,0.220332257538171,0,0.02,-0.0215887203454352,0.0615887203454352,-0.0116398244343462,-0.035553959690169,0.0122743108214766,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,10,FULL_PARENT_5X5,RECT_E31_A31,200,0.715,0.648846539703948,0.773049969953827,0.0375300814800725,0.116110621605381,0.122025339440171,0.223530792985845,0,0.015,-0.0320701089493999,0.0620701089493999,-0.00844128898667305,-0.0356326247301106,0.0187500467567645,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.7,0.633209316272807,0.759252553176286,0.25831182706179,0.12678722333106,0.287749891398763,0.302337713102542,0.145,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,0,GREEDY_ETA_080,RECT_E28_A31,200,0.695,0.628014479020216,0.754635843692649,0.255538646783613,0.12678722333106,0.285263036511918,0.303365711582826,0.14,-0.005,-0.0404156075858707,0.0304156075858707,0.00102799848028327,-0.0147614567541154,0.0168174537146819,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.69,0.62282822433742,0.750010551639219,0.246424430607032,0.125698050899766,0.276631523872461,0.307753799779014,0.11,-0.01,-0.0600755961591502,0.0400755961591502,0.0054160866764717,-0.0178634221764887,0.028695595529432,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,5,FIXED_RECT_3X5,RECT_E14_A31,200,0.72,0.654076954133493,0.77763110226051,0.190918830920368,0.113907857498945,0.222317340754157,0.286658395788246,0.025,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0286,5,GREEDY_ETA_080,RECT_E28_A31,200,0.755,0.690957564437966,0.809431319109628,0.192418814048938,0.112361025271221,0.222822799551572,0.274885379022602,0.03,0.035,-8.70444020752426e-05,0.0700870444020752,-0.0117730167656447,-0.0279108197794891,0.00436478624819964,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
