metric,value,unit,status,pass_flag,fixed_measurement_hash,theory_status_detail,physical_null_status,stage6_controls_hash,stage6_experiment_plan_hash,phase_factor,theory_status,prior_art_status
stage5_frozen_hash_mismatch_count,0,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
step11_frozen_file_count,351,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
step11_frozen_hash_mismatch_count,0,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
receive_manifold_evaluation_count,6813,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
secant_svd_count,1296,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
metric_eigendecomposition_count,90,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
derivative_evaluation_count,225,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
direct_identical_prior_art_found_flag,0,boolean,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
stage6_overall_pass,1,boolean,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
result_data_volume_bytes,2782042,byte,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
figure_volume_bytes,371540,byte,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
figure_count,7,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
