subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E02_A07,2,7,2,1;2;3,2;7;12,1,3,3,2080,195,2275,3,48,99840,33328,130,2.23687879049051e-10,1.51220203895165e-05,7.15950645061683e-10,2.23688174221095e-10,D0167,V0234,H0085,3,2,4,0,0.2209663,0.2209663,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A08,2,8,2,4,17,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1289205,0.1289205,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E02_A09,2,9,2,1;4,2;17,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2276248,0.2276248,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A10,2,10,2,2;4,7;17,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2294363,0.2294363,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A11,2,11,2,1;2;4,2;7;17,1,3,3,2080,195,2275,3,48,99840,33328,130,2.06410931237075e-10,1.76869938423321e-05,5.61394572729823e-10,2.06410909641408e-10,D0167,V0234,H0085,3,2,4,0,0.2242413,0.2242413,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A12,2,12,2,3;4,12;17,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2249308,0.2249308,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A13,2,13,2,1;3;4,2;12;17,1,3,3,2080,195,2275,3,48,99840,33328,130,2.12865094601247e-10,2.02235176801582e-05,3.30654390471579e-11,2.12864965975575e-10,D0167,V0234,H0129,3,2,4,0,0.2247178,0.2247178,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A14,2,14,2,2;3;4,7;12;17,1,3,3,2080,195,2275,3,48,99840,33328,130,2.43221586017163e-10,2.38049256711689e-05,5.82509454737405e-10,2.43221562946447e-10,D0167,V0234,H0129,3,2,4,0,0.2259534,0.2259534,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A15,2,15,2,1;2;3;4,2;7;12;17,1,4,4,2080,260,2340,4,64,133120,33344,195,4.29595507008961e-08,2.77592812332958e-05,5.49902507884401e-08,4.6966239517779e-08,D0318,V0042,H0085,4,2,4,0,0.2250047,0.2250047,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E02_A16,2,16,2,5,22,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1302122,0.1302122,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E02_A17,2,17,2,1;5,2;22,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2204146,0.2204146,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A18,2,18,2,2;5,7;22,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2205104,0.2205104,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A19,2,19,2,1;2;5,2;7;22,1,3,3,2080,195,2275,3,48,99840,33328,130,2.10034234830605e-10,2.01021854535234e-05,4.48845778879429e-10,2.19899146701069e-10,D0168,V0234,H0085,3,2,4,0,0.2257743,0.2257743,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A20,2,20,2,3;5,12;22,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2254497,0.2254497,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E02_A21,2,21,2,1;3;5,2;12;22,1,3,3,2080,195,2275,3,48,99840,33328,130,2.33400665885486e-10,2.22166611308964e-05,0,2.3463748358383e-10,D0168,V0234,H0053,3,2,4,0,0.2236878,0.2236878,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A22,2,22,2,2;3;5,7;12;22,1,3,3,2080,195,2275,3,48,99840,33328,130,2.59127597148411e-10,2.03329146386563e-05,6.82549385781214e-10,2.59127692584725e-10,D0175,V0054,H0085,3,2,4,0,0.2263091,0.2263091,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E02_A23,2,23,2,1;2;3;5,2;7;12;22,1,4,4,2080,260,2340,4,64,133120,33344,195,1.34354539974243e-07,2.5836049767972e-05,6.34442453090507e-08,1.46053464584119e-07,D0064,V0186,H0085,4,2,4,0,0.2527645,0.2527645,FIM_SCENARIO_VALID,2,2,1184,2368,2.059765625e-06
RECT_E02_A24,2,24,2,4;5,17;22,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.3057644,0.3057644,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
