scenario_id,data_split,center_az_deg,center_el_deg,direction_az_component,direction_el_component,separation_deg,target1_az_deg,target1_el_deg,target2_az_deg,target2_el_deg,source_profile_id,L,secondary_power_db,correlation_magnitude,correlation_phase_rad,noise_covariance_id,registered_domain_pass,holdout_seed,sampling_rule
D0060,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0061,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0062,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0063,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0064,DESIGN,8,10,0,1,0.4,8,9.8,8,10.2,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0065,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0066,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0067,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0068,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0069,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0070,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P2,4,0,0.9,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0071,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P3,4,-6,0.9,1.5707963267949,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0072,DESIGN,8,10,0.707106781186547,0.707106781186547,0.05,7.98232233047034,9.98232233047034,8.01767766952966,10.0176776695297,P3,4,-6,0.9,1.5707963267949,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0073,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P0,4,0,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0074,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P0,4,0,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0075,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P1,4,-6,0,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0076,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P1,4,-6,0,0,STAGE5_TOEPLITZ_CORRELATED,1,NaN,REGISTERED_CARTESIAN_PRODUCT
D0077,DESIGN,8,10,0.707106781186547,0.707106781186547,0.1,7.96464466094067,9.96464466094067,8.03535533905933,10.0353553390593,P2,4,0,0.9,0,WHITE,1,NaN,REGISTERED_CARTESIAN_PRODUCT
