subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total
RECT_E11_A09,11,9,1;2;4,1;4,1;2;4;16;17;19,3,2,6,6240,390,6630
RECT_E11_A10,11,10,1;2;4,2;4,6;7;9;16;17;19,3,2,6,6240,390,6630
RECT_E11_A11,11,11,1;2;4,1;2;4,1;2;4;6;7;9;16;17;19,3,3,9,6240,585,6825
RECT_E11_A12,11,12,1;2;4,3;4,11;12;14;16;17;19,3,2,6,6240,390,6630
RECT_E11_A13,11,13,1;2;4,1;3;4,1;2;4;11;12;14;16;17;19,3,3,9,6240,585,6825
RECT_E11_A14,11,14,1;2;4,2;3;4,6;7;9;11;12;14;16;17;19,3,3,9,6240,585,6825
RECT_E11_A15,11,15,1;2;4,1;2;3;4,1;2;4;6;7;9;11;12;14;16;17;19,3,4,12,6240,780,7020
RECT_E11_A16,11,16,1;2;4,5,21;22;24,3,1,3,6240,195,6435
RECT_E11_A17,11,17,1;2;4,1;5,1;2;4;21;22;24,3,2,6,6240,390,6630
RECT_E11_A18,11,18,1;2;4,2;5,6;7;9;21;22;24,3,2,6,6240,390,6630
RECT_E11_A19,11,19,1;2;4,1;2;5,1;2;4;6;7;9;21;22;24,3,3,9,6240,585,6825
RECT_E11_A20,11,20,1;2;4,3;5,11;12;14;21;22;24,3,2,6,6240,390,6630
RECT_E11_A21,11,21,1;2;4,1;3;5,1;2;4;11;12;14;21;22;24,3,3,9,6240,585,6825
RECT_E11_A22,11,22,1;2;4,2;3;5,6;7;9;11;12;14;21;22;24,3,3,9,6240,585,6825
RECT_E11_A23,11,23,1;2;4,1;2;3;5,1;2;4;6;7;9;11;12;14;21;22;24,3,4,12,6240,780,7020
RECT_E11_A24,11,24,1;2;4,4;5,16;17;19;21;22;24,3,2,6,6240,390,6630
RECT_E11_A25,11,25,1;2;4,1;4;5,1;2;4;16;17;19;21;22;24,3,3,9,6240,585,6825
RECT_E11_A26,11,26,1;2;4,2;4;5,6;7;9;16;17;19;21;22;24,3,3,9,6240,585,6825
RECT_E11_A27,11,27,1;2;4,1;2;4;5,1;2;4;6;7;9;16;17;19;21;22;24,3,4,12,6240,780,7020
RECT_E11_A28,11,28,1;2;4,3;4;5,11;12;14;16;17;19;21;22;24,3,3,9,6240,585,6825
RECT_E11_A29,11,29,1;2;4,1;3;4;5,1;2;4;11;12;14;16;17;19;21;22;24,3,4,12,6240,780,7020
