scope_type,scope_value,N,element_expected_snr_median_db,element_expected_snr_min_db,element_expected_snr_max_db,element_realized_snr_median_db,element_realized_snr_p90_db,raw_expected_snr_median_db,raw_expected_snr_min_db,raw_expected_snr_max_db,white_expected_snr_median_db,white_expected_snr_min_db,white_expected_snr_max_db,raw_peak_beam_snr_median_db,raw_peak_beam_snr_p90_db,white_receive_gain_median_db,white_receive_gain_min_db,white_receive_gain_max_db,k2_projected_expected_snr_median_db,k2_projected_expected_snr_p90_db
SNR_X_PROFILE,-6|P1,6,-6,-6,-6,-6.03406780851643,-5.90912506179932,23.8584439499017,21.0806751049458,25.2529575259205,16.0419108224548,15.4197201460617,17.0947966576339,25.7689646014978,27.156272727191,22.0419108224548,21.4197201460617,23.0947966576339,-2.89295827801478,6.24751658160885
SNR_X_PROFILE,-6|P2,6,-6,-6,-6,-6.07849459632965,-5.92993955995995,23.8561767066882,22.4875325794646,25.2221267366505,16.0410561151548,15.4197207417143,16.6653683501044,25.7495553306214,27.1139777308727,22.0410561151548,21.4197207417143,22.6653683501044,-3.60585439248802,-1.3355312022645
SNR_X_PROFILE,-6|P3,6,-6,-6,-6,-6.02017908643748,-5.96143559430682,22.4863282392782,19.9125885180921,25.2276650742755,16.0447897956891,15.419636189126,16.7199298464111,24.3931505473752,27.1353933763931,22.0447897956891,21.419636189126,22.7199298464111,-7.4368014654156,7.35687268718414
SNR_X_PROFILE,-6|P4,6,-6,-6,-6,-5.94199883660494,-5.9121214684873,23.8525090474755,22.4563137619358,25.2313177469018,16.0298283709415,15.4197200445974,16.6443700793349,25.7525451780449,27.1370901760144,22.0298283709415,21.4197200445974,22.6443700793349,-15.3658118456218,-5.61117608237309
SNR_X_NOISE,-6|WHITE,12,-6,-6,-6,-5.99202633593669,-5.89219360904853,25.2232549078215,19.9125885180921,25.2529575259205,15.4197203857815,15.419636189126,15.4197207451357,27.1334761778451,27.138319894262,21.4197203857815,21.419636189126,21.4197207451357,-7.07585388609405,-3.20202466703039
SNR_X_NOISE,-6|STAGE5_TOEPLITZ_CORRELATED,12,-6,-6,-6,-6.06622206179899,-5.92447079371882,22.4888905289667,21.0806751049458,22.5007548799191,16.664100918801,16.6399362549925,17.0947966576339,24.3906715388467,24.4049485491691,22.664100918801,22.6399362549925,23.0947966576339,-3.51246776615034,0.433225027427468
SNR_X_PROFILE,0|P1,6,-9.64327466553287e-16,-1.92865493310657e-15,0,-0.00415463515032345,0.138718293595511,29.8584439499017,28.4555705337336,31.2515871987406,22.0419108128362,21.4197201460617,22.6884608576169,31.7689646014978,33.1555671829851,22.0419108128362,21.4197201460617,22.6884608576169,3.10704172198532,5.61322720645463
SNR_X_PROFILE,0|P2,6,9.64327466553287e-16,9.64327466553287e-16,9.64327466553287e-16,-0.00392556470584424,0.14720143430224,29.8561872381283,28.4902484784688,31.2221267366505,22.0410561151626,21.4197207417143,22.6904306861403,31.7481826458768,33.1139927432069,22.0410561151626,21.4197207417143,22.6904306861403,2.39414560751191,4.20917702096846
SNR_X_PROFILE,0|P3,6,-9.64327466553287e-16,-1.92865493310657e-15,9.64327466553287e-16,0.0103174747288759,0.0786083175250496,29.8558391411516,28.4834704422413,31.2278263999529,22.0452723003032,21.4197201361639,22.6999328246515,31.7684761468469,33.1370990300054,22.0452723003032,21.4197201361639,22.6999328246515,-7.08920916066507,-3.44311688766045
SNR_X_PROFILE,0|P4,6,-9.64327466553287e-16,-1.92865493310657e-15,0,0.00833152678863706,0.19497372393671,29.859283128349,28.4619849604935,31.2321085689323,22.0329330904638,21.4197202203124,22.6542013727311,31.7614132294361,33.1392813876694,22.0329330904638,21.4197202203124,22.6542013727311,-7.80307975455729,0.101925843904068
SNR_X_NOISE,0|WHITE,12,-4.82163733276644e-16,-1.92865493310657e-15,9.64327466553287e-16,0.00819683002728489,0.152599663367694,31.2243830789925,31.2172830682393,31.2515871987406,21.4197204092832,21.4197201361639,21.4197207451514,33.134589878599,33.1401896633274,21.4197204092832,21.4197201361639,21.4197207451514,-4.95658503189192,1.95013031576793
SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,12,-4.82163733276644e-16,-1.92865493310657e-15,9.64327466553287e-16,0.00787626964555865,0.126350626708146,28.4902484784688,28.4555705337336,28.5012831884587,22.664100918801,22.646145662673,22.6999328246515,30.387872976576,30.4043112498226,22.664100918801,22.646145662673,22.6999328246515,2.15124272377215,5.39049087179791
SNR_X_PROFILE,6|P1,6,6,6,6,5.98538059236346,6.00545996309106,35.8745608094263,34.4925048208108,37.2463237133762,28.0350165564804,27.4197201460617,28.6641009188011,37.7916669261884,39.1526025282638,22.0350165564804,21.4197201460617,22.6641009188011,7.9501303157679,10.2639531282033
SNR_X_PROFILE,6|P2,6,6,6,6,6.04615689373509,6.12227364138221,35.8561876075597,34.4836137882674,37.2223443272001,28.0410561134441,27.4197207397321,28.7586511928086,37.764113775602,39.1106978019362,22.0410561134441,21.4197207397321,22.7586511928086,7.02285443012868,12.9532273728505
SNR_X_PROFILE,6|P3,6,6,6,6,6.01136420005518,6.06716372008693,35.8435008165614,34.4943342555269,37.2274558509482,28.0491865935436,27.4197195094785,28.6831939042935,37.7576374061995,39.1332539534145,22.0491865935436,21.4197195094785,22.6831939042935,-0.829450283200634,3.91473979553369
SNR_X_PROFILE,6|P4,6,6,6,6,6.02804221517772,6.1031137331901,35.8632547527852,34.5001583003632,37.2327412697731,28.0333341815117,27.4197204167865,28.6485704062801,37.77045970579,39.1383552637716,22.0333341815117,21.4197204167865,22.6485704062801,-6.53426219611693,-2.98981363986752
SNR_X_NOISE,6|WHITE,12,6,6,6,6.01186323286121,6.05888785465834,37.2243830789925,37.1915846314773,37.2463237133762,27.4197204457247,27.4197195094785,27.4197207417143,39.1327116960315,39.1402260387181,21.4197204457247,21.4197195094785,21.4197207417143,1.5063472905757,7.77122839753704
SNR_X_NOISE,6|STAGE5_TOEPLITZ_CORRELATED,12,6,6,6,6.00542498595517,6.12855490266284,34.494346330435,34.4836137882674,34.5247385398601,28.6632462019875,28.6469478423104,28.7586511928086,36.4051982970617,36.4202112217839,22.6632462019875,22.6469478423104,22.7586511928086,-0.829450283200634,10.2639531282035
