domain,method_id,nominal_snr_db,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,10,40,40,27,0,13,0.675,24,13,0,0.6,0.325,0.071219880535735,0.0991847049456204,0.153139886192599,0.20972370612498,0.924050199091856,1.81148908551498,0.23973939183723,0.404131442579518,52.0250201,1.69214415,2.2765051,118738,116298,40,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":13}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,14,40,40,35,0,5,0.875,33,25,0,0.825,0.625,0.0415066548131491,0.0889322820353695,0.0934145171420993,0.200286571318865,0.531385613765255,1.26092430790451,0.125862553885351,0.383077152129714,63.213301,1.6481366,2.4859283,148956,146516,40,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":5}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,18,40,40,40,0,0,1,38,35,0,0.95,0.875,0.0271620367672703,0.0803270719912546,0.0624055652428517,0.168494325376578,0.457276781822346,1.23325518457813,0.0732168231397738,0.289150196486865,67.0556862,1.60784045,1.91498985,164125,161685,40,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,22,40,40,40,0,0,1,39,38,0,0.975,0.95,0.0161655669485853,0.0419815289710916,0.0360809959558848,0.0863502206752925,0.333478501902166,0.879664212734025,0.0415514847958442,0.137368404094728,65.8405995,1.57979145,1.8589801,162412,159972,40,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,-6,40,40,40,0,0,1,39,33,0,0.975,0.825,0.0460171038516837,0.0742961951110917,0.104460793680951,0.149142949788018,3.40977679391048,9.86388301914376,0.115397130186609,0.239439828817444,148.0582125,3.84056185,4.1966126,173186,173186,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,0,40,40,40,0,0,1,40,40,0,1,1,0.0227018613627081,0.0391265276658006,0.0495151043613307,0.0888383691003378,1.49759771190552,4.96081340930255,0.0697905879008098,0.131412089368168,156.0750783,4.04159665,4.1331658,184874,184874,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,6,40,40,40,0,0,1,40,40,0,1,1,0.0116933026453713,0.0200803890404271,0.0261206092440475,0.0464251953290423,0.758989294959387,2.46937737420441,0.0392056596164373,0.0717596897468304,155.8203761,4.02091825,4.15995715,183880,183880,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,10,40,40,40,0,0,1,40,40,0,1,1,0.00769203417477005,0.0134693615965486,0.0165492817909406,0.0310448651208404,0.486626159287648,1.53240112932044,0.0244907083143613,0.0526116035582056,156.7326346,4.04265,4.1376702,184607,184607,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,14,40,40,40,0,0,1,40,40,0,1,1,0.00547920900160894,0.0102497131193756,0.0121140811113977,0.0205812823755355,0.304201548965642,0.956319982741661,0.0145787243466013,0.0365185680704204,151.7173719,4.00336375,4.0759079,179635,179635,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,18,40,40,40,0,0,1,40,40,0,1,1,0.00383970897918945,0.00700189662806794,0.00937027727538587,0.0148187640297968,0.192391780800626,0.597273804207987,0.0112048455253096,0.0274152605801186,155.1466117,3.9826306,4.0701861,185594,185594,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,22,40,40,40,0,0,1,40,40,0,1,1,0.00322545430637085,0.00565156777937513,0.00725128053373424,0.0125399973835734,0.120665824183928,0.375883190403367,0.00954952889773167,0.0241745607374531,157.0865407,3.9876305,4.1884267,186810,186810,0,"{""reason"":[],""count"":[]}"
