method_id,scope_type,scope_value,applicability_status,row_count,applicable_count,valid_count
BEAMSPACE_MUSIC_K2,PROFILE,P2,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
BEAMSPACE_MUSIC_K2,PROFILE,P2,APPLICABLE,12,12,0
BEAMSPACE_MUSIC_K2,PROFILE,P3,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
BEAMSPACE_MUSIC_K2,PROFILE,P3,APPLICABLE,12,12,0
BEAMSPACE_MUSIC_K2,PROFILE,P4,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
BEAMSPACE_MUSIC_K2,PROFILE,P4,APPLICABLE,12,12,0
BEAMSPACE_MUSIC_K2,NOISE,WHITE,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,12,0,0
BEAMSPACE_MUSIC_K2,NOISE,WHITE,APPLICABLE,24,24,0
BEAMSPACE_MUSIC_K2,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,12,0,0
BEAMSPACE_MUSIC_K2,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,24,24,0
ELEMENT_MUSIC_K2,ALL,ALL,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,24,0,0
ELEMENT_MUSIC_K2,ALL,ALL,APPLICABLE,48,48,0
ELEMENT_MUSIC_K2,PROFILE,P1,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
ELEMENT_MUSIC_K2,PROFILE,P1,APPLICABLE,12,12,0
ELEMENT_MUSIC_K2,PROFILE,P2,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
ELEMENT_MUSIC_K2,PROFILE,P2,APPLICABLE,12,12,0
ELEMENT_MUSIC_K2,PROFILE,P3,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
ELEMENT_MUSIC_K2,PROFILE,P3,APPLICABLE,12,12,0
ELEMENT_MUSIC_K2,PROFILE,P4,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,6,0,0
ELEMENT_MUSIC_K2,PROFILE,P4,APPLICABLE,12,12,0
ELEMENT_MUSIC_K2,NOISE,WHITE,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,12,0,0
ELEMENT_MUSIC_K2,NOISE,WHITE,APPLICABLE,24,24,0
ELEMENT_MUSIC_K2,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,12,0,0
ELEMENT_MUSIC_K2,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,24,24,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,ALL,ALL,APPLICABLE,54,54,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,ALL,ALL,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,PROFILE,P1,APPLICABLE,18,18,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,PROFILE,P2,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,PROFILE,P3,APPLICABLE,18,18,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,PROFILE,P4,APPLICABLE,18,18,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,NOISE,WHITE,APPLICABLE,27,27,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,NOISE,WHITE,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,APPLICABLE,27,27,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,ALL,ALL,APPLICABLE,27,27,2
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,ALL,ALL,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,ALL,ALL,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ROOT_MUSIC,27,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P1,APPLICABLE,9,9,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P1,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ROOT_MUSIC,9,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P2,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P3,APPLICABLE,9,9,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P3,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ROOT_MUSIC,9,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P4,APPLICABLE,9,9,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,PROFILE,P4,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ROOT_MUSIC,9,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,NOISE,WHITE,APPLICABLE,27,27,2
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,NOISE,WHITE,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ROOT_MUSIC,27,0,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,ALL,ALL,APPLICABLE,27,27,1
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,ALL,ALL,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,ALL,ALL,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ESPRIT,27,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P1,APPLICABLE,9,9,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P1,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ESPRIT,9,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P2,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,18,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P3,APPLICABLE,9,9,1
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P3,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ESPRIT,9,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P4,APPLICABLE,9,9,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,PROFILE,P4,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ESPRIT,9,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,NOISE,WHITE,APPLICABLE,27,27,1
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,NOISE,WHITE,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_COLORED_NOISE_STANDARD_ESPRIT,27,0,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,NOISE,STAGE5_TOEPLITZ_CORRELATED,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,9,0,0
