row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
PAIRWISE,SNR_X_PROFILE,0|P1,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,23,19,18,0.560975609756098,0,0.0579141601577568
METHOD,SNR_X_PROFILE,0|P2,0,CORE_LITE,,,60,60,1,0.346108803290969,0.701414284285428,0.223606797749978,0.700710678118654,44.9999999999999,90,0.0828427124746193,1.06491106406735,0.414213562373098,5.32455532033678,0.282842712474618,1.0770329614269,0,0,161.166666666667,369.5,0.1468215,0.17574901,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P2,0,CORE_PLUS,,,60,60,1,0.360555127546399,0.710079383173968,0.259051358580611,0.707106781186547,44.8695564232218,82.2222369548814,0.198592893516071,1.06491106406735,0.992964467580361,5.32455532033678,0.22758093768441,1.0770329614269,0.616666666666667,0.383333333333333,1744.41666666667,3537.46666666667,1.4492249,2.04914767,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P2,0,TANGENT_PROFILE_SAFE,,,60,60,1,0.282802468431192,0.701414284285428,0.199999999999999,0.700710678118654,45,82.9544642423219,0.199,1.02138836186041,0.995000000000003,5.10694180930209,0.199999999999999,1.02552680858939,0.283333333333333,0.716666666666667,408.85,890.866666666667,4.35501345,4.65143683,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,0|P2,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,11,43,6,0.647058823529412,0,2.55268096945264e-05
PAIRWISE,SNR_X_PROFILE,0|P2,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,22,21,17,0.564102564102564,0,0.034582844567198
METHOD,SNR_X_PROFILE,0|P3,0,CORE_LITE,,,60,60,1,0.430842198490352,0.62098711741871,0.22360679774998,0.499999999999998,45.0000000000002,90,0.297213595499958,1.05,1.98142396999974,7.00000000000007,0.320156211871642,1.20933866224478,0,0,161.583333333333,371.583333333333,0.1425269,0.18543469,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P3,0,CORE_PLUS,,,60,60,1,0.414967471322701,0.640982166938457,0.223606797749979,0.610375949326092,45.0000000000001,90,0.148971266910478,1.05,0.993141779403195,7.00000000000007,0.212756727671201,1.20049948230954,0.65,0.35,1734.13333333333,3518.11666666667,1.06027785,1.95959232,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P3,0,TANGENT_PROFILE_SAFE,,,60,60,1,0.301039864469808,0.62098711741871,0.223606797749978,0.415800865855586,30.008250147683,90,0.148999999999999,1.05,0.993333333333339,7.00000000000007,0.211453474650276,1.20187095967627,0.4,0.6,401.383333333333,877.183333333333,4.3064435,4.52494815,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,0|P3,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,20,36,4,0.833333333333333,0,0
PAIRWISE,SNR_X_PROFILE,0|P3,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,30,18,12,0.714285714285714,-0.000137825115225199,0.100658254339062
METHOD,SNR_X_PROFILE,0|P4,0,CORE_LITE,,,60,60,1,0.433507707184237,0.609234054594231,0.25,0.504445935494993,45,71.565051177078,0.347213595499957,1.1,3.47213595499957,11,0.35376148215657,1.13150093792061,0,0,161.166666666667,370.5,0.1432218,0.17307796,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P4,0,CORE_PLUS,,,60,60,1,0.452488681152521,0.65244043566349,0.25,0.649566243172834,45,73.0483508815038,0.164478895172237,1.1,1.64478895172237,11,0.207899309758876,1.13150093792061,0.633333333333333,0.366666666666667,1633.08333333333,3315.88333333333,1.1021417,1.92841458,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,0|P4,0,TANGENT_PROFILE_SAFE,,,60,60,1,0.431811985268184,0.609234054594231,0.206155281280884,0.504445935494993,45,71.6648344552558,0.282464610627956,1.1,2.82464610627956,11,0.329392985415674,1.13150093792061,0.25,0.75,402.3,878.766666666667,4.29205465,4.66571065,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,0|P4,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,12,45,3,0.8,0,0
PAIRWISE,SNR_X_PROFILE,0|P4,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,24,17,19,0.558139534883721,0,0.093333301913773
METHOD,SNR_X_PROFILE,6|P1,6,CORE_LITE,,,60,60,1,0.369369710211893,0.511162201815044,0.141421356237309,0.5,18.4349488229221,55.3595848695153,0.147213595499957,0.9,0.490711984999858,3.00000000000001,0.212478672477061,0.989705535253992,0,0,166.016666666667,379.35,0.1454405,0.20267756,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P1,6,CORE_PLUS,,,60,60,1,0.259459055375627,0.51323560323695,0.163341207489242,0.450630669913574,18.5260828357981,45.9462322208026,0.147213595499958,0.662829597754387,0.490711984999861,2.20943199251463,0.212697940806213,0.825948889138266,0.6,0.4,2039.65,4127.9,1.49375765,2.62700876,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P1,6,TANGENT_PROFILE_SAFE,,,60,60,1,0.226201047238998,0.510092919409617,0.122287376817526,0.42107950630559,19.069532237098,55.3595848695153,0.208955253231953,0.624984471899924,0.696517510773179,2.08328157299975,0.283792900070459,0.65423580474918,0.45,0.55,416.45,906.216666666667,4.36201465,4.72403822,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,6|P1,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,17,33,10,0.62962962962963,0,0.0205138524673771
PAIRWISE,SNR_X_PROFILE,6|P1,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,25,15,20,0.555555555555556,0,0.0621304674867455
METHOD,SNR_X_PROFILE,6|P2,6,CORE_LITE,,,60,60,1,0.300000000000001,0.556776436283002,0.223606797749978,0.422069701441517,26.5650511770779,63.434948822922,0.247213595499959,1.01655250605964,1.2360679774998,5.08276253029824,0.282842712474619,1.01980390271856,0,0,161.133333333333,369.466666666667,0.14535775,0.17280597,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P2,6,CORE_PLUS,,,60,60,1,0.337101234582506,0.560352951758332,0.219333334489572,0.509901951359278,24.1832303317148,63.434948822922,0.247213595499957,0.988396631128845,1.23606797749979,4.94198315564424,0.282842712474619,0.994943251721049,0.65,0.35,1867.55,3783.75,1.40947425,2.31535386,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P2,6,TANGENT_PROFILE_SAFE,,,60,60,1,0.264575131106459,0.556776436283002,0.145859954114357,0.401231056256176,31.4711875230224,73.332289241491,0.225668413261599,1.01655250605964,1.128342066308,5.08276253029824,0.282842712474619,1.01980390271856,0.366666666666667,0.633333333333333,412.7,898.6,4.36285705,4.73275396,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,6|P2,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,19,38,3,0.863636363636364,0,0
PAIRWISE,SNR_X_PROFILE,6|P2,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,32,16,12,0.727272727272727,-0.00116565649202702,0.0122751973298455
METHOD,SNR_X_PROFILE,6|P3,6,CORE_LITE,,,60,60,1,0.331230335919916,0.574999999999999,0.223606797749978,0.412310562561766,63.4349488229221,90,0.297213595499958,0.869803902718558,1.98142396999974,5.79869268479044,0.403112887414927,1.00224303983332,0,0,164.933333333333,377.933333333333,0.14553615,0.17001613,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P3,6,CORE_PLUS,,,60,60,1,0.301039864469807,0.602617251823019,0.209366697231796,0.429720276187481,45.0000000000001,90,0.148782151682874,0.851980390271857,0.991881011219169,5.6798692684791,0.206155281280883,1.00224303983332,0.516666666666667,0.483333333333333,1779.18333333333,3607.7,1.3527985,2.46734222,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P3,6,TANGENT_PROFILE_SAFE,,,60,60,1,0.226538330179024,0.555050248718659,0.141421356237309,0.364499614791759,39.4783257712595,90,0.149,0.851980390271857,0.993333333333341,5.6798692684791,0.206155281280883,1.00224303983332,0.433333333333333,0.566666666666667,408.35,890.766666666667,4.29996635,4.49410654,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,6|P3,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,25,34,1,0.961538461538462,0,0
PAIRWISE,SNR_X_PROFILE,6|P3,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,30,18,12,0.714285714285714,-0.00132546965012298,0.0206797661807883
METHOD,SNR_X_PROFILE,6|P4,6,CORE_LITE,,,60,60,1,0.393870353591153,0.578153504157653,0.206155281280882,0.434729546644894,45,71.5650511770779,0.347213595499957,0.989329665284211,3.47213595499958,9.89329665284212,0.353761482156571,1.0004652475153,0,0,158.883333333333,365.55,0.13965655,0.1702007,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P4,6,CORE_PLUS,,,60,60,1,0.443579015932076,0.594027623484563,0.216509501586203,0.525024584308731,45,66.3286262771691,0.209789577183369,0.983034105387378,2.0978957718337,9.8303410538738,0.287801615395712,0.995035524302421,0.716666666666667,0.283333333333333,1881.95,3813.15,1.19764235,2.48942278,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,6|P4,6,TANGENT_PROFILE_SAFE,,,60,60,1,0.231382538984778,0.553720910226637,0.134564389538118,0.427200187265876,45,63.6335375523392,0.214546687976234,0.925526808589391,2.14546687976235,9.25526808589393,0.267651454214904,0.943006608566863,0.383333333333333,0.616666666666667,404.666666666667,883.116666666667,4.3256443,4.69735419,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,6|P4,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,23,37,0,1,0,0
PAIRWISE,SNR_X_PROFILE,6|P4,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,32,15,13,0.711111111111111,-0.00480166229973872,0.0284741727585734
METHOD,SNR_X_PROFILE,10|P1,10,CORE_LITE,,,60,60,1,0.141681308325435,0.47388955554141,0.141421356237309,0.364499614791759,0,45,0.1,0.701980390271856,0.333333333333334,2.33993463423953,0.188259286020219,0.790160928900064,0,0,165.433333333333,377.433333333333,0.14930855,0.17769398,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,10|P1,10,CORE_PLUS,,,60,60,1,0.147417521410687,0.449759516097848,0.141421356237309,0.320660502169795,11.1499024942978,45,0.144668340124941,0.520273972413395,0.482227800416471,1.73424657471132,0.183003279104221,0.640021647648586,0.6,0.4,2285.66666666667,4619.01666666667,1.6116875,2.58119501,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,10|P1,10,TANGENT_PROFILE_SAFE,,,60,60,1,0.152853038096562,0.428568383784426,0.0918543626666416,0.320660502169795,12.248803454638,45,0.147213595499958,0.509442719099991,0.490711984999863,1.69814239699997,0.212478672477061,0.617938658307978,0.55,0.45,411.233333333333,895.033333333333,4.36768015,4.69476122,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,10|P1,10,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,23,27,10,0.696969696969697,0,0.0106206899184199
PAIRWISE,SNR_X_PROFILE,10|P1,10,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,24,13,23,0.51063829787234,0,0.0283603684167581
METHOD,SNR_X_PROFILE,10|P2,10,CORE_LITE,,,60,60,1,0.28228756555323,0.521505366114941,0.14142135623731,0.401231056256176,18.4349488229219,45,0.247213595499959,0.800000000000001,1.2360679774998,4.00000000000002,0.282842712474619,0.800000000000001,0,0,156.933333333333,361.933333333333,0.14190295,0.16811619,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,10|P2,10,CORE_PLUS,,,60,60,1,0.264575131106459,0.519615242270662,0.186382328820367,0.423209424550254,19.9737047782464,53.3949387483044,0.247213595499959,0.714032122179519,1.2360679774998,3.57016061089761,0.319297242913753,0.731461342095871,0.616666666666667,0.383333333333333,2045.8,4140.98333333333,1.3928082,2.6565945,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,10|P2,10,TANGENT_PROFILE_SAFE,,,60,60,1,0.264575131106459,0.501961524227066,0.104799578952393,0.316227766016837,26.5650511770779,75.6689437159852,0.247213595499959,0.800000000000001,1.2360679774998,4.00000000000002,0.282842712474619,0.800000000000001,0.483333333333333,0.516666666666667,406.233333333333,886.533333333333,4.3707065,4.76103989,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,10|P2,10,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,22,31,7,0.758620689655172,0,0.0053128767909127
PAIRWISE,SNR_X_PROFILE,10|P2,10,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,30,10,20,0.6,-0.000116068739153929,0.0413672140285808
METHOD,SNR_X_PROFILE,10|P3,10,CORE_LITE,,,60,60,1,0.301039864469807,0.540470180657816,0.2,0.447213595499958,45.0000000000001,90,0.297213595499958,0.674621125123532,1.98142396999974,4.49747416749026,0.320156211871643,0.813941029804984,0,0,154.583333333333,356.916666666667,0.1381028,0.16925776,0,0,0,0,NaN,NaN,NaN
