trial_id,global_trial_index,truth_K,trial_type,support_or_difficulty,noise_profile_id,L,snr_db,noise_seed,element_trial_hash,method_id,fit1_valid,fit2_valid,fit1_status,fit2_status,fit1_selected_start,fit2_selected_start,fit1_start_count,fit2_start_count,rss1,rss2,rss_gap,lambda_12,lrt_status,n_complex_observations,k1_estimate_az_deg,k1_estimate_el_deg,k2_estimate_target1_az_deg,k2_estimate_target1_el_deg,k2_estimate_target2_az_deg,k2_estimate_target2_el_deg,known_K_joint_rmse_deg,known_K_azimuth_rmse_deg,known_K_elevation_rmse_deg,known_K_separation_vector_error_deg,initial_known_K_joint_rmse_deg,refinement_improved_flag,score_call_count,svd_call_count,runtime_sec,shared_initialization_runtime_sec,initialization_runtime_sec,refinement_runtime_sec,continuous_solver_status,monotonicity_violation_count,truth_used_in_initialization_flag,truth_used_in_fit_flag,truth_used_in_lrt_flag,shared_element_data_flag,phase_factor
R1_K1_N1_L8_SM6_INSIDE_OFF_GRID,6,1,K1,INSIDE_OFF_GRID,WHITE,8,-6,2726072802,7a3e6c4626b3f5513794e0658fd7701642be294fb34a81d9cc8f77876a813d30,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,133.245557731129,91.7204747813157,41.5250829498136,89.6275416577061,OK,0,8.2,10.2,8,10,8.2,10.2,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,152,356,0.2331529,0.1125879,0,0.120565,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L8_SM6_INSIDE_OFF_GRID,6,1,K1,INSIDE_OFF_GRID,WHITE,8,-6,2726072802,7a3e6c4626b3f5513794e0658fd7701642be294fb34a81d9cc8f77876a813d30,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,98.6749950629919,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.10932623799828,10.1005151355567,NaN,NaN,NaN,NaN,0.0093404539419867,0.00932623799828391,0.000515135556664603,NaN,0.141421356237309,1,1761,3561,1.4656319,0.1125879,0.1695408,1.1835032,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L8_SM6_INSIDE_OFF_GRID,6,1,K1,INSIDE_OFF_GRID,WHITE,8,-6,2726072802,7a3e6c4626b3f5513794e0658fd7701642be294fb34a81d9cc8f77876a813d30,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,98.6749950629919,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.10932623799828,10.1005151355567,NaN,NaN,NaN,NaN,0.0093404539419867,0.00932623799828391,0.000515135556664603,NaN,0.141421356237309,1,1544,3107,1.2876429,0.1125879,0.0001915,1.1748635,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L8_SP6_ON_GRID,7,1,K1,ON_GRID,WHITE,8,6,2726072803,c27f7a0fa318422a31dd93fc0a110e1ceb6838df913763de250852ed3cb23742,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,103.340988710959,86.8719267420238,16.4690619689354,41.6637990572972,OK,0,8,10,7.8,9.8,8,10,0,0,0,NaN,0,1,171,395,0.141327,0.0419136,0,0.0994134,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L8_SP6_ON_GRID,7,1,K1,ON_GRID,WHITE,8,6,2726072803,c27f7a0fa318422a31dd93fc0a110e1ceb6838df913763de250852ed3cb23742,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,101.46558174926,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,7.99723033766861,9.99143093476617,NaN,NaN,NaN,NaN,0.00900554875682192,0.00276966233139486,0.00856906523382506,NaN,0,0,1782,3603,1.3990398,0.0419136,0.1739158,1.1832104,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L8_SP6_ON_GRID,7,1,K1,ON_GRID,WHITE,8,6,2726072803,c27f7a0fa318422a31dd93fc0a110e1ceb6838df913763de250852ed3cb23742,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,101.46558174926,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,7.99723033766861,9.99143093476617,NaN,NaN,NaN,NaN,0.00900554875682192,0.00276966233139486,0.00856906523382506,NaN,0,0,1556,3131,1.2409758,0.0419136,0.0001141,1.1989481,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L8_SP6_INSIDE_OFF_GRID,8,1,K1,INSIDE_OFF_GRID,WHITE,8,6,2726072803,76fa611dc34a8cee4e5469d40a368be358fea6a0682a2075a4abd251b2c3af7b,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,672.559059633597,99.0484055692505,573.510654064346,459.715500684636,OK,0,8,10,7.8,9.8,8.2,10.2,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,173,397,0.1471667,0.0432815,0,0.1038852,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L8_SP6_INSIDE_OFF_GRID,8,1,K1,INSIDE_OFF_GRID,WHITE,8,6,2726072803,76fa611dc34a8cee4e5469d40a368be358fea6a0682a2075a4abd251b2c3af7b,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,103.015253652455,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.09721209654871,10.0925652217693,NaN,NaN,NaN,NaN,0.00794029804184049,0.00278790345128854,0.0074347782306905,NaN,0.141421356237309,1,1798,3635,1.4138355,0.0432815,0.1955864,1.1749676,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L8_SP6_INSIDE_OFF_GRID,8,1,K1,INSIDE_OFF_GRID,WHITE,8,6,2726072803,76fa611dc34a8cee4e5469d40a368be358fea6a0682a2075a4abd251b2c3af7b,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,103.015253652455,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.09721209654871,10.0925652217693,NaN,NaN,NaN,NaN,0.00794029804184049,0.00278790345128854,0.0074347782306905,NaN,0.141421356237309,1,1524,3068,1.1862283,0.0432815,0.0001311,1.1428157,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N2_L1_SM6_ON_GRID,9,1,K1,ON_GRID,STAGE5_TOEPLITZ_CORRELATED,1,-6,2726072804,4a8773235487b03180fc59d7a7d5b642d00ded159d457b258d367d392992a0b8,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,11.9499532357863,9.46151944636392,2.4884337894224,7.00483130614727,OK,0,8,10,7.6,9.8,8.4,10,0,0,0,NaN,0,1,193,437,0.1800243,0.0596737,0,0.1203506,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
