scenario_index,scenario_id,base_realization_index,profile_id,L,replicate_id,nominal_snr_db,center_az_deg,center_el_deg,rho_true_deg,direction_deg,secondary_power_db,correlation_magnitude,source_seed,beam_noise_seed,element_noise_seed
171,RTC2L8_S05_B011,11,SC_A,8,11,14,8,10,0.45,30,0,0,580100011,580200011,580300011
172,RTC2L8_S05_B012,12,SC_A,8,12,14,8,10,0.45,30,0,0,580100012,580200012,580300012
173,RTC2L8_S05_B013,13,SC_A,8,13,14,8,10,0.45,30,0,0,580100013,580200013,580300013
174,RTC2L8_S05_B014,14,SC_A,8,14,14,8,10,0.45,30,0,0,580100014,580200014,580300014
175,RTC2L8_S05_B015,15,SC_A,8,15,14,8,10,0.45,30,0,0,580100015,580200015,580300015
176,RTC2L8_S05_B016,16,SC_A,8,16,14,8,10,0.45,30,0,0,580100016,580200016,580300016
177,RTC2L8_S05_B017,17,SC_A,8,17,14,8,10,0.45,30,0,0,580100017,580200017,580300017
178,RTC2L8_S05_B018,18,SC_A,8,18,14,8,10,0.45,30,0,0,580100018,580200018,580300018
179,RTC2L8_S05_B019,19,SC_A,8,19,14,8,10,0.45,30,0,0,580100019,580200019,580300019
180,RTC2L8_S05_B020,20,SC_A,8,20,14,8,10,0.45,30,0,0,580100020,580200020,580300020
181,RTC2L8_S05_B021,21,SC_B,8,1,14,8,10,0.45,30,-3,0.7,580100021,580200021,580300021
182,RTC2L8_S05_B022,22,SC_B,8,2,14,8,10,0.45,30,-3,0.7,580100022,580200022,580300022
183,RTC2L8_S05_B023,23,SC_B,8,3,14,8,10,0.45,30,-3,0.7,580100023,580200023,580300023
184,RTC2L8_S05_B024,24,SC_B,8,4,14,8,10,0.45,30,-3,0.7,580100024,580200024,580300024
185,RTC2L8_S05_B025,25,SC_B,8,5,14,8,10,0.45,30,-3,0.7,580100025,580200025,580300025
186,RTC2L8_S05_B026,26,SC_B,8,6,14,8,10,0.45,30,-3,0.7,580100026,580200026,580300026
187,RTC2L8_S05_B027,27,SC_B,8,7,14,8,10,0.45,30,-3,0.7,580100027,580200027,580300027
188,RTC2L8_S05_B028,28,SC_B,8,8,14,8,10,0.45,30,-3,0.7,580100028,580200028,580300028
189,RTC2L8_S05_B029,29,SC_B,8,9,14,8,10,0.45,30,-3,0.7,580100029,580200029,580300029
190,RTC2L8_S05_B030,30,SC_B,8,10,14,8,10,0.45,30,-3,0.7,580100030,580200030,580300030
191,RTC2L8_S05_B031,31,SC_B,8,11,14,8,10,0.45,30,-3,0.7,580100031,580200031,580300031
192,RTC2L8_S05_B032,32,SC_B,8,12,14,8,10,0.45,30,-3,0.7,580100032,580200032,580300032
193,RTC2L8_S05_B033,33,SC_B,8,13,14,8,10,0.45,30,-3,0.7,580100033,580200033,580300033
194,RTC2L8_S05_B034,34,SC_B,8,14,14,8,10,0.45,30,-3,0.7,580100034,580200034,580300034
195,RTC2L8_S05_B035,35,SC_B,8,15,14,8,10,0.45,30,-3,0.7,580100035,580200035,580300035
196,RTC2L8_S05_B036,36,SC_B,8,16,14,8,10,0.45,30,-3,0.7,580100036,580200036,580300036
197,RTC2L8_S05_B037,37,SC_B,8,17,14,8,10,0.45,30,-3,0.7,580100037,580200037,580300037
198,RTC2L8_S05_B038,38,SC_B,8,18,14,8,10,0.45,30,-3,0.7,580100038,580200038,580300038
199,RTC2L8_S05_B039,39,SC_B,8,19,14,8,10,0.45,30,-3,0.7,580100039,580200039,580300039
200,RTC2L8_S05_B040,40,SC_B,8,20,14,8,10,0.45,30,-3,0.7,580100040,580200040,580300040
201,RTC2L8_S06_B001,1,SC_A,8,1,18,8,10,0.45,30,0,0,580100001,580200001,580300001
202,RTC2L8_S06_B002,2,SC_A,8,2,18,8,10,0.45,30,0,0,580100002,580200002,580300002
203,RTC2L8_S06_B003,3,SC_A,8,3,18,8,10,0.45,30,0,0,580100003,580200003,580300003
204,RTC2L8_S06_B004,4,SC_A,8,4,18,8,10,0.45,30,0,0,580100004,580200004,580300004
205,RTC2L8_S06_B005,5,SC_A,8,5,18,8,10,0.45,30,0,0,580100005,580200005,580300005
206,RTC2L8_S06_B006,6,SC_A,8,6,18,8,10,0.45,30,0,0,580100006,580200006,580300006
207,RTC2L8_S06_B007,7,SC_A,8,7,18,8,10,0.45,30,0,0,580100007,580200007,580300007
208,RTC2L8_S06_B008,8,SC_A,8,8,18,8,10,0.45,30,0,0,580100008,580200008,580300008
209,RTC2L8_S06_B009,9,SC_A,8,9,18,8,10,0.45,30,0,0,580100009,580200009,580300009
210,RTC2L8_S06_B010,10,SC_A,8,10,18,8,10,0.45,30,0,0,580100010,580200010,580300010
211,RTC2L8_S06_B011,11,SC_A,8,11,18,8,10,0.45,30,0,0,580100011,580200011,580300011
212,RTC2L8_S06_B012,12,SC_A,8,12,18,8,10,0.45,30,0,0,580100012,580200012,580300012
213,RTC2L8_S06_B013,13,SC_A,8,13,18,8,10,0.45,30,0,0,580100013,580200013,580300013
214,RTC2L8_S06_B014,14,SC_A,8,14,18,8,10,0.45,30,0,0,580100014,580200014,580300014
215,RTC2L8_S06_B015,15,SC_A,8,15,18,8,10,0.45,30,0,0,580100015,580200015,580300015
216,RTC2L8_S06_B016,16,SC_A,8,16,18,8,10,0.45,30,0,0,580100016,580200016,580300016
217,RTC2L8_S06_B017,17,SC_A,8,17,18,8,10,0.45,30,0,0,580100017,580200017,580300017
218,RTC2L8_S06_B018,18,SC_A,8,18,18,8,10,0.45,30,0,0,580100018,580200018,580300018
219,RTC2L8_S06_B019,19,SC_A,8,19,18,8,10,0.45,30,0,0,580100019,580200019,580300019
220,RTC2L8_S06_B020,20,SC_A,8,20,18,8,10,0.45,30,0,0,580100020,580200020,580300020
221,RTC2L8_S06_B021,21,SC_B,8,1,18,8,10,0.45,30,-3,0.7,580100021,580200021,580300021
222,RTC2L8_S06_B022,22,SC_B,8,2,18,8,10,0.45,30,-3,0.7,580100022,580200022,580300022
223,RTC2L8_S06_B023,23,SC_B,8,3,18,8,10,0.45,30,-3,0.7,580100023,580200023,580300023
224,RTC2L8_S06_B024,24,SC_B,8,4,18,8,10,0.45,30,-3,0.7,580100024,580200024,580300024
225,RTC2L8_S06_B025,25,SC_B,8,5,18,8,10,0.45,30,-3,0.7,580100025,580200025,580300025
226,RTC2L8_S06_B026,26,SC_B,8,6,18,8,10,0.45,30,-3,0.7,580100026,580200026,580300026
227,RTC2L8_S06_B027,27,SC_B,8,7,18,8,10,0.45,30,-3,0.7,580100027,580200027,580300027
228,RTC2L8_S06_B028,28,SC_B,8,8,18,8,10,0.45,30,-3,0.7,580100028,580200028,580300028
229,RTC2L8_S06_B029,29,SC_B,8,9,18,8,10,0.45,30,-3,0.7,580100029,580200029,580300029
230,RTC2L8_S06_B030,30,SC_B,8,10,18,8,10,0.45,30,-3,0.7,580100030,580200030,580300030
231,RTC2L8_S06_B031,31,SC_B,8,11,18,8,10,0.45,30,-3,0.7,580100031,580200031,580300031
232,RTC2L8_S06_B032,32,SC_B,8,12,18,8,10,0.45,30,-3,0.7,580100032,580200032,580300032
233,RTC2L8_S06_B033,33,SC_B,8,13,18,8,10,0.45,30,-3,0.7,580100033,580200033,580300033
234,RTC2L8_S06_B034,34,SC_B,8,14,18,8,10,0.45,30,-3,0.7,580100034,580200034,580300034
235,RTC2L8_S06_B035,35,SC_B,8,15,18,8,10,0.45,30,-3,0.7,580100035,580200035,580300035
236,RTC2L8_S06_B036,36,SC_B,8,16,18,8,10,0.45,30,-3,0.7,580100036,580200036,580300036
237,RTC2L8_S06_B037,37,SC_B,8,17,18,8,10,0.45,30,-3,0.7,580100037,580200037,580300037
238,RTC2L8_S06_B038,38,SC_B,8,18,18,8,10,0.45,30,-3,0.7,580100038,580200038,580300038
239,RTC2L8_S06_B039,39,SC_B,8,19,18,8,10,0.45,30,-3,0.7,580100039,580200039,580300039
240,RTC2L8_S06_B040,40,SC_B,8,20,18,8,10,0.45,30,-3,0.7,580100040,580200040,580300040
241,RTC2L8_S07_B001,1,SC_A,8,1,22,8,10,0.45,30,0,0,580100001,580200001,580300001
242,RTC2L8_S07_B002,2,SC_A,8,2,22,8,10,0.45,30,0,0,580100002,580200002,580300002
243,RTC2L8_S07_B003,3,SC_A,8,3,22,8,10,0.45,30,0,0,580100003,580200003,580300003
