scenario_index,scenario_id,base_realization_index,profile_id,L,replicate_id,nominal_snr_db,center_az_deg,center_el_deg,rho_true_deg,direction_deg,secondary_power_db,correlation_magnitude,source_seed,beam_noise_seed,element_noise_seed
75,RTC_S01_B075,75,P4,1,15,-6,8.1,9.95,0.1,135,-6,1,580100075,580200075,580300075
76,RTC_S01_B076,76,P4,1,16,-6,8.1,9.95,0.1,135,-6,1,580100076,580200076,580300076
77,RTC_S01_B077,77,P4,1,17,-6,8.1,9.95,0.1,135,-6,1,580100077,580200077,580300077
78,RTC_S01_B078,78,P4,1,18,-6,8.1,9.95,0.1,135,-6,1,580100078,580200078,580300078
79,RTC_S01_B079,79,P4,1,19,-6,8.1,9.95,0.1,135,-6,1,580100079,580200079,580300079
80,RTC_S01_B080,80,P4,1,20,-6,8.1,9.95,0.1,135,-6,1,580100080,580200080,580300080
81,RTC_S01_B081,81,P1,4,1,-6,8,10,0.3,45,0,0,580100081,580200081,580300081
82,RTC_S01_B082,82,P1,4,2,-6,8,10,0.3,45,0,0,580100082,580200082,580300082
83,RTC_S01_B083,83,P1,4,3,-6,8,10,0.3,45,0,0,580100083,580200083,580300083
84,RTC_S01_B084,84,P1,4,4,-6,8,10,0.3,45,0,0,580100084,580200084,580300084
85,RTC_S01_B085,85,P1,4,5,-6,8,10,0.3,45,0,0,580100085,580200085,580300085
86,RTC_S01_B086,86,P1,4,6,-6,8,10,0.3,45,0,0,580100086,580200086,580300086
87,RTC_S01_B087,87,P1,4,7,-6,8,10,0.3,45,0,0,580100087,580200087,580300087
88,RTC_S01_B088,88,P1,4,8,-6,8,10,0.3,45,0,0,580100088,580200088,580300088
89,RTC_S01_B089,89,P1,4,9,-6,8,10,0.3,45,0,0,580100089,580200089,580300089
90,RTC_S01_B090,90,P1,4,10,-6,8,10,0.3,45,0,0,580100090,580200090,580300090
91,RTC_S01_B091,91,P1,4,11,-6,8,10,0.3,45,0,0,580100091,580200091,580300091
92,RTC_S01_B092,92,P1,4,12,-6,8,10,0.3,45,0,0,580100092,580200092,580300092
93,RTC_S01_B093,93,P1,4,13,-6,8,10,0.3,45,0,0,580100093,580200093,580300093
94,RTC_S01_B094,94,P1,4,14,-6,8,10,0.3,45,0,0,580100094,580200094,580300094
95,RTC_S01_B095,95,P1,4,15,-6,8,10,0.3,45,0,0,580100095,580200095,580300095
96,RTC_S01_B096,96,P1,4,16,-6,8,10,0.3,45,0,0,580100096,580200096,580300096
97,RTC_S01_B097,97,P1,4,17,-6,8,10,0.3,45,0,0,580100097,580200097,580300097
98,RTC_S01_B098,98,P1,4,18,-6,8,10,0.3,45,0,0,580100098,580200098,580300098
99,RTC_S01_B099,99,P1,4,19,-6,8,10,0.3,45,0,0,580100099,580200099,580300099
100,RTC_S01_B100,100,P1,4,20,-6,8,10,0.3,45,0,0,580100100,580200100,580300100
101,RTC_S01_B101,101,P2,4,1,-6,8.2,10,0.2,0,-6,0,580100101,580200101,580300101
102,RTC_S01_B102,102,P2,4,2,-6,8.2,10,0.2,0,-6,0,580100102,580200102,580300102
103,RTC_S01_B103,103,P2,4,3,-6,8.2,10,0.2,0,-6,0,580100103,580200103,580300103
104,RTC_S01_B104,104,P2,4,4,-6,8.2,10,0.2,0,-6,0,580100104,580200104,580300104
105,RTC_S01_B105,105,P2,4,5,-6,8.2,10,0.2,0,-6,0,580100105,580200105,580300105
106,RTC_S01_B106,106,P2,4,6,-6,8.2,10,0.2,0,-6,0,580100106,580200106,580300106
107,RTC_S01_B107,107,P2,4,7,-6,8.2,10,0.2,0,-6,0,580100107,580200107,580300107
108,RTC_S01_B108,108,P2,4,8,-6,8.2,10,0.2,0,-6,0,580100108,580200108,580300108
109,RTC_S01_B109,109,P2,4,9,-6,8.2,10,0.2,0,-6,0,580100109,580200109,580300109
110,RTC_S01_B110,110,P2,4,10,-6,8.2,10,0.2,0,-6,0,580100110,580200110,580300110
111,RTC_S01_B111,111,P2,4,11,-6,8.2,10,0.2,0,-6,0,580100111,580200111,580300111
112,RTC_S01_B112,112,P2,4,12,-6,8.2,10,0.2,0,-6,0,580100112,580200112,580300112
113,RTC_S01_B113,113,P2,4,13,-6,8.2,10,0.2,0,-6,0,580100113,580200113,580300113
114,RTC_S01_B114,114,P2,4,14,-6,8.2,10,0.2,0,-6,0,580100114,580200114,580300114
115,RTC_S01_B115,115,P2,4,15,-6,8.2,10,0.2,0,-6,0,580100115,580200115,580300115
116,RTC_S01_B116,116,P2,4,16,-6,8.2,10,0.2,0,-6,0,580100116,580200116,580300116
117,RTC_S01_B117,117,P2,4,17,-6,8.2,10,0.2,0,-6,0,580100117,580200117,580300117
118,RTC_S01_B118,118,P2,4,18,-6,8.2,10,0.2,0,-6,0,580100118,580200118,580300118
119,RTC_S01_B119,119,P2,4,19,-6,8.2,10,0.2,0,-6,0,580100119,580200119,580300119
120,RTC_S01_B120,120,P2,4,20,-6,8.2,10,0.2,0,-6,0,580100120,580200120,580300120
121,RTC_S01_B121,121,P3,4,1,-6,7.9,10.1,0.15,90,0,0.9,580100121,580200121,580300121
122,RTC_S01_B122,122,P3,4,2,-6,7.9,10.1,0.15,90,0,0.9,580100122,580200122,580300122
123,RTC_S01_B123,123,P3,4,3,-6,7.9,10.1,0.15,90,0,0.9,580100123,580200123,580300123
124,RTC_S01_B124,124,P3,4,4,-6,7.9,10.1,0.15,90,0,0.9,580100124,580200124,580300124
125,RTC_S01_B125,125,P3,4,5,-6,7.9,10.1,0.15,90,0,0.9,580100125,580200125,580300125
126,RTC_S01_B126,126,P3,4,6,-6,7.9,10.1,0.15,90,0,0.9,580100126,580200126,580300126
127,RTC_S01_B127,127,P3,4,7,-6,7.9,10.1,0.15,90,0,0.9,580100127,580200127,580300127
128,RTC_S01_B128,128,P3,4,8,-6,7.9,10.1,0.15,90,0,0.9,580100128,580200128,580300128
129,RTC_S01_B129,129,P3,4,9,-6,7.9,10.1,0.15,90,0,0.9,580100129,580200129,580300129
130,RTC_S01_B130,130,P3,4,10,-6,7.9,10.1,0.15,90,0,0.9,580100130,580200130,580300130
131,RTC_S01_B131,131,P3,4,11,-6,7.9,10.1,0.15,90,0,0.9,580100131,580200131,580300131
132,RTC_S01_B132,132,P3,4,12,-6,7.9,10.1,0.15,90,0,0.9,580100132,580200132,580300132
133,RTC_S01_B133,133,P3,4,13,-6,7.9,10.1,0.15,90,0,0.9,580100133,580200133,580300133
134,RTC_S01_B134,134,P3,4,14,-6,7.9,10.1,0.15,90,0,0.9,580100134,580200134,580300134
135,RTC_S01_B135,135,P3,4,15,-6,7.9,10.1,0.15,90,0,0.9,580100135,580200135,580300135
136,RTC_S01_B136,136,P3,4,16,-6,7.9,10.1,0.15,90,0,0.9,580100136,580200136,580300136
137,RTC_S01_B137,137,P3,4,17,-6,7.9,10.1,0.15,90,0,0.9,580100137,580200137,580300137
138,RTC_S01_B138,138,P3,4,18,-6,7.9,10.1,0.15,90,0,0.9,580100138,580200138,580300138
139,RTC_S01_B139,139,P3,4,19,-6,7.9,10.1,0.15,90,0,0.9,580100139,580200139,580300139
140,RTC_S01_B140,140,P3,4,20,-6,7.9,10.1,0.15,90,0,0.9,580100140,580200140,580300140
141,RTC_S01_B141,141,P4,4,1,-6,8.1,9.95,0.1,135,-6,0.9,580100141,580200141,580300141
142,RTC_S01_B142,142,P4,4,2,-6,8.1,9.95,0.1,135,-6,0.9,580100142,580200142,580300142
143,RTC_S01_B143,143,P4,4,3,-6,8.1,9.95,0.1,135,-6,0.9,580100143,580200143,580300143
144,RTC_S01_B144,144,P4,4,4,-6,8.1,9.95,0.1,135,-6,0.9,580100144,580200144,580300144
145,RTC_S01_B145,145,P4,4,5,-6,8.1,9.95,0.1,135,-6,0.9,580100145,580200145,580300145
146,RTC_S01_B146,146,P4,4,6,-6,8.1,9.95,0.1,135,-6,0.9,580100146,580200146,580300146
147,RTC_S01_B147,147,P4,4,7,-6,8.1,9.95,0.1,135,-6,0.9,580100147,580200147,580300147
148,RTC_S01_B148,148,P4,4,8,-6,8.1,9.95,0.1,135,-6,0.9,580100148,580200148,580300148
149,RTC_S01_B149,149,P4,4,9,-6,8.1,9.95,0.1,135,-6,0.9,580100149,580200149,580300149
150,RTC_S01_B150,150,P4,4,10,-6,8.1,9.95,0.1,135,-6,0.9,580100150,580200150,580300150
151,RTC_S01_B151,151,P4,4,11,-6,8.1,9.95,0.1,135,-6,0.9,580100151,580200151,580300151
152,RTC_S01_B152,152,P4,4,12,-6,8.1,9.95,0.1,135,-6,0.9,580100152,580200152,580300152
153,RTC_S01_B153,153,P4,4,13,-6,8.1,9.95,0.1,135,-6,0.9,580100153,580200153,580300153
154,RTC_S01_B154,154,P4,4,14,-6,8.1,9.95,0.1,135,-6,0.9,580100154,580200154,580300154
155,RTC_S01_B155,155,P4,4,15,-6,8.1,9.95,0.1,135,-6,0.9,580100155,580200155,580300155
156,RTC_S01_B156,156,P4,4,16,-6,8.1,9.95,0.1,135,-6,0.9,580100156,580200156,580300156
157,RTC_S01_B157,157,P4,4,17,-6,8.1,9.95,0.1,135,-6,0.9,580100157,580200157,580300157
158,RTC_S01_B158,158,P4,4,18,-6,8.1,9.95,0.1,135,-6,0.9,580100158,580200158,580300158
159,RTC_S01_B159,159,P4,4,19,-6,8.1,9.95,0.1,135,-6,0.9,580100159,580200159,580300159
160,RTC_S01_B160,160,P4,4,20,-6,8.1,9.95,0.1,135,-6,0.9,580100160,580200160,580300160
161,RTC_S01_B161,161,P1,8,1,-6,8,10,0.3,45,0,0,580100161,580200161,580300161
162,RTC_S01_B162,162,P1,8,2,-6,8,10,0.3,45,0,0,580100162,580200162,580300162
163,RTC_S01_B163,163,P1,8,3,-6,8,10,0.3,45,0,0,580100163,580200163,580300163
164,RTC_S01_B164,164,P1,8,4,-6,8,10,0.3,45,0,0,580100164,580200164,580300164
165,RTC_S01_B165,165,P1,8,5,-6,8,10,0.3,45,0,0,580100165,580200165,580300165
166,RTC_S01_B166,166,P1,8,6,-6,8,10,0.3,45,0,0,580100166,580200166,580300166
167,RTC_S01_B167,167,P1,8,7,-6,8,10,0.3,45,0,0,580100167,580200167,580300167
168,RTC_S01_B168,168,P1,8,8,-6,8,10,0.3,45,0,0,580100168,580200168,580300168
169,RTC_S01_B169,169,P1,8,9,-6,8,10,0.3,45,0,0,580100169,580200169,580300169
170,RTC_S01_B170,170,P1,8,10,-6,8,10,0.3,45,0,0,580100170,580200170,580300170
171,RTC_S01_B171,171,P1,8,11,-6,8,10,0.3,45,0,0,580100171,580200171,580300171
172,RTC_S01_B172,172,P1,8,12,-6,8,10,0.3,45,0,0,580100172,580200172,580300172
173,RTC_S01_B173,173,P1,8,13,-6,8,10,0.3,45,0,0,580100173,580200173,580300173
174,RTC_S01_B174,174,P1,8,14,-6,8,10,0.3,45,0,0,580100174,580200174,580300174
175,RTC_S01_B175,175,P1,8,15,-6,8,10,0.3,45,0,0,580100175,580200175,580300175
176,RTC_S01_B176,176,P1,8,16,-6,8,10,0.3,45,0,0,580100176,580200176,580300176
177,RTC_S01_B177,177,P1,8,17,-6,8,10,0.3,45,0,0,580100177,580200177,580300177
178,RTC_S01_B178,178,P1,8,18,-6,8,10,0.3,45,0,0,580100178,580200178,580300178
179,RTC_S01_B179,179,P1,8,19,-6,8,10,0.3,45,0,0,580100179,580200179,580300179
180,RTC_S01_B180,180,P1,8,20,-6,8,10,0.3,45,0,0,580100180,580200180,580300180
181,RTC_S01_B181,181,P2,8,1,-6,8.2,10,0.2,0,-6,0,580100181,580200181,580300181
182,RTC_S01_B182,182,P2,8,2,-6,8.2,10,0.2,0,-6,0,580100182,580200182,580300182
183,RTC_S01_B183,183,P2,8,3,-6,8.2,10,0.2,0,-6,0,580100183,580200183,580300183
184,RTC_S01_B184,184,P2,8,4,-6,8.2,10,0.2,0,-6,0,580100184,580200184,580300184
185,RTC_S01_B185,185,P2,8,5,-6,8.2,10,0.2,0,-6,0,580100185,580200185,580300185
186,RTC_S01_B186,186,P2,8,6,-6,8.2,10,0.2,0,-6,0,580100186,580200186,580300186
187,RTC_S01_B187,187,P2,8,7,-6,8.2,10,0.2,0,-6,0,580100187,580200187,580300187
188,RTC_S01_B188,188,P2,8,8,-6,8.2,10,0.2,0,-6,0,580100188,580200188,580300188
189,RTC_S01_B189,189,P2,8,9,-6,8.2,10,0.2,0,-6,0,580100189,580200189,580300189
190,RTC_S01_B190,190,P2,8,10,-6,8.2,10,0.2,0,-6,0,580100190,580200190,580300190
191,RTC_S01_B191,191,P2,8,11,-6,8.2,10,0.2,0,-6,0,580100191,580200191,580300191
192,RTC_S01_B192,192,P2,8,12,-6,8.2,10,0.2,0,-6,0,580100192,580200192,580300192
193,RTC_S01_B193,193,P2,8,13,-6,8.2,10,0.2,0,-6,0,580100193,580200193,580300193
194,RTC_S01_B194,194,P2,8,14,-6,8.2,10,0.2,0,-6,0,580100194,580200194,580300194
195,RTC_S01_B195,195,P2,8,15,-6,8.2,10,0.2,0,-6,0,580100195,580200195,580300195
196,RTC_S01_B196,196,P2,8,16,-6,8.2,10,0.2,0,-6,0,580100196,580200196,580300196
197,RTC_S01_B197,197,P2,8,17,-6,8.2,10,0.2,0,-6,0,580100197,580200197,580300197
198,RTC_S01_B198,198,P2,8,18,-6,8.2,10,0.2,0,-6,0,580100198,580200198,580300198
199,RTC_S01_B199,199,P2,8,19,-6,8.2,10,0.2,0,-6,0,580100199,580200199,580300199
200,RTC_S01_B200,200,P2,8,20,-6,8.2,10,0.2,0,-6,0,580100200,580200200,580300200
201,RTC_S01_B201,201,P3,8,1,-6,7.9,10.1,0.15,90,0,0.9,580100201,580200201,580300201
202,RTC_S01_B202,202,P3,8,2,-6,7.9,10.1,0.15,90,0,0.9,580100202,580200202,580300202
203,RTC_S01_B203,203,P3,8,3,-6,7.9,10.1,0.15,90,0,0.9,580100203,580200203,580300203
204,RTC_S01_B204,204,P3,8,4,-6,7.9,10.1,0.15,90,0,0.9,580100204,580200204,580300204
205,RTC_S01_B205,205,P3,8,5,-6,7.9,10.1,0.15,90,0,0.9,580100205,580200205,580300205
206,RTC_S01_B206,206,P3,8,6,-6,7.9,10.1,0.15,90,0,0.9,580100206,580200206,580300206
207,RTC_S01_B207,207,P3,8,7,-6,7.9,10.1,0.15,90,0,0.9,580100207,580200207,580300207
208,RTC_S01_B208,208,P3,8,8,-6,7.9,10.1,0.15,90,0,0.9,580100208,580200208,580300208
209,RTC_S01_B209,209,P3,8,9,-6,7.9,10.1,0.15,90,0,0.9,580100209,580200209,580300209
210,RTC_S01_B210,210,P3,8,10,-6,7.9,10.1,0.15,90,0,0.9,580100210,580200210,580300210
211,RTC_S01_B211,211,P3,8,11,-6,7.9,10.1,0.15,90,0,0.9,580100211,580200211,580300211
212,RTC_S01_B212,212,P3,8,12,-6,7.9,10.1,0.15,90,0,0.9,580100212,580200212,580300212
213,RTC_S01_B213,213,P3,8,13,-6,7.9,10.1,0.15,90,0,0.9,580100213,580200213,580300213
214,RTC_S01_B214,214,P3,8,14,-6,7.9,10.1,0.15,90,0,0.9,580100214,580200214,580300214
215,RTC_S01_B215,215,P3,8,15,-6,7.9,10.1,0.15,90,0,0.9,580100215,580200215,580300215
216,RTC_S01_B216,216,P3,8,16,-6,7.9,10.1,0.15,90,0,0.9,580100216,580200216,580300216
217,RTC_S01_B217,217,P3,8,17,-6,7.9,10.1,0.15,90,0,0.9,580100217,580200217,580300217
218,RTC_S01_B218,218,P3,8,18,-6,7.9,10.1,0.15,90,0,0.9,580100218,580200218,580300218
219,RTC_S01_B219,219,P3,8,19,-6,7.9,10.1,0.15,90,0,0.9,580100219,580200219,580300219
220,RTC_S01_B220,220,P3,8,20,-6,7.9,10.1,0.15,90,0,0.9,580100220,580200220,580300220
221,RTC_S01_B221,221,P4,8,1,-6,8.1,9.95,0.1,135,-6,0.9,580100221,580200221,580300221
222,RTC_S01_B222,222,P4,8,2,-6,8.1,9.95,0.1,135,-6,0.9,580100222,580200222,580300222
223,RTC_S01_B223,223,P4,8,3,-6,8.1,9.95,0.1,135,-6,0.9,580100223,580200223,580300223
224,RTC_S01_B224,224,P4,8,4,-6,8.1,9.95,0.1,135,-6,0.9,580100224,580200224,580300224
225,RTC_S01_B225,225,P4,8,5,-6,8.1,9.95,0.1,135,-6,0.9,580100225,580200225,580300225
226,RTC_S01_B226,226,P4,8,6,-6,8.1,9.95,0.1,135,-6,0.9,580100226,580200226,580300226
227,RTC_S01_B227,227,P4,8,7,-6,8.1,9.95,0.1,135,-6,0.9,580100227,580200227,580300227
228,RTC_S01_B228,228,P4,8,8,-6,8.1,9.95,0.1,135,-6,0.9,580100228,580200228,580300228
229,RTC_S01_B229,229,P4,8,9,-6,8.1,9.95,0.1,135,-6,0.9,580100229,580200229,580300229
230,RTC_S01_B230,230,P4,8,10,-6,8.1,9.95,0.1,135,-6,0.9,580100230,580200230,580300230
231,RTC_S01_B231,231,P4,8,11,-6,8.1,9.95,0.1,135,-6,0.9,580100231,580200231,580300231
232,RTC_S01_B232,232,P4,8,12,-6,8.1,9.95,0.1,135,-6,0.9,580100232,580200232,580300232
233,RTC_S01_B233,233,P4,8,13,-6,8.1,9.95,0.1,135,-6,0.9,580100233,580200233,580300233
234,RTC_S01_B234,234,P4,8,14,-6,8.1,9.95,0.1,135,-6,0.9,580100234,580200234,580300234
235,RTC_S01_B235,235,P4,8,15,-6,8.1,9.95,0.1,135,-6,0.9,580100235,580200235,580300235
236,RTC_S01_B236,236,P4,8,16,-6,8.1,9.95,0.1,135,-6,0.9,580100236,580200236,580300236
237,RTC_S01_B237,237,P4,8,17,-6,8.1,9.95,0.1,135,-6,0.9,580100237,580200237,580300237
238,RTC_S01_B238,238,P4,8,18,-6,8.1,9.95,0.1,135,-6,0.9,580100238,580200238,580300238
239,RTC_S01_B239,239,P4,8,19,-6,8.1,9.95,0.1,135,-6,0.9,580100239,580200239,580300239
240,RTC_S01_B240,240,P4,8,20,-6,8.1,9.95,0.1,135,-6,0.9,580100240,580200240,580300240
241,RTC_S02_B001,1,P1,1,1,0,8,10,0.3,45,0,1,580100001,580200001,580300001
242,RTC_S02_B002,2,P1,1,2,0,8,10,0.3,45,0,1,580100002,580200002,580300002
243,RTC_S02_B003,3,P1,1,3,0,8,10,0.3,45,0,1,580100003,580200003,580300003
244,RTC_S02_B004,4,P1,1,4,0,8,10,0.3,45,0,1,580100004,580200004,580300004
245,RTC_S02_B005,5,P1,1,5,0,8,10,0.3,45,0,1,580100005,580200005,580300005
246,RTC_S02_B006,6,P1,1,6,0,8,10,0.3,45,0,1,580100006,580200006,580300006
247,RTC_S02_B007,7,P1,1,7,0,8,10,0.3,45,0,1,580100007,580200007,580300007
248,RTC_S02_B008,8,P1,1,8,0,8,10,0.3,45,0,1,580100008,580200008,580300008
249,RTC_S02_B009,9,P1,1,9,0,8,10,0.3,45,0,1,580100009,580200009,580300009
250,RTC_S02_B010,10,P1,1,10,0,8,10,0.3,45,0,1,580100010,580200010,580300010
251,RTC_S02_B011,11,P1,1,11,0,8,10,0.3,45,0,1,580100011,580200011,580300011
252,RTC_S02_B012,12,P1,1,12,0,8,10,0.3,45,0,1,580100012,580200012,580300012
253,RTC_S02_B013,13,P1,1,13,0,8,10,0.3,45,0,1,580100013,580200013,580300013
254,RTC_S02_B014,14,P1,1,14,0,8,10,0.3,45,0,1,580100014,580200014,580300014
255,RTC_S02_B015,15,P1,1,15,0,8,10,0.3,45,0,1,580100015,580200015,580300015
256,RTC_S02_B016,16,P1,1,16,0,8,10,0.3,45,0,1,580100016,580200016,580300016
257,RTC_S02_B017,17,P1,1,17,0,8,10,0.3,45,0,1,580100017,580200017,580300017
258,RTC_S02_B018,18,P1,1,18,0,8,10,0.3,45,0,1,580100018,580200018,580300018
