row_type,scope_type,scope_value,method_id,trial_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,mean_score_calls,mean_SVD_calls,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses,decision
METHOD,PROFILE,P2,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.22050698908079,0.482839136239986,0.133839483632792,0.429038755970137,2.69538682171874,16.2447280157688,0.198970091620999,0.442353186412754,0.198970717390876,0.443957995998197,3901.72222222222,7803.44444444444,4.6052063,5.57909151,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P3,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.077413915420132,0.302683984101595,0.0506292872544253,0.247560202358662,1.88982749461011,22.2601468034083,0.101754749369302,0.216062756928431,0.103919455029848,0.237617912097212,3594.61111111111,7189.22222222222,3.67199535,5.91795399,,NaN,NaN,NaN,NaN,
METHOD,PROFILE,P4,FULL4D_BEAMSPACE_CML_MULTISTART,18,18,0.213695714251728,0.358638669253707,0.0948646904471774,0.230974120078777,5.73260446303135,63.2229888376934,0.278781038663704,0.491185227340871,0.281177474034379,0.526958135517358,4692.05555555556,9384.11111111111,4.6412369,5.68795002,,NaN,NaN,NaN,NaN,
METHOD,L,1,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.211402985173538,0.407572476886661,0.0948646904471774,0.374780869103433,5.97849417586791,51.0836521301464,0.20088448706943,0.470627516682284,0.241824598031686,0.505857596591571,4065.29166666667,8130.58333333333,4.6157215,5.64766875,,NaN,NaN,NaN,NaN,
METHOD,L,4,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.103175124455672,0.25677794635213,0.0618345347024725,0.146208958056956,2.35032670644693,9.84013116460121,0.11049460451086,0.334470348512866,0.116207253906137,0.339638628095023,4285.70833333333,8571.41666666667,5.0060966,6.10928497,,NaN,NaN,NaN,NaN,
METHOD,L,8,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.111223472061877,0.335770411241864,0.0786396486220174,0.257189588465582,2.41162554771371,34.9224926392935,0.0832871191145915,0.45931876728671,0.0856786552872884,0.478137527058928,4262.83333333333,8525.66666666667,4.5739593,5.14093738,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,-6,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.219522501795737,0.448432617105857,0.134219327838409,0.37323225687399,6.98949663716662,39.7450330245775,0.227688371742613,0.523430706269177,0.227804368607908,0.545941748809796,4099.5,8199,4.828964,6.03402791,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,0,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.136170647785393,0.297098991303771,0.0723404894036961,0.259184050034827,2.48575726124044,19.1396406213752,0.156509547323625,0.430012093503254,0.160184678091812,0.446249758270312,4198.79166666667,8397.58333333333,4.6869854,5.80520498,,NaN,NaN,NaN,NaN,
METHOD,SNR_DB,6,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,0.0871183693024312,0.213391249583139,0.0484499009806806,0.139482296081118,1.85907493424987,20.2931408613131,0.0991801482205323,0.283594170471886,0.0992960974957734,0.315067480172124,4315.54166666667,8631.08333333333,4.56914205,5.86090741,,NaN,NaN,NaN,NaN,
METHOD,NOISE,WHITE,FULL4D_BEAMSPACE_CML_MULTISTART,36,36,0.119785766378613,0.336874059870069,0.0684320331944349,0.240581836680966,4.20171809049205,27.7327346178024,0.125860759165608,0.462087908866109,0.128705639797728,0.499719432785681,4230.55555555556,8461.11111111111,4.83772875,6.1473884,,NaN,NaN,NaN,NaN,
METHOD,NOISE,STAGE5_TOEPLITZ_CORRELATED,FULL4D_BEAMSPACE_CML_MULTISTART,36,36,0.148603267302639,0.359564821254254,0.109195216073377,0.274790287230678,2.41678941159124,35.575700254269,0.146109844681743,0.433009339818582,0.147596615960194,0.441153175872617,4178.66666666667,8357.33333333333,4.53107905,5.51842785,,NaN,NaN,NaN,NaN,
PAIRED,ALL,ALL,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VINCENT_ANCHORED_PROJECTOR_AML_SAFE_vs_TANGENT_PROFILE_SAFE,72,23,8,41,
PAIRED,PROFILE,P2,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VINCENT_ANCHORED_PROJECTOR_AML_SAFE_vs_TANGENT_PROFILE_SAFE,18,6,0,12,
PAIRED,PROFILE,P4,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VINCENT_ANCHORED_PROJECTOR_AML_SAFE_vs_TANGENT_PROFILE_SAFE,18,5,3,10,
PAIRED,ALL,ALL,VINCENT_ANCHORED_PROJECTOR_AML_SAFE,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,VINCENT_ANCHORED_PROJECTOR_AML_SAFE_vs_FULL4D_BEAMSPACE_CML_MULTISTART,72,40,0,32,
DECISION,ALL,ALL,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,STAGE8_K2_VINCENT_ANCHORED_AML_NOT_RETAINED
