scenario_id,profile_id,L,replicate_id,nominal_snr_db,K1_center_az_deg,K1_center_el_deg,K1_fit_valid,K1_status,K1_coarse_count,metric_rank,metric_condition,direction_az,direction_el,rho_hat_deg,rho_max_deg,profile_node_count,fit_valid,fit_status,axis_error_deg,rho_error_deg
RTC_S01_B044,P3,1,4,-6,8.07420496551963,9.90103866663013,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94117330220605,0.998894049566354,0.0470178449201052,0.001,1.05275436310514,46,1,RAW_TANGENT_CORE_VALID,87.3050823692075,0.148999999999999
RTC_S01_B045,P3,1,5,-6,8.02576946695038,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94056948590345,-0.53991887241788,0.841717061254556,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B046,P3,1,6,-6,8.3177567467542,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94114789768951,0.640416594351394,0.768027724551244,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B047,P3,1,7,-6,8.2441095872316,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94120348238993,0.298793446651902,0.954317806727862,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B048,P3,1,8,-6,7.57440547449747,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146906693462,-0.344685923550195,0.938718069553553,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B049,P3,1,9,-6,7.4,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069602604041,-0.500068331600761,0.865985948921824,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B050,P3,1,10,-6,7.53477312083872,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.940701838851,0.0288467610707462,0.99958384559562,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B051,P3,1,11,-6,7.4317818366907,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146794604861,-0.0411695744942934,0.999152173663231,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B052,P3,1,12,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,-0.943888837846803,0.330263321893624,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B053,P3,1,13,-6,7.49760924986864,10.0558751006547,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94105480098087,0.289011628633131,0.957325586472452,0.301099022906843,0.301099022906843,44,1,RAW_TANGENT_CORE_VALID,16.7987929260318,0.151099022906844
RTC_S01_B054,P3,1,14,-6,7.62000299201362,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069609432269,-0.283551016270566,0.958957152938508,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B055,P3,1,15,-6,8.11949098606809,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94128525866652,0.188645135426514,0.982045321194451,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B056,P3,1,16,-6,7.57296089778081,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146915980373,-0.113582158995416,0.993528607116041,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B057,P3,1,17,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,-0.637703132910319,0.770282230274309,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B058,P3,1,18,-6,7.4,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069602604041,0.560328417260369,0.828270526344195,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B059,P3,1,19,-6,8.2868496672851,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94040614683844,0.0167441102355539,0.99985980755925,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B060,P3,1,20,-6,7.99171714830654,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94058608878796,-0.0012596932461873,0.999999206586148,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B061,P4,1,1,-6,8.50419455827769,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94021842898217,0.123593085006027,0.992332983095238,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B062,P4,1,2,-6,8.22184769482831,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94121920684518,0.187718365463178,0.982222894901067,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B063,P4,1,3,-6,8.21651043985138,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94122290351612,-0.260657693026491,0.965431285522749,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B064,P4,1,4,-6,8.59361962355739,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94089009531854,-0.69078193984277,0.723063144951435,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B065,P4,1,5,-6,7.41606459291947,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069763808458,0.285311842163485,0.958434740982024,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B066,P4,1,6,-6,8.44509232936098,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94103858239805,-0.115630106862819,0.993292342861301,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B067,P4,1,7,-6,7.4,10.123252741946,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408851253659,0.999999531189018,0.000968308703015195,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B068,P4,1,8,-6,8.33818912825193,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94113149184158,0.0127955402705316,0.999918133723549,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B069,P4,1,9,-6,7.7391817134052,9.90658550522648,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94129825504967,0.168177953603443,0.985756651472237,0.001,0.216251150965691,43,1,RAW_TANGENT_CORE_VALID,54.6818982967342,0.098999999999998
RTC_S01_B070,P4,1,10,-6,7.55099488314662,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94147030503155,0.984742837998116,0.174015927464748,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B071,P4,1,11,-6,7.93677825299346,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9413786152625,0.865661829324433,0.500629201356329,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B072,P4,1,12,-6,7.4,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069602604041,-0.928970986749771,0.370152543929063,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B073,P4,1,13,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,0.592493359291964,0.805575334276642,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B074,P4,1,14,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.459589814934973,0.888131297730261,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B075,P4,1,15,-6,7.62860397403412,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146401174373,0.515651259024024,0.856798563880063,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B076,P4,1,16,-6,8.53755934847889,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94094871163217,0.426054599944513,0.904697451011177,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B077,P4,1,17,-6,8.19597981897234,10.1704484008062,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94054065914109,-0.626717801064258,0.77924630113282,0.001,0.0758466203839404,41,1,RAW_TANGENT_CORE_VALID,6.1916191522083,0.0989999999999998
RTC_S01_B078,P4,1,18,-6,8.22001201887063,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94122048144869,0.840752978376802,0.541418903761714,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B079,P4,1,19,-6,7.93345469429959,10.1741876007709,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94067323106827,0.365036935233506,0.930993037522477,0.001,0.0554513260330673,40,1,RAW_TANGENT_CORE_VALID,66.4098557784137,0.0990000000000011
RTC_S01_B080,P4,1,20,-6,7.4,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069602604041,-0.477262874478086,0.878760575267754,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B081,P1,4,1,-6,7.8027227768718,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94142727645414,-0.212180973579868,0.977230389647548,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B082,P1,4,2,-6,8.08744531884908,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94130387786994,-0.918384533840223,0.395689079964404,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B083,P1,4,3,-6,8.36275249447826,10.0282866315867,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94075783786877,0.0206281786270275,0.999787216484853,0.001,0.343499827927521,44,1,RAW_TANGENT_CORE_VALID,43.8180085882694,0.298999999999998
RTC_S01_B084,P1,4,4,-6,8.31037978751916,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94115371504844,0.278115943695372,0.960547511507074,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B085,P1,4,5,-6,8.27218060087993,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94041707708391,-0.207427579252748,0.978250376624177,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B086,P1,4,6,-6,7.89003333843911,9.93406317944654,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94121197626565,-0.598492048281641,0.801128746297151,0.001,0.334685729518976,44,1,RAW_TANGENT_CORE_VALID,81.7619747273214,0.299
RTC_S01_B087,P1,4,7,-6,7.9535317751449,9.89942251671059,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94123540400704,-0.979251826853393,0.202647130757612,0.981237842735666,0.981237842735666,46,1,RAW_TANGENT_CORE_VALID,56.6917988828788,0.681237842735666
RTC_S01_B088,P1,4,8,-6,7.81313659143132,10.1495406532284,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94077819430912,0.151693487978677,0.988427582428203,0.001,0.102100240156399,40,1,RAW_TANGENT_CORE_VALID,36.274920567208,0.299
RTC_S01_B089,P1,4,9,-6,8.18378947697506,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94124495327008,0.474022763500587,0.880512589167961,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B090,P1,4,10,-6,8.04699204700253,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94132600952337,0.444363085550969,0.895846777188835,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B091,P1,4,11,-6,7.4,10.0200996872128,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94112654292523,0.695294296700019,0.718725149814884,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B092,P1,4,12,-6,8.46799115993913,10.1327941333623,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94041717180627,-0.999113955322721,0.0420868658774701,0.001,0.264251819039453,43,1,RAW_TANGENT_CORE_VALID,47.4121122429362,0.298999999999998
RTC_S01_B093,P1,4,13,-6,7.49580861878431,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94147098993816,0.743528426198476,0.668704328859039,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B094,P1,4,14,-6,7.60218627613446,9.95547907946581,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94124745873321,0.498414197319261,0.866939033560375,0.00103694680734059,0.358685151889592,45,1,RAW_TANGENT_CORE_VALID,15.1048605192103,0.298963053192659
RTC_S01_B095,P1,4,15,-6,8.18506075426079,10.165205588838,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94056077082302,0.907395519897969,0.420277730160776,0.165578181592913,0.165578181592913,43,1,RAW_TANGENT_CORE_VALID,20.1478770054539,0.134421818407087
