row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
METHOD,SNR,0,0,CORE_PLUS,,,240,240,1,0.387428535963975,0.64329847160267,0.22403851593698,0.629540685017577,44.2996734130805,88.9113531296775,0.14896476211574,1.0015960184966,0.993098414104944,5.32455532033678,0.230972991615957,1.04211372235684,0.608333333333333,0.391666666666667,1766.5875,3582.43333333333,1.3366567,2.07743438,0,0,0,0,NaN,NaN,NaN
METHOD,SNR,0,0,TANGENT_PROFILE_SAFE,,,240,240,1,0.321091302429208,0.609659229587804,0.206155281280883,0.509901951359278,44.9999999999999,87.4539990736493,0.197146463968686,0.924314618853436,0.995000000000007,5.32455532033678,0.266607658629603,1.00605465396035,0.316666666666667,0.683333333333333,403.3875,880.575,4.32295105,4.64399566,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR,0,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,53,164,23,0.697368421052632,0,0
PAIRWISE,SNR,0,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,99,75,66,0.6,0,0.0699361370112482
METHOD,SNR_X_NOISE,0|WHITE,0,CORE_LITE,,,120,120,1,0.417415848608104,0.596149594743959,0.282842712474619,0.52366544097232,45,90,0.147213595499957,0.920526808589391,0.999999999999997,5.32455532033677,0.274264068711928,1.01038760757725,0,0,160.983333333333,369.983333333333,0.14453975,0.18005228,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,0|WHITE,0,CORE_PLUS,,,120,120,1,0.391862236713069,0.649717050129951,0.239481877092749,0.637988874470119,38.1646168463961,88.9269413949942,0.147213595499957,0.924314618853436,0.99083087590736,5.00827625302984,0.200028634093096,1.00605465396035,0.633333333333333,0.366666666666667,1686.75,3422.975,1.21311495,2.06408054,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,0|WHITE,0,TANGENT_PROFILE_SAFE,,,120,120,1,0.33166247903554,0.596149594743959,0.222648637153399,0.52366544097232,43.8397021974952,85.9563406190636,0.188547099848609,0.919803902718557,0.995000000000007,5.32455532033676,0.249999999999999,1.00055732146696,0.316666666666667,0.683333333333333,402.725,879.466666666667,4.2977939,4.7176605,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_NOISE,0|WHITE,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,25,82,13,0.657894736842105,0,0.000416739600794229
PAIRWISE,SNR_X_NOISE,0|WHITE,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,52,36,32,0.619047619047619,0,0.0662470305780199
METHOD,SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,0,CORE_LITE,,,120,120,1,0.409791327614598,0.62098711741871,0.223606797749979,0.509901951359278,45,90,0.182842712474619,1.05,1.23606797749979,7.00000000000007,0.320156211871643,1.0770329614269,0,0,163.416666666667,374.416666666667,0.14813515,0.18428478,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,0,CORE_PLUS,,,120,120,1,0.385803707151222,0.627670633604971,0.22360679774998,0.581115173880262,45,88.2334963609002,0.197312964503544,1.05,0.994899922441152,7.00000000000007,0.281619728083567,1.07805878776875,0.583333333333333,0.416666666666667,1846.425,3741.89166666667,1.39908395,2.07815159,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,0,TANGENT_PROFILE_SAFE,,,120,120,1,0.312790122314911,0.60995917301482,0.199999999999999,0.509901951359278,44.9999999999999,89.9999999999999,0.198981631678062,0.98432966528421,0.995833333333334,7.00000000000007,0.283102664562744,1.01777197486974,0.316666666666667,0.683333333333333,404.05,881.683333333333,4.369724,4.60800798,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,28,82,10,0.736842105263158,0,0
PAIRWISE,SNR_X_NOISE,0|STAGE5_TOEPLITZ_CORRELATED,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,47,39,34,0.580246913580247,0,0.071450117172614
METHOD,SNR_X_L,0|L=1,0,CORE_LITE,,,80,80,1,0.503991642739068,0.64213653000262,0.325818981320903,0.610694180930207,45,90,0.165028153987288,1.06491106406735,0.999999999999997,7.00000000000007,0.283102664562744,1.13150093792061,0,0,154.7625,357.2625,0.13760695,0.16387235,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=1,0,CORE_PLUS,,,80,80,1,0.508776354585212,0.684864881471305,0.328250817849663,0.655263930087437,45,89.7249179936582,0.147143960051441,1.06491106406735,0.992359140457419,7.00000000000007,0.213520742329448,1.13150093792061,0.5875,0.4125,1676.0125,3401.2125,1.3564774,1.96375715,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=1,0,TANGENT_PROFILE_SAFE,,,80,80,1,0.458706383996333,0.64213653000262,0.315732418008872,0.610694180930207,45,90,0.148869382056359,1.05149110640674,0.993749042672065,7.00000000000007,0.261411342443148,1.08247975907627,0.1625,0.8375,377.7625,829.2625,4.26343225,4.85873677,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,0|L=1,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,9,67,4,0.692307692307692,0,0
PAIRWISE,SNR_X_L,0|L=1,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,26,35,19,0.577777777777778,0,0.117846635320872
METHOD,SNR_X_L,0|L=4,0,CORE_LITE,,,80,80,1,0.411570447208824,0.575800518269946,0.214881039515431,0.503234598086368,45,90,0.182842712474619,0.966123253803306,1.23606797749979,5.32455532033678,0.320156211871642,1.01046758890031,0,0,164.4625,376.7125,0.14894695,0.18519307,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=4,0,CORE_PLUS,,,80,80,1,0.339146352298539,0.651548195002238,0.222786517605853,0.637422369942571,45,86.8721992111559,0.178014734366665,0.966123253803306,0.994922192521743,5.10694180930209,0.223564088465444,1.00699628347448,0.5875,0.4125,1721.725,3492.725,1.17206345,2.17552798,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=4,0,TANGENT_PROFILE_SAFE,,,80,80,1,0.257598277483668,0.574456264653802,0.197190585027265,0.500249378105603,45,89.9999999999998,0.199,0.966123253803306,0.996666666666665,5.32455532033678,0.283100723421899,1.00613463528341,0.375,0.625,414.175,902.1375,4.35247575,4.60800798,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,0|L=4,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,20,50,10,0.666666666666667,0,0.00284021845754534
PAIRWISE,SNR_X_L,0|L=4,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,35,22,23,0.603448275862069,0,0.0410593997393973
METHOD,SNR_X_L,0|L=8,0,CORE_LITE,,,80,80,1,0.316344105569879,0.526591638928526,0.214881039515431,0.412310562561766,44.9999999999999,90,0.147213595499958,0.802687768042613,0.999999999999997,6.26219776856147,0.282842712474618,0.889678236603851,0,0,167.375,382.625,0.14991965,0.18482467,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=8,0,CORE_PLUS,,,80,80,1,0.284396122030689,0.532270513119885,0.205105238871219,0.412524128558197,34.5992688746786,89.5846236058079,0.178765886534746,0.794427190999915,0.986257625693603,5.50129592027769,0.249999999999999,0.816217382399946,0.65,0.35,1902.025,3853.3625,1.38764535,2.18173615,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_L,0|L=8,0,TANGENT_PROFILE_SAFE,,,80,80,1,0.223606797749978,0.513156791267838,0.14142135623731,0.4,36.3070766111625,81.2934811148721,0.197220052135965,0.727266231546693,0.995000000000005,5.32455532033676,0.257842712474618,0.800321663213155,0.4125,0.5875,418.225,910.325,4.33668805,4.57284087,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_L,0|L=8,0,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,24,47,9,0.727272727272727,0,0.00091585843130222
PAIRWISE,SNR_X_L,0|L=8,0,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,38,18,24,0.612903225806452,0,0.0256759909505061
METHOD,SNR,6,6,CORE_LITE,,,240,240,1,0.351095982534569,0.556776436283001,0.206155281280882,0.434480168539289,40.2688388959871,78.8748285525793,0.265685424949237,0.901655250605964,1.66666666666669,5.6798692684791,0.35376148215657,1.00557321466958,0,0,162.741666666667,373.075,0.1442249,0.17765232,0,0,0,0,NaN,NaN,NaN
METHOD,SNR,6,6,CORE_PLUS,,,240,240,1,0.356647119277472,0.574679832142283,0.206155281280883,0.509901951359278,33.8734903684965,79.3478991096675,0.198973926445314,0.9,0.994987086306255,5.34842530460219,0.252150382772471,0.989036403711703,0.620833333333333,0.379166666666667,1892.08333333333,3833.125,1.3195273,2.49824179,0,0,0,0,NaN,NaN,NaN
METHOD,SNR,6,6,TANGENT_PROFILE_SAFE,,,240,240,1,0.242737106835198,0.552833609687399,0.141421356237309,0.412310562561766,30.9637565320736,73.2704061089315,0.199,0.9,0.996666666666665,5.32455532033676,0.265685424949238,1.00124921972504,0.408333333333333,0.591666666666667,410.541666666667,894.675,4.34069755,4.68786155,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR,6,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,84,142,14,0.857142857142857,0,0
PAIRWISE,SNR,6,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,119,64,57,0.676136363636364,0,0.0284287004114033
METHOD,SNR_X_NOISE,6|WHITE,6,CORE_LITE,,,120,120,1,0.301039864469807,0.556776436283001,0.199999999999999,0.413799525032177,30.9637565320736,90,0.247213595499958,0.916552506059644,1.2360679774998,5.32455532033677,0.299999999999999,1.00168161921949,0,0,161.3,370.3,0.14365865,0.17293686,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,6|WHITE,6,CORE_PLUS,,,120,120,1,0.336733182412707,0.574456264653802,0.200225618205161,0.509901951359278,32.7626659630632,80.0889359346588,0.181960864612015,0.901655250605964,0.994872345982601,5.32455532033678,0.217904773766915,0.98935891210359,0.641666666666667,0.358333333333333,1738.85833333333,3526.775,1.07990185,2.41250202,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,6|WHITE,6,TANGENT_PROFILE_SAFE,,,120,120,1,0.226538330179024,0.556776436283001,0.138099500656392,0.413799525032177,27.9028620349831,77.0553103363168,0.198894911759628,0.879329665284211,0.995762269368701,5.32455532033676,0.249999999999999,0.938903022215815,0.425,0.575,409.458333333333,892.616666666667,4.30071315,4.68786155,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_NOISE,6|WHITE,6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,43,69,8,0.843137254901961,0,0
PAIRWISE,SNR_X_NOISE,6|WHITE,6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,61,29,30,0.67032967032967,-0.000347308023049497,0.0293278659114715
METHOD,SNR_X_NOISE,6|STAGE5_TOEPLITZ_CORRELATED,6,CORE_LITE,,,120,120,1,0.371008337180735,0.556776436283001,0.223606797749978,0.500249378105604,44.9999999999999,78.6900675259797,0.297213595499959,0.9,1.82842712474619,5.83993367140419,0.388057656837817,1.01038760757725,0,0,164.183333333333,375.85,0.1452503,0.17955629,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,6|STAGE5_TOEPLITZ_CORRELATED,6,CORE_PLUS,,,120,120,1,0.361420807370024,0.576927035618437,0.211681370215623,0.509901951359278,36.5882597002016,77.3292351446002,0.205307904634031,0.899227857059229,0.996529001843824,5.67177835980597,0.282842712474619,0.988311902912389,0.6,0.4,2045.30833333333,4139.475,1.437145,2.60499675,0,0,0,0,NaN,NaN,NaN
