global_trial_index,trial_id,K,mode,noise_profile_id,L,snr_db,profile_id,element_trial_hash,fit_valid,fit_status,selected_source,selected_start_id,angles_hat_deg,joint_rmse_deg,rss,loglik_concentrated,effective_rank,score_call_count,svd_call_count,runtime_sec,fixed_grid_angles_deg,fixed_grid_joint_rmse_deg,fixed_grid_rss,fixed_grid_loglik,fixed_grid_valid,fixed_grid_condition_number,continuous_rss,continuous_loglik,continuous_valid,continuous_upgrade_flag,fallback_flag,q,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,truth_used_in_fit_flag
87,V22_K2_N1_L4_SM6_P3,2,CORE_PLUS,WHITE,4,-6,P3,12a6810c9f150e3d744f3560e4bb48128be15fb65e199b0f57c2d2262b11c1ce,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q1_KQ2,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,53.5279033504294,-121.835303971028,2,3572,7198,2.9738927,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,53.5279033504294,-121.835303971028,1,311.461666259443,NaN,NaN,0,0,1,15.0068023543143,1,1,0,0,0,0
88,V22_K2_N1_L4_SM6_P4,2,CORE_LITE,WHITE,4,-6,P4,bc61c9860353b1bf5deff1bb26b3b9faf5831c5aeb40fb5ae8881c9abf4200dd,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,44.8536963429747,-111.227479464602,2,148,344,0.1484996,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,44.8536963429747,-111.227479464602,1,52.1284110745457,NaN,NaN,0,0,0,9.83738744086221,1,1,0,0,0,0
88,V22_K2_N1_L4_SM6_P4,2,CORE_PLUS,WHITE,4,-6,P4,bc61c9860353b1bf5deff1bb26b3b9faf5831c5aeb40fb5ae8881c9abf4200dd,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q2_KQ1_PLUS_KQ1,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,44.8536963429747,-111.227479464602,2,2787,5623,2.2847962,[8.1999999999999993 9.8000000000000007;8 10.199999999999999],0.183811850990091,44.8536963429747,-111.227479464602,1,52.1284110745457,45.3214649779061,-111.84996506767,1,0,1,9.83738744086221,1,1,0,0,0,0
89,V22_K2_N1_L4_SP0_P1,2,CORE_LITE,WHITE,4,0,P1,545bc318ddfee45899cf2038165fcf9924e5a3e4c88e821223573da35c50eff2,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,58.5720993144096,-127.238627154852,2,150,346,0.1738533,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,58.5720993144096,-127.238627154852,1,106.050336607976,NaN,NaN,0,0,0,88.1505156159949,1,1,0,0,0,0
89,V22_K2_N1_L4_SP0_P1,2,CORE_PLUS,WHITE,4,0,P1,545bc318ddfee45899cf2038165fcf9924e5a3e4c88e821223573da35c50eff2,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[7.9189790669096514 9.910526418148617;8.1845854418193174 10.199999999999999],0.0891388196069406,57.7072132295234,-126.346050118279,2,3283,6614,3.057054,[8 10;8.1999999999999993 10.199999999999999],0.141681308325435,58.5720993144096,-127.238627154852,1,106.050336607976,57.7072132295234,-126.346050118279,1,1,0,88.1505156159949,1,1,0,0,0,0
90,V22_K2_N1_L4_SP0_P2,2,CORE_LITE,WHITE,4,0,P2,403b807aa199aebb5dce21dfbf4405e935238de62cfe0b21af194735643f2b30,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[8 10;8.4000000000000004 10],0.100000000000001,54.1292955056506,-122.505652169514,2,182,418,0.246859,[8 10;8.4000000000000004 10],0.100000000000001,54.1292955056506,-122.505652169514,1,39.7038175603639,NaN,NaN,0,0,0,51.8069369025886,1,1,0,0,0,0
90,V22_K2_N1_L4_SP0_P2,2,CORE_PLUS,WHITE,4,0,P2,403b807aa199aebb5dce21dfbf4405e935238de62cfe0b21af194735643f2b30,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q2_KQ1_PLUS_KQ1,[7.9663250369633092 9.9745821261210015;8.4524692615388393 9.9745821261210015],0.145615947069882,52.2019605420028,-120.330322565191,2,1674,3403,1.5581645,[8 10;8.4000000000000004 10],0.100000000000001,54.1292955056506,-122.505652169514,1,39.7038175603639,52.2019605420028,-120.330322565191,1,1,0,51.8069369025886,1,1,0,0,0,0
91,V22_K2_N1_L4_SP0_P3,2,CORE_LITE,WHITE,4,0,P3,7eb9ab2c894e9c5a09f7d9417b7a1812a004c5ad2b253caf198b20c4b8a9ad21,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,87.0165046668262,-150.988987986212,2,163,379,0.16571,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,87.0165046668262,-150.988987986212,1,311.461666259443,NaN,NaN,0,0,0,15.0068023543143,1,1,0,0,0,0
91,V22_K2_N1_L4_SP0_P3,2,CORE_PLUS,WHITE,4,0,P3,7eb9ab2c894e9c5a09f7d9417b7a1812a004c5ad2b253caf198b20c4b8a9ad21,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B2_K2_GROUPED_Q1_KQ2,[7.8921457352546405 10.182010824108186;7.8923992479709515 10.199999999999999],0.112687310273227,45.2349286758354,-111.735292221387,2,3457,6969,2.7724119,[7.7999999999999998 10;7.7999999999999998 10.199999999999999],0.103077640640442,87.0165046668262,-150.988987986212,1,311.461666259443,45.2349286758354,-111.735292221387,1,1,0,15.0068023543143,1,1,0,0,0,0
92,V22_K2_N1_L4_SP0_P4,2,CORE_LITE,WHITE,4,0,P4,724a8db70253dd4e0e8ed817152513ccde2cb5e94121f0bc06395f432ae44de6,1,VALID_FOR_LRT,FIXED_GRID_CORE_LITE,K2_GROUPED_Q1_KQ2,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,46.9283125857692,-113.940389808317,2,171,387,0.1636753,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,46.9283125857692,-113.940389808317,1,35.2369967632778,NaN,NaN,0,0,0,9.83738744086221,1,1,0,0,0,0
92,V22_K2_N1_L4_SP0_P4,2,CORE_PLUS,WHITE,4,0,P4,724a8db70253dd4e0e8ed817152513ccde2cb5e94121f0bc06395f432ae44de6,1,VALID_FOR_LRT,FIXED_GRID_FALLBACK,K2_GROUPED_Q1_KQ2,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,46.9283125857692,-113.940389808317,2,3537,7119,2.8986071,[7.7999999999999998 9.8000000000000007;8.1999999999999993 10],0.240684299837223,46.9283125857692,-113.940389808317,1,35.2369967632778,NaN,NaN,0,0,1,9.83738744086221,1,1,0,0,0,0
