scope_type,scope_value,method_id,total_count,applicable_count,fit_valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_runtime_sec,paired_count,tangent_wins,ties,tangent_losses,median_paired_delta_deg,reference_status
PROFILE,P3,TANGENT_PROFILE_SAFE,40,40,40,0.0673051425784074,0.203583724376149,4.33131805,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P3,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.161142842468634,0.317946469522874,4.0640657,40,35,0,5,-0.101100458976956,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P3,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.160936992815949,0.380105458304799,14.43968625,40,28,0,12,-0.0891754299664635,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P4,TANGENT_PROFILE_SAFE,40,40,40,0.105498644282977,0.397402732990268,4.35126085,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P4,FULL4D_BEAMSPACE_CML_MULTISTART,40,40,40,0.188817998348834,0.411104922537694,4.2727503,40,32,0,8,-0.0686701207289341,ELEMENT_REFERENCE_DESCRIPTIVE
PROFILE,P4,FULL4D_ELEMENT_CML_MULTISTART,40,40,40,0.192278067348845,0.407668777653035,38.66421685,40,29,0,11,-0.0420677600355754,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,WHITE,TANGENT_PROFILE_SAFE,80,80,80,0.122765110547266,0.302955378829087,4.28232805,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,WHITE,FULL4D_BEAMSPACE_CML_MULTISTART,80,80,80,0.165734205925839,0.36421582529364,4.16024255,80,59,0,21,-0.0354344898673038,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,WHITE,FULL4D_ELEMENT_CML_MULTISTART,80,80,80,0.165766276936567,0.363955639072782,3.5158663,80,59,0,21,-0.0354078276346627,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,STAGE5_TOEPLITZ_CORRELATED,TANGENT_PROFILE_SAFE,80,80,80,0.0882434503400769,0.397402732990268,4.45595245,0,0,0,0,NaN,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,STAGE5_TOEPLITZ_CORRELATED,FULL4D_BEAMSPACE_CML_MULTISTART,80,80,80,0.166717380685313,0.413920311165802,4.1295981,80,63,0,17,-0.0311280456900953,ELEMENT_REFERENCE_DESCRIPTIVE
NOISE,STAGE5_TOEPLITZ_CORRELATED,FULL4D_ELEMENT_CML_MULTISTART,80,80,80,0.158495879106785,0.381282986115991,86.37886705,80,50,0,30,-0.0165496305314747,ELEMENT_REFERENCE_DESCRIPTIVE
