global_trial_index,trial_id,K,noise_profile_id,noise_index,L,L_index,profile_id,profile_index,center_az_deg,center_el_deg,separation_deg,direction_deg,secondary_power_db,correlation_magnitude,source_correlation_contract,white_beamspace_snr_target_db,snr_db,snr_index,replicate_id,base_realization_index,base_realization_id,paired_original_trial_id,source_seed,noise_seed,snr_control_domain,protocol_id,cpi_id,range_doppler_cell_id,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,measurement_hash,element_trial_hash,resulting_element_snr_expected_db,resulting_raw_beamspace_snr_expected_db,resulting_white_beamspace_snr_expected_db
21,MC1_K2_N1_L1_SP22_P1_R03,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,22,22,7,3,2,MC1_BASE_N1_L1_P1_R03,MC1_BASE_N1_L1_P1_R03,430100002,430200002,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1d4f657909508fcea79e9e96c8a54418d5130664d46dea810cbec8d962da9bbb,0.580291261854934,31.1361593562732,22
22,MC1_K2_N1_L1_SM6_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,-6,-6,1,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,e04d5825e1797e5978882b4e4c93948c291525f781c54fb63d0e90177fdd49b1,-27.419720742674,3.83673126411885,-6.00000000000001
23,MC1_K2_N1_L1_SP0_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,0,0,2,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,84700d9504a6d5339b5c94e29f2cf091101a96da5ea43a10e70eab59e0428101,-21.419720742674,9.83673126411885,1.92865493310657e-15
24,MC1_K2_N1_L1_SP6_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,6,6,3,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,a0d433bb78c97a3ac7c4c63850d75ece8a2235c08c01918cc41c617a08a2acc2,-15.419720742674,15.8367312641188,6
25,MC1_K2_N1_L1_SP10_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,10,10,4,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,5ad70c05e4e47590662a40d0f844319c1735f54a592910141b2a1fd1ffaf84f6,-11.419720742674,19.8367312641188,10
26,MC1_K2_N1_L1_SP14_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,14,14,5,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,f2b8060eedcc460224fc2e021c57e51842ba1a939d1a0691b6a1de1888c16d79,-7.41972074267402,23.8367312641188,14
27,MC1_K2_N1_L1_SP18_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,18,18,6,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,200249da2b32d29017a1cfba13176657b5aeb6d268e9dee8df0a5f567d42f489,-3.41972074267402,27.8367312641188,18
28,MC1_K2_N1_L1_SP22_P1_R04,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,22,22,7,4,3,MC1_BASE_N1_L1_P1_R04,MC1_BASE_N1_L1_P1_R04,430100003,430200003,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,dd17d2cb3c91cdf7715899db61d3204ff23b0a7784e66c87a14b8e80a4a67516,0.58027925732598,31.8367312641189,22
29,MC1_K2_N1_L1_SM6_P1_R05,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,-6,-6,1,5,4,MC1_BASE_N1_L1_P1_R05,MC1_BASE_N1_L1_P1_R05,430100004,430200004,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,2b571a0d3fc67b910492f47d33ccb6f88521e9fd55882dabc8130c2da7c32d90,-27.4197146865893,3.48997654475121,-6
30,MC1_K2_N1_L1_SP0_P1_R05,2,WHITE,1,1,1,P1,1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,0,0,2,5,4,MC1_BASE_N1_L1_P1_R05,MC1_BASE_N1_L1_P1_R05,430100004,430200004,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,STAGE8_K2_TANGENT_WHITE_SNR_MONTE_CARLO_AND_CLOSURE_V1,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,3b91c902feeb05719575da880bf2e940ddcae7e541148f817732ca2e914164fd,-21.4197146865893,9.48997654475122,3.85730986621315e-15
