domain,method_id,nominal_snr_db,profile_id,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,18,P1,60,60,60,0,0,1,0.866666666666667,0.3,0.0509134363165504,0.142754729998577,0.122410991539848,0.312203621217707,5.004570866615,27.4131512823349,0.0587904715935206,0.369378501114568,242.0931833,4.2679654,4.57014695,279253,558506,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,18,P2,60,60,60,0,0,1,0.4,0.05,0.121425091611713,0.282305147967858,0.226358373362007,0.497313380979445,9.19892383229532,30.1583081613516,0.198986535314095,0.581010446765948,210.0444549,3.6176593,4.4492969,239777,479554,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,18,P3,60,60,60,0,0,1,0.866666666666667,0.166666666666667,0.0638392844683828,0.12010503226871,0.161699178866337,0.264333532909243,7.82667165401895,55.8213532952311,0.0807565403251964,0.274008065092618,230.9222663,4.2531586,4.656368,261386,522772,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,18,P4,60,60,60,0,0,1,0.483333333333333,0,0.107653853169527,0.199476495506722,0.235772659362896,0.420428890453989,23.7319806408698,72.6535165181306,0.307666308999708,0.580316366092933,265.0166568,4.2595392,6.2659105,280827,561654,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,22,P1,60,60,60,0,0,1,0.916666666666667,0.55,0.0400395596295915,0.071680315514953,0.099732826083026,0.169033209088418,2.86816141497569,10.2961399755843,0.0494108395134949,0.252339178754249,243.5849741,4.2052636,4.35893465,288541,577082,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,22,P2,60,60,60,0,0,1,0.516666666666667,0.133333333333333,0.0962521355954693,0.234719436525831,0.190708486336201,0.423666152799605,3.13395415588927,17.3628749396267,0.192671869567231,0.433785806523727,196.0432178,3.5268044,4.17832645,230668,461336,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,22,P3,60,60,60,0,0,1,0.933333333333333,0.216666666666667,0.0398898726546253,0.073537437494642,0.104287853961264,0.204250633355703,4.46161750754177,42.4276450185369,0.0872468905711999,0.253680407924929,218.0883746,4.09782105,4.34923155,256871,513742,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,22,P4,60,60,60,0,0,1,0.583333333333333,0,0.083296372155385,0.187587206683137,0.192274570800806,0.342260235941293,17.4415531013871,70.5537074320809,0.270051387639055,0.446045284007589,243.054733,4.1190407,4.28504065,288468,576936,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,-6,P1,60,60,21,0,39,0.35,0.133333333333333,0,0.128616637266071,0.220803647927621,0.274494559303679,0.471329950790105,45.3655430742303,81.9819938081697,0.298999999999999,0.451895137094268,4.7881951,0.06245645,0.1239,8293,16646,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":39}"
BEAMSPACE,TANGENT_PROFILE_CORE,-6,P2,60,60,24,0,36,0.4,0.15,0,0.122994358132868,0.2309106533051,0.266514962218653,0.491586904057821,60.8473021722128,88.9887735167665,0.198999999999998,0.34242698567667,5.5057932,0.07873965,0.1511069,8690,17440,120,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":36}"
