measurement_identity,case_type,case_id,angle1_az,angle1_el,angle2_az,angle2_el,key1,key2,exact_key_error_deg,legacy_vs_direct_G_rel_error,legacy_vs_direct_G_abs_error,direct_vs_dictionary_G_rel_error,direct_vs_dictionary_G_abs_error,singular_value_abs_error,sigma1_direct,sigma2_direct,sigma1_dictionary,sigma2_dictionary,rank_threshold_direct,rank_threshold_dictionary,rank_threshold_abs_difference,rank_direct,rank_dictionary,rank_match,first_column_rel_error,second_column_rel_error,continuous_numeric_pass,discrete_decision_pass,static_pass,failure_reason
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_08,7.4,9.8,7.8,10,OMEGA_01,OMEGA_08,0,0,0,2.46655709796073e-11,1.58796550805391e-09,1.95399252334028e-13,63.600943820319,10.7200398839731,63.600943820319,10.7200398839733,2.11833696651628e-13,2.11833696651628e-13,7.57306469012171e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_09,7.4,9.8,7.8,10.2,OMEGA_01,OMEGA_09,0,0,0,1.61040796848258e-12,8.44227158584111e-11,6.21724893790088e-14,63.3046246933482,12.3500257464162,63.3046246933482,12.3500257464163,2.10846755699428e-13,2.10846755699428e-13,0,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_10,7.4,9.8,8,9.8,OMEGA_01,OMEGA_10,0,0,0,2.29318842758554e-11,1.47684577503302e-09,1.4388490399142e-13,62.718938941747,15.0443796665537,62.718938941747,15.0443796665535,2.08896030279561e-13,2.08896030279561e-13,1.26217744835362e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_11,7.4,9.8,8,10,OMEGA_01,OMEGA_11,0,0,0,6.40881942979411e-12,3.52874860944267e-10,1.20792265079217e-13,62.6259274604662,15.4270068528859,62.6259274604661,15.4270068528859,2.08586239815343e-13,2.08586239815343e-13,4.03896783473158e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_12,7.4,9.8,8,10.2,OMEGA_01,OMEGA_12,0,0,0,1.0143391205455e-11,6.48912877856098e-10,1.13686837721616e-13,62.3449630831422,16.5258658521388,62.3449630831422,16.5258658521387,2.0765044045293e-13,2.07650440452929e-13,5.04870979341448e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_13,7.4,9.8,8.2,9.8,OMEGA_01,OMEGA_13,0,0,0,4.2319081647049e-12,2.6441280709072e-10,7.105427357601e-15,61.377677116829,19.8186627262928,61.377677116829,19.8186627262928,2.04428730999336e-13,2.04428730999336e-13,2.52435489670724e-29,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_14,7.4,9.8,8.2,10,OMEGA_01,OMEGA_14,0,0,0,6.65938233150794e-12,4.14849486344729e-10,1.13686837721616e-13,61.292720364275,20.0798839713386,61.2927203642749,20.0798839713385,2.04145768170988e-13,2.04145768170988e-13,3.78653234506086e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_15,7.4,9.8,8.2,10.2,OMEGA_01,OMEGA_15,0,0,0,1.1964008584769e-11,7.68191476989709e-10,6.03961325396085e-14,61.0330320784822,20.8558778017708,61.0330320784821,20.8558778017707,2.0328083242865e-13,2.0328083242865e-13,1.51461293802434e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_16,7.4,9.8,8.4,9.8,OMEGA_01,OMEGA_16,0,0,0,7.61645182838404e-12,4.84855370278159e-10,6.03961325396085e-14,59.7081453404159,24.3913102230179,59.7081453404159,24.391310223018,1.98868073143785e-13,1.98868073143785e-13,1.51461293802434e-28,2,2,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,CANONICAL_PAIR,PAIR_01_17,7.4,9.8,8.4,10,OMEGA_01,OMEGA_17,0,0,0,2.91997505413734e-11,1.88211726640292e-09,2.48689957516035e-14,59.6333554003475,24.5736083566866,59.6333554003476,24.5736083566866,1.98618972603362e-13,1.98618972603362e-13,7.57306469012171e-29,2,2,1,NaN,NaN,1,1,1,
