domain,method_id,profile_id,nominal_snr_db,fit_status,elevation_status,conditional_status,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,22,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,20,0,1,1,0.0217541094403307,0.0383005596626562,0.0430871780550912,0.0750363666896061,1.27983978001202,3.07739641939492,0.0523498005024411,0.0989111369659438,76.6235273,3.9397741,4.0539045,92976,185952,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,-6,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,1,0,0,0.05,0,0.184919132440906,0.25029472572595,0.433868374866122,0.563136366788139,52.887301002511,82.4044253040339,0.239173407615642,0.368690848084943,33.2643285,1.5079027,3.12659295,38925,77850,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,0,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,2,0,0,0.1,0,0.164349347492642,0.217331705288978,0.341495712656229,0.507779711861691,36.8936183010003,78.604884827623,0.253827662240862,0.458118377743591,48.3062759,2.24424075,3.8654335,56039,112078,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,6,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,8,1,0,0.4,0.05,0.104490598736696,0.163818491937361,0.234419882855734,0.292103661352196,13.7362959591452,46.1292042411444,0.238584328660572,0.393128422948097,69.8623034,3.6493214,4.3485546,84458,168916,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,10,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,16,10,0,0.8,0.5,0.0679143496285296,0.12294552460428,0.147907808205817,0.236091471603737,4.28025941714482,13.0953207011677,0.138699411556601,0.310119477460324,75.0860953,3.79005725,4.3381202,90492,180984,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,14,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,14,0,1,0.7,0.0464882394074473,0.0851823209801461,0.0968072891789526,0.175849490517997,3.08154439438232,8.23954145066331,0.0852804351883985,0.210954811937906,78.7568145,4.037017,4.28579905,93802,187604,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,18,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,19,0,1,0.95,0.0331393594793418,0.0650547559950639,0.0703104392449878,0.139727163971757,1.84222336776199,5.28610579233208,0.0613989091165427,0.159906242747611,76.9149399,4.00455735,4.07398005,92610,185220,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,22,FULL4D_CML_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,20,0,1,1,0.0163681392317356,0.0482664170897783,0.0401472370318573,0.102107834625435,1.11230459174255,3.41049846498837,0.0430744891125239,0.121793002741212,77.6555371,3.995009,4.07493305,94272,188544,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,-6,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,5,5,5,0,0,1,1,0,2,0.2,0,0.143995047628909,0.185178367443296,0.284201281914408,0.360801405199474,29.6427827447169,45.1644081911459,0.448816242094968,0.449000000000002,0.6126905,0.1177227,0.1525384,953,1911,10,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,-6,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NOT_A_STAGE,NOT_A_STAGE,15,15,0,0,15,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2230949,0.0539315,0.0928384,1684,3383,30,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":15}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,0,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,18,18,18,0,0,1,8,3,6,0.444444444444444,0.166666666666667,0.100405819391175,0.141606965870685,0.244236948517082,0.295453039838156,24.9197553853378,71.2711715696679,0.353548597941391,0.449000000000001,1.7546749,0.09704145,0.1080074,3352,6722,36,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NOT_A_STAGE,NOT_A_STAGE,2,2,0,0,2,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1056746,0.0528373,0.0532192,224,450,4,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":2}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,6,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,14,8,8,0.7,0.4,0.085024214506433,0.118481615416416,0.21472807134576,0.254222863614259,10.0126178776935,32.7281870857598,0.313613543774769,0.449000000000002,1.9000692,0.0948859,0.10416895,3565,7150,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,10,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,18,12,5,0.9,0.6,0.0457661001366343,0.099519711973838,0.117882162109137,0.23056067543633,6.39814146115176,17.2682359191664,0.150072207709191,0.449000000000001,1.8836897,0.09489685,0.1000557,3581,7182,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,14,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,15,4,1,0.75,0.03324757553206,0.0940940660017268,0.0858133979214563,0.226950459569488,3.5155793994301,10.119262926384,0.143377361133045,0.449000000000001,1.8247995,0.09420615,0.09628215,3475,6970,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,18,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,19,0,1,0.95,0.0210472093425697,0.0554361381660212,0.053535832133266,0.138044394443459,2.0353500005903,5.61145063283313,0.0955635153938307,0.271341683707414,1.8576298,0.09377725,0.1015834,3478,6976,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,22,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,20,20,0,1,1,0.013331056753971,0.0295206465871717,0.034551993378872,0.0730173661512976,1.15262885635389,3.26319341209504,0.0632285518350919,0.142236547993119,1.8274395,0.09249105,0.1010535,3478,6976,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,-6,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,11,11,11,0,0,1,1,1,5,0.0909090909090909,0.0909090909090909,0.128159172398331,0.243224759098389,0.27668704200562,0.499262753610615,62.2064526797914,82.4528968883256,0.448821572809645,0.449000000000002,1.0821288,0.0993277,0.11382292,2029,4069,22,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,-6,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NOT_A_STAGE,NOT_A_STAGE,9,9,0,0,9,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4664914,0.0518008,0.05358528,1009,2027,18,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":9}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,0,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,19,19,19,0,0,1,6,2,6,0.315789473684211,0.105263157894737,0.125370504160882,0.185060846623374,0.260543858896653,0.351915480137984,39.5897057030261,76.0718662621959,0.332146567705501,0.449000000000001,1.8890439,0.0992077,0.11175818,3512,7043,38,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NOT_A_STAGE,NOT_A_STAGE,1,1,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0812194,0.0812194,0.0812194,112,225,2,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":1}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,6,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,11,1,8,0.55,0.05,0.0968434332438279,0.154354194126289,0.217650134546983,0.297242075722213,13.5447444918979,38.1253185332461,0.286832356391258,0.449000000000002,1.8600416,0.09409145,0.09892355,3590,7200,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,10,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,12,4,4,0.6,0.2,0.0905168873978687,0.151965866255497,0.199473991012536,0.292083497931586,4.79409459457274,13.2489566504844,0.192347623233457,0.449000000000001,1.9111108,0.09674155,0.0987704,3614,7248,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,14,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,13,9,1,0.65,0.45,0.0734757236434178,0.119740433425587,0.150815513002522,0.236779357755536,3.34360586734695,7.21438656643772,0.146954353935782,0.448583605095161,1.8740546,0.0939252,0.1012496,3558,7136,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,18,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,16,11,0,0.8,0.55,0.0564868301759549,0.123635294143715,0.10986079846229,0.240410669203681,2.31767491112491,4.35679063779235,0.0986665252217794,0.270265588182887,1.8699954,0.09271575,0.09628845,3611,7242,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,22,RAW_TANGENT_CORE_VALID,NOT_A_STAGE,NOT_A_STAGE,20,20,20,0,0,1,15,13,1,0.75,0.65,0.0466456655004007,0.129847114484487,0.0951174749561066,0.250118233496868,1.35908531463923,2.84457039726413,0.0756481504765858,0.266448056985933,1.8561429,0.09326635,0.0967375,3602,7224,40,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,-6,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,NOT_RUN_INVALID_ELEVATION,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1565401,0.00218265,0.00863985,1220,0,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":20}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,NOT_RUN_INVALID_ELEVATION,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0401845,0.00196915,0.0022178,1220,0,20,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":20}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,6,CONDITIONAL_AZ_CML_VALID,ROOT_MUSIC_TWO_ELEVATIONS_VALID,CONDITIONAL_AZ_CML_VALID,8,8,8,0,0,1,8,1,0,1,0.125,0.0782181757084046,0.0870567276574282,0.160741787888493,0.216985262367527,0.951509414282874,2.74125423613809,0.218889329422726,0.43275919877137,14.6552503,1.7463578,2.24980905,34061,33573,8,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,6,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,NOT_RUN_INVALID_ELEVATION,12,12,0,0,12,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0246104,0.00196495,0.00237708,732,0,12,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":12}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,10,CONDITIONAL_AZ_CML_VALID,ROOT_MUSIC_TWO_ELEVATIONS_VALID,CONDITIONAL_AZ_CML_VALID,13,13,13,0,0,1,13,3,0,1,0.230769230769231,0.0769838342481806,0.0894839204301279,0.161905374550249,0.20942093456451,0.723165140902124,1.70037309425594,0.276981534541305,0.418513315967081,26.0444652,2.0820685,2.36173534,57896,57103,13,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,10,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,NOT_RUN_INVALID_ELEVATION,7,7,0,0,7,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0134403,0.0019108,0.00198244,427,0,7,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":7}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,14,CONDITIONAL_AZ_CML_VALID,ROOT_MUSIC_TWO_ELEVATIONS_VALID,CONDITIONAL_AZ_CML_VALID,18,18,18,0,0,1,18,13,0,1,0.722222222222222,0.0490766351593903,0.0826926315874976,0.1134175288136,0.189611063738102,0.493232470190034,1.13424163617628,0.0648560212551438,0.375644685452856,33.2828043,1.6424669,2.51517543,77370,76272,18,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,14,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,NOT_RUN_INVALID_ELEVATION,2,2,0,0,2,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0042081,0.00210405,0.0022924,122,0,2,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":2}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,18,CONDITIONAL_AZ_CML_VALID,ROOT_MUSIC_TWO_ELEVATIONS_VALID,CONDITIONAL_AZ_CML_VALID,20,20,20,0,0,1,20,20,0,1,1,0.025128956998894,0.0420869185491788,0.0553320538268666,0.08632459024754,0.531154287191497,1.50987895133389,0.0494553892718926,0.122084701347539,31.264629,1.55872165,1.62408885,79179,77959,20,"{""reason"":[],""count"":[]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,22,CONDITIONAL_AZ_CML_VALID,ROOT_MUSIC_TWO_ELEVATIONS_VALID,CONDITIONAL_AZ_CML_VALID,20,20,20,0,0,1,20,20,0,1,1,0.0138598273936727,0.031060839255336,0.0306951102517518,0.0638588634022568,0.364693806242132,0.983485194742704,0.0367857939707175,0.0713188116695421,30.9676409,1.54476925,1.5975188,79056,77836,20,"{""reason"":[],""count"":[]}"
