domain,method_id,profile_id,nominal_snr_db,L,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,-6,8,20,20,5,0,15,0.25,1,0,2,0.05,0,0.143995047628909,0.185178367443296,0.284201281914408,0.360801405199474,29.6427827447169,45.1644081911459,0.448816242094968,0.449000000000002,1.8357854,0.0571569,0.1361172,2637,5294,40,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":15}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,0,8,20,20,18,0,2,0.9,8,3,6,0.4,0.15,0.100405819391175,0.141606965870685,0.244236948517082,0.295453039838156,24.9197553853378,71.2711715696679,0.353548597941391,0.449000000000001,1.8603495,0.0964578,0.1068846,3576,7172,40,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":2}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,6,8,20,20,20,0,0,1,14,8,8,0.7,0.4,0.085024214506433,0.118481615416416,0.21472807134576,0.254222863614259,10.0126178776935,32.7281870857598,0.313613543774769,0.449000000000002,1.9000692,0.0948859,0.10416895,3565,7150,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,10,8,20,20,20,0,0,1,18,12,5,0.9,0.6,0.0457661001366343,0.099519711973838,0.117882162109137,0.23056067543633,6.39814146115176,17.2682359191664,0.150072207709191,0.449000000000001,1.8836897,0.09489685,0.1000557,3581,7182,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,14,8,20,20,20,0,0,1,20,15,4,1,0.75,0.03324757553206,0.0940940660017268,0.0858133979214563,0.226950459569488,3.5155793994301,10.119262926384,0.143377361133045,0.449000000000001,1.8247995,0.09420615,0.09628215,3475,6970,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,18,8,20,20,20,0,0,1,20,19,0,1,0.95,0.0210472093425697,0.0554361381660212,0.053535832133266,0.138044394443459,2.0353500005903,5.61145063283313,0.0955635153938307,0.271341683707414,1.8576298,0.09377725,0.1015834,3478,6976,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,22,8,20,20,20,0,0,1,20,20,0,1,1,0.013331056753971,0.0295206465871717,0.034551993378872,0.0730173661512976,1.15262885635389,3.26319341209504,0.0632285518350919,0.142236547993119,1.8274395,0.09249105,0.1010535,3478,6976,40,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,-6,8,20,20,11,0,9,0.55,1,1,5,0.05,0.05,0.128159172398331,0.243224759098389,0.27668704200562,0.499262753610615,62.2064526797914,82.4528968883256,0.448821572809645,0.449000000000002,1.5486202,0.07918535,0.1092048,3038,6096,40,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":9}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,0,8,20,20,19,0,1,0.95,6,2,6,0.3,0.1,0.125370504160882,0.185060846623374,0.260543858896653,0.351915480137984,39.5897057030261,76.0718662621959,0.332146567705501,0.449000000000001,1.9702633,0.09908415,0.1114038,3624,7268,40,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":1}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,6,8,20,20,20,0,0,1,11,1,8,0.55,0.05,0.0968434332438279,0.154354194126289,0.217650134546983,0.297242075722213,13.5447444918979,38.1253185332461,0.286832356391258,0.449000000000002,1.8600416,0.09409145,0.09892355,3590,7200,40,"{""reason"":[],""count"":[]}"
