diagnostic_row_index,evaluation_row_index,diagnostic_trial_id,common_trial_id,global_trial_index,trial_type,stratum_index,stratum_id,pairing_key,trial_index_within_stratum,profile_id,sentinel_flag,measurement_config_id,noise_profile_id,L,parameter_seed,element_noise_seed,separation_auxiliary_seed,center_az_deg,center_el_deg,snr_db,secondary_power_db,correlation_magnitude,correlation_phase_rad,true_separation_deg,direction_deg,element_trial_hash,threshold_calibration_hash,threshold_artifact_hash,q_global,lambda_12,state,diagnostic_state,false_split_flag,false_resolved_flag,K2_UNRESOLVED_flag,SEARCH_NOT_CONVERGED_flag,NUMERIC_RANK_DEFICIENT_flag,decision_available_flag,lrt_split_detected_flag,separation_evaluated_flag,fit1_validity_status,fit2_validity_status,separation_status,valid_k1_fit_flag,valid_k2_fit_flag,truth_target1_az_deg,truth_target1_el_deg,truth_target2_az_deg,truth_target2_el_deg,k1_estimate_az_deg,k1_estimate_el_deg,k2_selected_start_id,initial_target1_az_deg,initial_target1_el_deg,initial_target2_az_deg,initial_target2_el_deg,final_target1_az_deg,final_target1_el_deg,final_target2_az_deg,final_target2_el_deg,azimuth_rmse_deg,elevation_rmse_deg,joint_2d_rmse_deg,initial_joint_2d_rmse_deg,joint_refinement_improved_flag,true_separation_az_deg,true_separation_el_deg,estimated_separation_az_deg,estimated_separation_el_deg,separation_vector_error_deg,score_call_count,svd_call_count,truth_used_in_fit_flag,truth_used_in_classifier_flag,row_runtime_sec
11,11,CD_K1_L1_N1_T06,CD_K1_L1_N1_T06,6,K1,1,K1V_L1_N1,CD_K1_L1_N1_T06,6,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072705,2426072805,2426072905,7.6249240192907,10.0085692448182,1.68681279658833,NaN,NaN,NaN,NaN,NaN,7ddf1b0e1b64e53e71cdb62add933183de5d94203bce155bd2250b467291fbf1,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,7.0967206251121,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.6786705
12,12,CD_K1_L1_N1_T06,CD_K1_L1_N1_T06,6,K1,1,K1V_L1_N1,CD_K1_L1_N1_T06,6,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072705,2426072805,2426072905,7.6249240192907,10.0085692448182,1.68681279658833,NaN,NaN,NaN,NaN,NaN,7ddf1b0e1b64e53e71cdb62add933183de5d94203bce155bd2250b467291fbf1,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,6.67224418395012,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.6786705
13,13,CD_K1_L1_N1_T07,CD_K1_L1_N1_T07,7,K1,1,K1V_L1_N1,CD_K1_L1_N1_T07,7,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072706,2426072806,2426072906,8.43113763318355,10.2363821564848,-6.67512973744702,NaN,NaN,NaN,NaN,NaN,519e70173940647f6e434cf7d0bef040cf43e6bf471e03d93a92b2ea14aa1953,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,5.16180329983538,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.67601715
14,14,CD_K1_L1_N1_T07,CD_K1_L1_N1_T07,7,K1,1,K1V_L1_N1,CD_K1_L1_N1_T07,7,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072706,2426072806,2426072906,8.43113763318355,10.2363821564848,-6.67512973744702,NaN,NaN,NaN,NaN,NaN,519e70173940647f6e434cf7d0bef040cf43e6bf471e03d93a92b2ea14aa1953,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,3.24969607774542,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.67601715
15,15,CD_K1_L1_N1_T08,CD_K1_L1_N1_T08,8,K1,1,K1V_L1_N1,CD_K1_L1_N1_T08,8,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072707,2426072807,2426072907,8.0331240300106,10.1783295279867,-7.83786734870504,NaN,NaN,NaN,NaN,NaN,52fdfc63b15bbf7c7f2295d52ca0dd2f87956bcdb6cba38464c83175e8b4fcf1,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,2.42663525814922,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.6350956
16,16,CD_K1_L1_N1_T08,CD_K1_L1_N1_T08,8,K1,1,K1V_L1_N1,CD_K1_L1_N1_T08,8,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072707,2426072807,2426072907,8.0331240300106,10.1783295279867,-7.83786734870504,NaN,NaN,NaN,NaN,NaN,52fdfc63b15bbf7c7f2295d52ca0dd2f87956bcdb6cba38464c83175e8b4fcf1,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,2.48858423896168,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.6350956
17,17,CD_K1_L1_N1_T09,CD_K1_L1_N1_T09,9,K1,1,K1V_L1_N1,CD_K1_L1_N1_T09,9,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072708,2426072808,2426072908,7.96502300587551,9.91178873477339,6.11308483879974,NaN,NaN,NaN,NaN,NaN,c7ebd7b2c01c38b72be560bf22c4c091b978bc1714833771a1ddbd22d7144355,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,24.5534876254771,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.66349265
18,18,CD_K1_L1_N1_T09,CD_K1_L1_N1_T09,9,K1,1,K1V_L1_N1,CD_K1_L1_N1_T09,9,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072708,2426072808,2426072908,7.96502300587551,9.91178873477339,6.11308483879974,NaN,NaN,NaN,NaN,NaN,c7ebd7b2c01c38b72be560bf22c4c091b978bc1714833771a1ddbd22d7144355,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,34.9306840793007,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.66349265
19,19,CD_K1_L1_N1_T10,CD_K1_L1_N1_T10,10,K1,1,K1V_L1_N1,CD_K1_L1_N1_T10,10,0,0,PRIMARY_RECT_E14_A31,WHITE,1,2426072709,2426072809,2426072909,8.17854053929987,10.0663967719869,-4.71864051270276,NaN,NaN,NaN,NaN,NaN,567156ff02a6c285205440676b240f7e9aa74d90f76ce6a00525c8e5c7e99f49,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,6.95252387389447,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.711411
20,20,CD_K1_L1_N1_T10,CD_K1_L1_N1_T10,10,K1,1,K1V_L1_N1,CD_K1_L1_N1_T10,10,0,0,SENSITIVITY_FULL_PARENT_5X5,WHITE,1,2426072709,2426072809,2426072909,8.17854053929987,10.0663967719869,-4.71864051270276,NaN,NaN,NaN,NaN,NaN,567156ff02a6c285205440676b240f7e9aa74d90f76ce6a00525c8e5c7e99f49,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,6.38041194535992,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.711411
21,21,CD_K1_L1_N2_T01,CD_K1_L1_N2_T01,11,K1,2,K1V_L1_N2,CD_K1_L1_N2_T01,1,0,0,PRIMARY_RECT_E14_A31,STAGE5_TOEPLITZ_CORRELATED,1,2426073700,2426073800,2426073900,8.45322665558264,9.9523489024709,7.24969208772511,NaN,NaN,NaN,NaN,NaN,71ae9f3102147ac9023f6f92773aac024a83dfa438af9dd70b70b27b5588878d,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,39.0555928500148,K2_UNRESOLVED,K2_UNRESOLVED,1,0,1,0,0,1,1,1,VALID_FOR_LRT,VALID_FOR_LRT,OK,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,228.3704957
22,22,CD_K1_L1_N2_T01,CD_K1_L1_N2_T01,11,K1,2,K1V_L1_N2,CD_K1_L1_N2_T01,1,0,0,SENSITIVITY_FULL_PARENT_5X5,STAGE5_TOEPLITZ_CORRELATED,1,2426073700,2426073800,2426073900,8.45322665558264,9.9523489024709,7.24969208772511,NaN,NaN,NaN,NaN,NaN,71ae9f3102147ac9023f6f92773aac024a83dfa438af9dd70b70b27b5588878d,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,44.539600704097,K2_UNRESOLVED,K2_UNRESOLVED,1,0,1,0,0,1,1,1,VALID_FOR_LRT,VALID_FOR_LRT,OK,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,228.3704957
23,23,CD_K1_L1_N2_T02,CD_K1_L1_N2_T02,12,K1,2,K1V_L1_N2,CD_K1_L1_N2_T02,2,0,0,PRIMARY_RECT_E14_A31,STAGE5_TOEPLITZ_CORRELATED,1,2426073701,2426073801,2426073901,8.38692957201039,9.8500224062638,-8.2554138370609,NaN,NaN,NaN,NaN,NaN,f4c39b35e96bfc97f9be38d9ddcdfa9f7b83e4de4984f36d8177748a658edd85,6558aaba29063111c316d5ccbed1861ed8a5df73fff96ab242efbf0e470594e1,074158e7c069e5d2d1eb9487171814cfda7a3795a33d5e2fce70bb9f72740c11,38.4305621692124,5.66819986311109,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.69221875
24,24,CD_K1_L1_N2_T02,CD_K1_L1_N2_T02,12,K1,2,K1V_L1_N2,CD_K1_L1_N2_T02,2,0,0,SENSITIVITY_FULL_PARENT_5X5,STAGE5_TOEPLITZ_CORRELATED,1,2426073701,2426073801,2426073901,8.38692957201039,9.8500224062638,-8.2554138370609,NaN,NaN,NaN,NaN,NaN,f4c39b35e96bfc97f9be38d9ddcdfa9f7b83e4de4984f36d8177748a658edd85,6ef25d82d7fb24d23dd3309eb2b3b5a671f0a3ed8e2acedef1ebfa9682eb413d,fa112e2fc1828199f3d4dc4367c83dbea582e692ebeb7903929dbf9fd193d185,38.4840335105626,5.86297960056996,K1,K1,0,0,0,0,0,1,0,0,VALID_FOR_LRT,VALID_FOR_LRT,NOT_RUN_LRT_DID_NOT_EXCEED_THRESHOLD,1,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.69221875
