trial_id,white_snr_db,profile_id,noise_profile_id,L,replicate_id,tangent_valid,full4d_valid,tangent_loglik,full4d_loglik,likelihood_tolerance,numerical_optimization_incomplete_flag,complete_likelihood_subset_flag,tangent_joint_RMSE_deg,full4d_joint_RMSE_deg,paired_delta_deg,paired_outcome,optimizer_status,score_call_count,SVD_call_count,runtime_sec
MC1_K2_N1_L1_SM6_P4_R05,-6,P4,WHITE,1,5,1,1,-22.4423720733407,-22.4414130274641,3.18925288998751e-13,0,1,0.625186263745669,0.625747504374407,-0.000561240628737636,TANGENT_WIN,FULL4D_CML_STATIONARY,852,1704,0.7543124
MC1_K2_N1_L1_SM6_P4_R06,-6,P4,WHITE,1,6,1,1,-26.4820257063251,-26.4225697946127,3.76332219876831e-13,0,1,0.109121058674029,0.100676962966929,0.00844409570710035,TANGENT_LOSS,FULL4D_CML_CONVERGED,1210,2420,1.1962587
MC1_K2_N1_L1_SM6_P4_R07,-6,P4,WHITE,1,7,1,1,-24.0571171903181,-24.0243452451253,3.41872197258199e-13,0,1,0.506671223529162,0.409265338118788,0.0974058854103745,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,3536,7072,3.3535011
MC1_K2_N1_L1_SM6_P4_R08,-6,P4,WHITE,1,8,1,1,-19.7712031995378,-19.291242116287,2.80965696213369e-13,0,1,0.654162771936874,0.671930043658467,-0.0177672717215934,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3380,6760,3.1748513
MC1_K2_N1_L1_SM6_P4_R09,-6,P4,WHITE,1,9,1,1,-23.9743497025618,-23.245674740709,3.40696000514552e-13,0,1,0.507867041840809,0.152603955621244,0.355263086219565,TANGENT_LOSS,FULL4D_CML_CONVERGED,644,1288,0.7031141
MC1_K2_N1_L1_SM6_P4_R10,-6,P4,WHITE,1,10,1,1,-20.5467741249329,-17.5948430909023,2.91987221955493e-13,0,1,0.527189654856897,0.156583156401172,0.370606498455725,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2764,5528,2.9911668
MC1_K2_N1_L1_SP0_P1_R01,0,P1,WHITE,1,1,1,1,-31.2060886243274,-31.2060886243274,4.43465191670035e-13,0,1,0.503991642739068,0.503991642739068,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,1494,2988,1.3701924
MC1_K2_N1_L1_SP0_P1_R02,0,P1,WHITE,1,2,1,1,-30.620753552734,-30.620753552734,4.35147080007908e-13,0,1,0.544457512412142,0.544457512412142,3.33066907387547e-16,TIE,FULL4D_CML_STATIONARY,561,1122,0.5601566
MC1_K2_N1_L1_SP0_P1_R03,0,P1,WHITE,1,3,1,1,-29.263737149231,-29.2464773555491,4.15862717051581e-13,0,1,0.261357369473256,0.205313602732139,0.0560437667411171,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,4263,8526,3.8268424
MC1_K2_N1_L1_SP0_P1_R04,0,P1,WHITE,1,4,1,1,-27.9226121720411,-27.7878583698134,3.96804184845807e-13,0,1,0.548895979730589,0.649421891095307,-0.100525911364718,TANGENT_WIN,FULL4D_CML_STATIONARY,2844,5688,2.5514027
MC1_K2_N1_L1_SP0_P1_R05,0,P1,WHITE,1,5,1,1,-33.7972057392309,-33.5247507389449,4.80287180540002e-13,0,1,0.55,0.615234758874163,-0.0652347588741626,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3951,7902,3.5487671
MC1_K2_N1_L1_SP0_P1_R06,0,P1,WHITE,1,6,1,1,-26.1251506529539,-26.0181543543777,3.71260720341893e-13,0,1,0.617484248029375,0.434186434102259,0.183297813927116,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,3389,6778,3.0732355
MC1_K2_N1_L1_SP0_P1_R07,0,P1,WHITE,1,7,1,1,-26.5674372100771,-26.575454469099,3.77545990347657e-13,1,0,0.310818907681661,0.244225804944151,0.06659310273751,TANGENT_LOSS,FULL4D_CML_CONVERGED,3219,6438,2.9529438
MC1_K2_N1_L1_SP0_P1_R08,0,P1,WHITE,1,8,1,1,-21.832411602135,-21.832411602135,3.10257229360431e-13,0,1,0.543342230446356,0.543342230446356,0,TIE,FULL4D_CML_STATIONARY,869,1738,0.7716896
MC1_K2_N1_L1_SP0_P1_R09,0,P1,WHITE,1,9,1,1,-19.9209657531907,-18.930612530441,2.83093950105108e-13,0,1,0.421482130413158,0.205392055130251,0.216090075282907,TANGENT_LOSS,FULL4D_CML_STATIONARY,1961,3922,1.8209324
MC1_K2_N1_L1_SP0_P1_R10,0,P1,WHITE,1,10,1,1,-30.6315958256465,-30.5329137164786,4.35301157973051e-13,0,1,0.186096806153759,0.154069198571461,0.0320276075822982,TANGENT_LOSS,FULL4D_CML_CONVERGED,2210,4420,2.0080683
MC1_K2_N1_L1_SP0_P2_R01,0,P2,WHITE,1,1,1,1,-39.5295210715216,-39.1754908659773,5.6174828090891e-13,0,1,0.33166247903554,0.714488527949329,-0.382826048913789,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3156,6312,2.8671469
MC1_K2_N1_L1_SP0_P2_R02,0,P2,WHITE,1,2,1,1,-32.7506899054783,-32.7506899054783,4.65415296069385e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,570,1140,0.504022
MC1_K2_N1_L1_SP0_P2_R03,0,P2,WHITE,1,3,1,1,-20.9040471329112,-18.9705834742703,2.97064376765536e-13,0,1,0.714142842854284,0.727785644573077,-0.0136428017187932,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3179,6358,2.9359033
MC1_K2_N1_L1_SP0_P2_R04,0,P2,WHITE,1,4,1,1,-29.613018256717,-29.58874713704,4.2082630012483e-13,0,1,0.728010988928051,0.82922665155732,-0.101215662629269,TANGENT_WIN,FULL4D_CML_STATIONARY,3320,6640,3.0008302
MC1_K2_N1_L1_SP0_P2_R05,0,P2,WHITE,1,5,1,1,-23.6044051555033,-23.2405831247876,3.35438772303623e-13,0,1,0.714142842854284,0.782223815026901,-0.0680809721726171,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4782,9564,4.2366146
MC1_K2_N1_L1_SP0_P2_R06,0,P2,WHITE,1,6,1,1,-30.099403696182,-30.099403696182,4.27738252940657e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,531,1062,0.4878576
MC1_K2_N1_L1_SP0_P2_R07,0,P2,WHITE,1,7,1,1,-16.7716476533386,-16.7716476533386,2.38339448136153e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,753,1506,0.6753369
MC1_K2_N1_L1_SP0_P2_R08,0,P2,WHITE,1,8,1,1,-24.2955007287332,-24.2955007287332,3.45259831089112e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,619,1238,0.5430229
MC1_K2_N1_L1_SP0_P2_R09,0,P2,WHITE,1,9,1,1,-19.4658872511614,-18.9102361083313,2.76626895628758e-13,0,1,0.223606797749979,0.132784076051224,0.090822721698755,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,3310,6620,3.084747
MC1_K2_N1_L1_SP0_P2_R10,0,P2,WHITE,1,10,1,1,-21.640644070314,-21.4102485488506,3.0753204882663e-13,0,1,0.699999999999999,0.705685960954437,-0.00568596095443807,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3079,6158,2.7290703
MC1_K2_N1_L1_SP0_P3_R01,0,P3,WHITE,1,1,1,1,-33.5247406379544,-33.3390067802389,4.76415218570799e-13,0,1,0.62098711741871,0.37368547456612,0.24730164285259,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,2852,5704,2.4831674
MC1_K2_N1_L1_SP0_P3_R02,0,P3,WHITE,1,2,1,1,-30.9647550903639,-30.9706390731343,4.40035635880973e-13,1,0,0.323926738354115,0.375141327362651,-0.0512145890085363,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4342,8684,3.9857466
MC1_K2_N1_L1_SP0_P3_R03,0,P3,WHITE,1,3,1,1,-26.9221758855021,-26.1928139954361,3.82587130125985e-13,0,1,0.301039864469808,0.0487506727392778,0.25228919173053,TANGENT_LOSS,FULL4D_CML_CONVERGED,1494,2988,1.3886761
MC1_K2_N1_L1_SP0_P3_R04,0,P3,WHITE,1,4,1,1,-31.8794265828403,-31.7766552511584,4.53033899572692e-13,0,1,0.301039864469807,0.392615031209445,-0.0915751667396382,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,5437,10874,4.7699962
MC1_K2_N1_L1_SP0_P3_R05,0,P3,WHITE,1,5,1,1,-29.8486139768478,-29.4273763991119,4.24174316675132e-13,0,1,0.248259370176027,0.265046853732011,-0.0167874835559843,TANGENT_WIN,FULL4D_CML_CONVERGED,1117,2234,1.0331744
MC1_K2_N1_L1_SP0_P3_R06,0,P3,WHITE,1,6,1,1,-21.3417576968731,-21.2941644895285,3.03284617997308e-13,0,1,0.250505333775021,0.173976867538251,0.0765284662367705,TANGENT_LOSS,FULL4D_CML_CONVERGED,1314,2628,1.1720662
MC1_K2_N1_L1_SP0_P3_R07,0,P3,WHITE,1,7,1,1,-36.4347988350165,-35.8044163446391,5.17769632822031e-13,0,1,0.458938993767145,0.58734839072573,-0.128409396958585,TANGENT_WIN,FULL4D_CML_STATIONARY,2493,4986,2.3982035
MC1_K2_N1_L1_SP0_P3_R08,0,P3,WHITE,1,8,1,1,-34.1099276091177,-34.0141700041883,4.84731225599229e-13,0,1,0.640800280898814,0.655363282983958,-0.0145630020851436,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,3708,7416,3.3755609
MC1_K2_N1_L1_SP0_P3_R09,0,P3,WHITE,1,9,1,1,-27.6207990188852,-27.5664513204904,3.92515161975172e-13,0,1,0.430842198490352,0.51089569808339,-0.0800534995930383,TANGENT_WIN,FULL4D_CML_STATIONARY,1627,3254,1.4759655
MC1_K2_N1_L1_SP0_P3_R10,0,P3,WHITE,1,10,1,1,-28.3098213350012,-28.2425406180694,4.02306758005028e-13,0,1,0.274999999999999,0.344540295319458,-0.0695402953194593,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4242,8484,3.7894717
MC1_K2_N1_L1_SP0_P4_R01,0,P4,WHITE,1,1,1,1,-35.4988139629263,-35.3368709943696,5.0446848778913e-13,0,1,0.455992250140432,0.455899898082995,9.23520574371284e-05,TANGENT_LOSS,FULL4D_CML_STATIONARY,1413,2826,1.3162354
MC1_K2_N1_L1_SP0_P4_R02,0,P4,WHITE,1,2,1,1,-34.2028201853436,-33.9985190736632,4.86051308504096e-13,0,1,0.440212217645539,0.274906573973344,0.165305643672195,TANGENT_LOSS,FULL4D_CML_CONVERGED,2735,5470,2.5302442
MC1_K2_N1_L1_SP0_P4_R03,0,P4,WHITE,1,3,1,1,-23.6364964057651,-23.6295616512885,3.35894816398722e-13,0,1,0.433507707184237,0.450929481397329,-0.017421774213092,TANGENT_WIN,FULL4D_CML_STATIONARY,1010,2020,0.9397861
MC1_K2_N1_L1_SP0_P4_R04,0,P4,WHITE,1,4,1,1,-30.2367353840877,-30.0216290734253,4.29689853605278e-13,0,1,0.343407821967023,0.250319943288464,0.0930878786785594,TANGENT_LOSS,FULL4D_CML_CONVERGED,898,1796,0.842173
MC1_K2_N1_L1_SP0_P4_R05,0,P4,WHITE,1,5,1,1,-22.6666456251571,-22.553404388897,3.22112407860077e-13,0,1,0.576691939538613,0.534324363394503,0.0423675761441096,TANGENT_LOSS,FULL4D_CML_STATIONARY,849,1698,0.74969
MC1_K2_N1_L1_SP0_P4_R06,0,P4,WHITE,1,6,1,1,-26.4817874702187,-26.4302687945632,3.76328834338135e-13,0,1,0.129429552676418,0.0865743394284609,0.0428552132479571,TANGENT_LOSS,FULL4D_CML_CONVERGED,1385,2770,1.2372627
MC1_K2_N1_L1_SP0_P4_R07,0,P4,WHITE,1,7,1,1,-24.1686214781811,-24.0230219109997,3.43456768493142e-13,0,1,0.479212542553586,0.358936766616885,0.120275775936701,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,3644,7288,3.6543093
MC1_K2_N1_L1_SP0_P4_R08,0,P4,WHITE,1,8,1,1,-19.7621509380497,-18.8443952611306,2.80837055840517e-13,0,1,0.551168573636418,0.652598826390213,-0.101430252753795,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,2508,5016,2.3623992
MC1_K2_N1_L1_SP0_P4_R09,0,P4,WHITE,1,9,1,1,-24.8254569018537,-23.3738901100935,3.52790961270752e-13,0,1,0.436872824030368,0.0862136675686472,0.350659156461721,TANGENT_LOSS,FULL4D_CML_CONVERGED,1332,2664,1.2818945
MC1_K2_N1_L1_SP0_P4_R10,0,P4,WHITE,1,10,1,1,-18.1737310433075,-17.7372425254413,2.58264251489599e-13,0,1,0.0724477604607794,0.100481975967151,-0.0280342155063711,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,2708,5416,2.8787874
MC1_K2_N1_L1_SP10_P1_R01,10,P1,WHITE,1,1,1,1,-30.7566520534534,-30.7560418856341,4.37078313857646e-13,0,1,0.417142153169426,0.41493845446587,0.00220369870355608,TANGENT_LOSS,FULL4D_CML_STATIONARY,1062,2124,1.0015438
MC1_K2_N1_L1_SP10_P1_R02,10,P1,WHITE,1,2,1,1,-30.3487055000262,-30.222966380389,4.31281044655324e-13,0,1,0.466526726198633,0.452969169645469,0.0135575565531638,TANGENT_LOSS,FULL4D_CML_CONVERGED,3626,7252,3.2071894
MC1_K2_N1_L1_SP10_P1_R03,10,P1,WHITE,1,3,1,1,-30.0744770764974,-29.1827367510336,4.27384024369778e-13,0,1,0.185759755501198,0.115095942011975,0.070663813489223,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,5009,10018,4.4319935
MC1_K2_N1_L1_SP10_P1_R04,10,P1,WHITE,1,4,1,1,-27.7685151174407,-27.2958466206927,3.9461433399084e-13,0,1,0.424350790182847,0.619338595525998,-0.194987805343151,TANGENT_WIN,FULL4D_CML_STATIONARY,2447,4894,2.1560417
MC1_K2_N1_L1_SP10_P1_R05,10,P1,WHITE,1,5,1,1,-34.326547383871,-34.082372563738,4.87809577746688e-13,0,1,0.141681308325435,0.140919703761007,0.000761604564427532,TANGENT_LOSS,FULL4D_CML_CONVERGED,2470,4940,2.1783457
MC1_K2_N1_L1_SP10_P1_R06,10,P1,WHITE,1,6,1,1,-26.9951862017742,-26.0890123032945,3.83624669123239e-13,0,1,0.42291889257068,0.23394612341709,0.18897276915359,TANGENT_LOSS,FULL4D_CML_MAX_SWEEPS_VALID,3797,7594,3.3826105
MC1_K2_N1_L1_SP10_P1_R07,10,P1,WHITE,1,7,1,1,-26.4232945496289,-26.3999596296387,3.75497599941765e-13,0,1,0.137333133996172,0.132971549192793,0.00436158480337856,TANGENT_LOSS,FULL4D_CML_CONVERGED,2891,5782,2.5583542
MC1_K2_N1_L1_SP10_P1_R08,10,P1,WHITE,1,8,1,1,-21.3275396519125,-21.2834895480171,3.03082567426038e-13,0,1,0.154910483815205,0.127482100986991,0.0274283828282143,TANGENT_LOSS,FULL4D_CML_CONVERGED,1556,3112,1.3816015
MC1_K2_N1_L1_SP10_P1_R09,10,P1,WHITE,1,9,1,1,-19.8454851889418,-18.463187706645,2.82021306772745e-13,0,1,0.240098284578658,0.155763798470523,0.0843344861081347,TANGENT_LOSS,FULL4D_CML_STATIONARY,3195,6390,3.07742
MC1_K2_N1_L1_SP10_P1_R10,10,P1,WHITE,1,10,1,1,-30.4018622287541,-30.2736454323818,4.32036447204412e-13,0,1,0.102289525064548,0.107053546380941,-0.00476402131639307,TANGENT_WIN,FULL4D_CML_STATIONARY,2343,4686,2.0609518
MC1_K2_N1_L1_SP10_P2_R01,10,P2,WHITE,1,1,1,1,-39.472888597173,-38.7224115048579,5.60943485043779e-13,0,1,0.113964451629746,0.713240952766995,-0.599276501137249,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,5642,11284,4.9582244
MC1_K2_N1_L1_SP10_P2_R02,10,P2,WHITE,1,2,1,1,-31.5505002615945,-31.5191271225468,4.48359575409462e-13,0,1,0.556776436283002,0.55700854217752,-0.00023210589451772,TANGENT_WIN,FULL4D_CML_STATIONARY,1327,2654,1.2203987
MC1_K2_N1_L1_SP10_P2_R03,10,P2,WHITE,1,3,1,1,-23.2265588275464,-18.6705374639754,3.30069253032354e-13,0,1,0.144596882962185,0.594554980338905,-0.44995809737672,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4189,8378,3.73608
MC1_K2_N1_L1_SP10_P2_R04,10,P2,WHITE,1,4,1,1,-29.8836778844923,-29.4271707659214,4.24672604772415e-13,0,1,0.173205080756888,0.300607603287003,-0.127402522530115,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4082,8164,3.6352582
MC1_K2_N1_L1_SP10_P2_R05,10,P2,WHITE,1,5,1,1,-24.0045941872772,-23.8360453183966,3.41125800492779e-13,0,1,0.360555127546399,0.453955780349689,-0.0934006528032902,TANGENT_WIN,FULL4D_CML_MAX_SWEEPS_VALID,4563,9126,4.0047303
MC1_K2_N1_L1_SP10_P2_R06,10,P2,WHITE,1,6,1,1,-27.8347282726904,-27.8347282726904,3.95555279520329e-13,0,1,0.574456264653802,0.574456264653802,-4.44089209850063e-16,TIE,FULL4D_CML_STATIONARY,1560,3120,1.4101603
MC1_K2_N1_L1_SP10_P2_R07,10,P2,WHITE,1,7,1,1,-16.9242953916875,-15.9659866199832,2.40508702968434e-13,0,1,0.519615242270663,0.442467601936016,0.077147640334647,TANGENT_LOSS,FULL4D_CML_CONVERGED,1469,2938,1.3105744
