scope_type,scope_value,N,classification,claim_authorized,tangent_valid_count,anchored_valid_count,median_joint_tangent,median_joint_anchored,p90_joint_tangent,p90_joint_anchored,median_center_tangent,median_center_anchored,median_axis_tangent,median_axis_anchored,median_rho_tangent,median_rho_anchored,median_vector_tangent,median_vector_anchored,wins,ties,losses,raw_candidate_valid_count,raw_candidate_valid_rate,upgrade_count,fallback_count,fallback_rate,median_b_parallel_abs,median_b_perp,median_alpha_correction_error_normalized,median_anchor_valid_ratio,median_conditional_invalid_ratio,median_q2_nonconcave_ratio,median_rho_out_of_contract_ratio,median_kappa_rho_selected,analysis_only_flag,fitting_rerun,new_trial_count,new_seed_count
PROFILE_X_SNR,P1|SNR=-6,6,DESCRIPTIVE_ONLY,0,6,6,0.141681308325435,0.141681308325435,0.16124099571104,0.158839948839907,0.0264536123346437,0.095487558886004,3.03776849848968,3.03776849848975,0.116839671438465,0.0343521430645084,0.120217765105006,0.0499192063449135,2,2,2,5,0.833333333333333,4,2,0.333333333333333,0.0441021013713822,0.0512993550672618,0.107097177680379,0.130769230769231,0.869230769230769,0,0.253846153846154,0.000301990873960822,1,0,0,0
PROFILE_X_SNR,P1|SNR=0,6,DESCRIPTIVE_ONLY,0,6,6,0.0814411966457624,0.0660984440932298,0.141180338774024,0.138725269547111,0.00795576723541212,0.0111456439352703,1.75233202850191,1.75233202850223,0.153131234415297,0.116367621045748,0.153555641482921,0.117010496193587,4,1,1,5,0.833333333333333,5,1,0.166666666666667,0.0190145843007578,0.0278558465323808,0.0401531044310071,0.338461538461538,0.661538461538462,0,0.123076923076923,0.000265584328426681,1,0,0,0
PROFILE_X_SNR,P1|SNR=6,6,DESCRIPTIVE_ONLY,0,6,6,0.0364885327630127,0.0515065966494786,0.125575044381189,0.137262010400027,0.00603353511601476,0.0221238373512345,1.37121414347593,0.900289862786807,0.0691631808811702,0.0473600196161592,0.0709655042439536,0.0492513005380705,1,1,4,6,1,4,2,0.333333333333333,0.0163232748536028,0.0119206503163986,0.124399918872107,0.315384615384615,0.684615384615385,0,0.238461538461538,0.000376639245736876,1,0,0,0
PROFILE_X_NOISE,P1|NOISE=WHITE,9,DESCRIPTIVE_ONLY,0,9,9,0.132842712474619,0.0614539091485799,0.156702455213163,0.144286425432318,0.00842362488714335,0.0404250073545083,1.81013542306374,1.81013542306415,0.1,0.0370890909925962,0.159267558729392,0.0523280973569168,2,3,4,7,0.777777777777778,6,3,0.333333333333333,0.0200510530046129,0.0488496887998157,0.157790613493973,0.307692307692308,0.692307692307692,0,0.307692307692308,0.000193057804301136,1,0,0,0
PROFILE_X_NOISE,P1|NOISE=STAGE5_TOEPLITZ_CORRELATED,9,DESCRIPTIVE_ONLY,0,9,9,0.0746590787068532,0.0707429790378797,0.143248639675034,0.148280862059674,0.0104659607456838,0.013321383934239,1.48942582230024,1.25300246465132,0.0972631024031354,0.056459941236643,0.0979888072789196,0.057946498549444,5,1,3,9,1,7,2,0.222222222222222,0.0210789275592303,0.0257752401724212,0.0401531044310071,0.338461538461538,0.661538461538462,0,0.169230769230769,0.000392622793854524,1,0,0,0
PROFILE_X_L,P2|L=1,6,DESCRIPTIVE_ONLY,0,6,6,0.15984740705521,0.283413202499318,0.202719241502607,0.497956567638069,0.101332287188035,0.266553169725604,21.4189528922658,13.9971445899094,0.198999999999999,0.145990758940007,0.199271011691482,0.177236448805848,1,0,5,6,1,5,1,0.166666666666667,0.297533370564242,0.175460661262823,1.32753482389807,0.315384615384615,0.684615384615385,0,0.2,6.00193783354848e-05,1,0,0,0
PROFILE_X_L,P2|L=4,6,DESCRIPTIVE_ONLY,0,6,6,0.114743615094734,0.0954203336160214,0.212890338316401,0.178009920928221,0.0630285877737936,0.0612534254068376,5.53706635378616,4.41489666366335,0.184408172461652,0.134886352090966,0.188494657949016,0.139372378940778,2,0,4,6,1,5,1,0.166666666666667,0.311631156171637,0.0344218948914094,0.297557048911762,0.153846153846154,0.846153846153846,0,0.407692307692308,6.25392391181818e-05,1,0,0,0
PROFILE_X_L,P2|L=8,6,DESCRIPTIVE_ONLY,0,6,6,0.0739666427776617,0.104891903575883,0.16560204397206,0.213536420427049,0.0590142502017735,0.094342095834057,6.30694264174438,7.84938045469398,0.0698995735857235,0.0755095998855008,0.0971375904528456,0.0812620899553918,3,0,3,6,1,6,0,0,0.292210242659093,0.0398685766206334,0.467917876155297,0.2,0.8,0,0.415384615384615,3.12982269115497e-05,1,0,0,0
PROFILE_X_SNR,P2|SNR=-6,6,DESCRIPTIVE_ONLY,0,6,6,0.142443103835455,0.232550185942187,0.193744798772947,0.497956567638069,0.0683454451525056,0.171270657237925,19.4207095369781,12.931357949039,0.160092825823576,0.141713870316341,0.188536402083282,0.149355542723809,1,0,5,6,1,5,1,0.166666666666667,0.337771477925737,0.164006235853582,0.872556460089424,0.107692307692308,0.892307692307692,0,0.484615384615385,6.2059862810717e-05,1,0,0,0
PROFILE_X_SNR,P2|SNR=0,6,DESCRIPTIVE_ONLY,0,6,6,0.183306248847838,0.0995136384922181,0.223606797749979,0.287103761933722,0.0794510715415084,0.0754948237513157,4.67955602772507,3.73349194859208,0.1995,0.121945758774037,0.199500237550483,0.126286113334823,3,0,3,6,1,5,1,0.166666666666667,0.28971490804423,0.0511206977405942,0.41099510163153,0.184615384615385,0.815384615384615,0,0.315384615384615,6.59782336682285e-05,1,0,0,0
PROFILE_X_SNR,P2|SNR=6,6,DESCRIPTIVE_ONLY,0,6,6,0.0744640423689882,0.0962105684998478,0.114483367876778,0.144477339009112,0.0605426861383388,0.0461607684583583,4.41489666366309,4.41489666366335,0.0687934190549564,0.097618233671369,0.0847344177835773,0.141231982665823,2,0,4,6,1,6,0,0,0.292210242659093,0.0370674164688637,0.2034262703143,0.238461538461538,0.761538461538461,0,0.392307692307692,2.10389539830899e-05,1,0,0,0
PROFILE_X_NOISE,P2|NOISE=WHITE,9,DESCRIPTIVE_ONLY,0,9,9,0.0838203983234296,0.11075653016733,0.206460462656254,0.287931650716328,0.0598421541379179,0.100000000000001,7.59730032909502,5.7051721707589,0.110332636009271,0.116289844991258,0.119271064643967,0.124960076190529,2,0,7,9,1,7,2,0.222222222222222,0.275315317327551,0.104585073213781,0.509732528717412,0.169230769230769,0.830769230769231,0,0.446153846153846,3.57004451524655e-05,1,0,0,0
PROFILE_X_NOISE,P2|NOISE=STAGE5_TOEPLITZ_CORRELATED,9,DESCRIPTIVE_ONLY,0,9,9,0.111681126914023,0.100785182876181,0.22081957102371,0.415348441364607,0.0674764385361439,0.086134153501096,9.99358873862922,9.38202761124215,0.169816344923302,0.127601672556816,0.199000475100964,0.14757847804518,4,0,5,9,1,9,0,0,0.314435293333565,0.0396845986701879,0.426103223593182,0.230769230769231,0.769230769230769,0,0.2,3.76595433624806e-05,1,0,0,0
PROFILE_X_L,P3|L=1,6,DESCRIPTIVE_ONLY,0,6,6,0.0930104307121241,0.0944944454848899,0.109268539479448,0.205522018993561,0.0387552456116307,0.0720085388488819,6.06699517354618,11.8947182144174,0.145415569877759,0.146404525879018,0.148942113404092,0.146442160791749,3,1,2,4,0.666666666666667,4,2,0.333333333333333,0.239315040239777,0.0603646370410517,0.234192643328177,0.176923076923077,0.823076923076923,0,0.546153846153846,4.03007622707159e-05,1,0,0,0
PROFILE_X_L,P3|L=4,6,DESCRIPTIVE_ONLY,0,6,6,0.0690690939160265,0.0868165171205563,0.0862391840435912,0.241716960115351,0.0112129365997471,0.0706878275214951,5.10939500515409,5.10939500515087,0.129432093796967,0.109778132871662,0.129483371185784,0.11292969770597,1,0,5,5,0.833333333333333,5,1,0.166666666666667,0.0678532438233674,0.0304686545102245,0.4549597017696,0.392307692307692,0.607692307692308,0,0.276923076923077,3.65667165665771e-05,1,0,0,0
PROFILE_X_L,P3|L=8,6,DESCRIPTIVE_ONLY,0,6,6,0.0647376343188757,0.0795766706717966,0.0777489912075342,0.195604771607376,0.00722294826672308,0.0458864708476256,1.40474764273147,1.4047476427405,0.123322193899096,0.0787953687694162,0.123332966489649,0.0791297611387957,1,0,5,6,1,6,0,0,0.0301248200611072,0.0400977552177643,0.305379430605726,0.169230769230769,0.830769230769231,0,0.369230769230769,1.34090829971553e-05,1,0,0,0
PROFILE_X_SNR,P3|SNR=-6,6,DESCRIPTIVE_ONLY,0,6,6,0.0888762771932571,0.0961439339044155,0.109268539479448,0.266260257151666,0.0466518806230379,0.086520560765888,1.70105989621521,1.70105989622385,0.12940705350355,0.0762106615567038,0.129468628049181,0.0762197149232199,2,1,3,4,0.666666666666667,4,2,0.333333333333333,0.261333189020543,0.062779541240056,0.389213100776421,0.1,0.9,0,0.330769230769231,3.63511330988754e-05,1,0,0,0
PROFILE_X_SNR,P3|SNR=0,6,DESCRIPTIVE_ONLY,0,6,6,0.0753536637823909,0.0604490776870873,0.0930104307121241,0.202346116433125,0.0112129365997471,0.0315857803924083,9.06189232976142,9.06189232975821,0.145464334275913,0.0850971125059027,0.149005210474551,0.0885714859561547,2,0,4,6,1,6,0,0,0.0678532438233674,0.0482332597755294,0.206206868770202,0.353846153846154,0.646153846153846,0,0.361538461538462,1.14955101797605e-05,1,0,0,0
PROFILE_X_SNR,P3|SNR=6,6,DESCRIPTIVE_ONLY,0,6,6,0.0521289266594715,0.0818047120396407,0.0767418918446766,0.174237377131499,0.00606708196812941,0.0639101210327554,1.34669746140659,1.34669746140684,0.103735045370376,0.136546328704117,0.103735606319955,0.136546526873742,1,0,5,5,0.833333333333333,5,1,0.166666666666667,0.0265757132156848,0.0182449022588547,0.395612998278301,0.338461538461538,0.661538461538462,0,0.376923076923077,1.16598951930717e-05,1,0,0,0
PROFILE_X_NOISE,P3|NOISE=WHITE,9,DESCRIPTIVE_ONLY,0,9,9,0.075193650897843,0.0799667243370343,0.0981872812642831,0.187991087598944,0.0250116855216519,0.0322872331409542,1.97975933491871,1.97975933491871,0.148999999999997,0.0991024379582479,0.149000030882301,0.0991484116633835,4,1,4,7,0.777777777777778,7,2,0.222222222222222,0.158217014520687,0.0374889829264227,0.175219737183804,0.323076923076923,0.676923076923077,0,0.461538461538462,1.16598951930717e-05,1,0,0,0
PROFILE_X_NOISE,P3|NOISE=STAGE5_TOEPLITZ_CORRELATED,9,DESCRIPTIVE_ONLY,0,9,9,0.0748762360792096,0.08921022716839,0.103593723531774,0.224134671650988,0.0122739744420357,0.0730411215317764,2.24923636295897,4.00087965243033,0.109864187593938,0.117134942629918,0.148903323014588,0.123419965565502,1,0,8,8,0.888888888888889,8,1,0.111111111111111,0.0793587530132242,0.0404159893158711,0.440436825179296,0.184615384615385,0.815384615384615,0,0.292307692307692,4.80522020765949e-05,1,0,0,0
PROFILE_X_L,P4|L=1,6,DESCRIPTIVE_ONLY,0,6,6,0.165104641694893,0.196532399874626,0.372388853790681,0.372388853790681,0.0504172254776847,0.111803398874989,43.9732801758848,43.9732801759074,0.317262612930918,0.347213595499958,0.321232435009531,0.353761482156571,0,3,3,5,0.833333333333333,2,4,0.666666666666667,0.434056147594008,0.338876268817415,0.87791291269407,0.1,0.9,0,0.215384615384615,3.42333062147732e-06,1,0,0,0
PROFILE_X_L,P4|L=4,6,DESCRIPTIVE_ONLY,0,6,6,0.111540004990774,0.160807161633466,0.189186089048673,0.275444893140949,0.0382665643018139,0.107731996029322,1.28653859347151,1.28653859350191,0.0990000000000005,0.0990708033286731,0.0990002762527845,0.0990734472672856,2,0,4,4,0.666666666666667,4,2,0.333333333333333,0.372089316569354,0.0948409443962322,0.895279364959258,0.261538461538462,0.738461538461539,0,0,2.43113789573997e-05,1,0,0,0
PROFILE_X_L,P4|L=8,6,DESCRIPTIVE_ONLY,0,6,6,0.0929413910675392,0.154491290256151,0.148480585395862,0.232416469519136,0.0421732496878629,0.10819270397272,17.3183401944648,17.3183401944743,0.0989999999999992,0.104695664015093,0.099071651468071,0.145603449819554,3,0,3,6,1,6,0,0,0.387450992420255,0.0957642100919599,1.06855110399178,0.153846153846154,0.846153846153846,0,0.146153846153846,5.75535713736223e-06,1,0,0,0
PROFILE_X_SNR,P4|SNR=-6,6,DESCRIPTIVE_ONLY,0,6,6,0.146578332545545,0.21863207813302,0.319163010875529,0.362335864933081,0.0382929931003193,0.143796133499885,42.3606350248972,42.3606350248512,0.176392182283564,0.139482936062183,0.244929381851486,0.236657405190744,1,1,4,4,0.666666666666667,4,2,0.333333333333333,0.277243973735107,0.183770133381006,1.30300276270119,0.0538461538461538,0.946153846153846,0.0307692307692308,0.376923076923077,2.72801950582068e-05,1,0,0,0
PROFILE_X_SNR,P4|SNR=0,6,DESCRIPTIVE_ONLY,0,6,6,0.0872222457885977,0.179931473036821,0.155348702690219,0.219045877586096,0.0396224961938242,0.109173422616981,11.208058529652,11.2080585296518,0.0989999999999995,0.146225208255512,0.0990705952798067,0.148493528663787,2,1,3,6,1,5,1,0.166666666666667,0.48728858754853,0.0948409443962322,1.03218030535095,0.230769230769231,0.769230769230769,0,0.146153846153846,8.71797361463416e-06,1,0,0,0
PROFILE_X_SNR,P4|SNR=6,6,DESCRIPTIVE_ONLY,0,6,6,0.107653261703802,0.162094927378761,0.254070123818816,0.285497881998549,0.0529415501732181,0.107731996029322,6.03345135210936,11.1258083066276,0.133508117163236,0.223252656440936,0.153418603886023,0.226529243384891,2,1,3,5,0.833333333333333,3,3,0.5,0.523780923809279,0.0896031964545962,0.87791291269407,0.184615384615385,0.815384615384615,0,0.0615384615384615,7.58481171971629e-06,1,0,0,0
PROFILE_X_NOISE,P4|NOISE=WHITE,9,DESCRIPTIVE_ONLY,0,9,9,0.146397432399695,0.203845555131389,0.280839881994792,0.349916448486875,0.0472881362159801,0.111803398874989,15.4600897149578,18.4349488229221,0.25378436456713,0.24732087171053,0.288703387862492,0.266224230923384,2,2,5,7,0.777777777777778,5,4,0.444444444444444,0.466570612480513,0.102208690036523,0.87791291269407,0.0615384615384615,0.938461538461538,0,0.2,8.47387813734103e-06,1,0,0,0
PROFILE_X_NOISE,P4|NOISE=STAGE5_TOEPLITZ_CORRELATED,9,DESCRIPTIVE_ONLY,0,9,9,0.0912310221022886,0.176051095083551,0.173857006559866,0.259083443955308,0.0508344509553688,0.111803398874989,39.7212700497944,18.4349488229221,0.098999999999999,0.0963687072140455,0.0991791955302425,0.103020925639216,3,1,5,8,0.888888888888889,7,2,0.222222222222222,0.389875268384416,0.13457945881682,0.890138314915112,0.230769230769231,0.769230769230769,0,0.123076923076923,9.67067739713159e-06,1,0,0,0
