trial_id,global_trial_index,element_trial_hash,measurement_hash,noise_profile_id,L,profile_id,white_beamspace_snr_target_db,replicate_id,base_realization_index,source_seed,noise_seed,snr_control_domain,white_snr_scaling_relative_error,whitening_residual,N_element,raw_beam_count,whitening_rank,element_signal_energy,element_noise_expected_energy,element_noise_realized_energy,element_snr_expected_db,element_snr_realized_db,raw_beam_signal_energy,raw_beam_noise_expected_energy,raw_beam_noise_realized_energy,raw_beam_snr_expected_db,raw_beam_snr_realized_db,white_beam_signal_energy,white_beam_noise_expected_energy,white_beam_noise_realized_energy,white_beam_snr_expected_db,white_beam_snr_realized_db,raw_receive_gain_db,white_receive_gain_db,raw_peak_beam_index,raw_peak_beam_snr_expected_db,raw_median_beam_snr_expected_db,true_center_projected_signal_energy,true_center_projected_noise_expected_energy,true_center_projected_noise_realized_energy,k2_projected_snr_expected_db,k2_projected_snr_realized_db,raw_covariance_residual,whitening_covariance_residual,whitening_trace,truth_only_diagnostic_flag,fitting_rerun_flag
MC1_K2_N2_L8_SP0_P4_R01,1612,f76ada0fba82af419b00e0a73cfab4e67b9e6fc1b32f302d62770954e0fc1cd6,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,0,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,8.43769498715119e-15,3.10707119171564e-09,2080,15,15,90.5206730591766,16640,16217.6801579489,-22.6440554749835,-22.5324095663603,867.024516731218,225.096670837424,312.758442216288,5.85662306268486,4.42822336800104,120.0000000705,120.000000070501,116.403430819665,-3.66444437290251e-14,0.132154656101124,28.5006785376684,22.6440554749835,8,7.76467912901604,6.18679977862274,0.0420988819459612,112.00000007049,106.268073330131,-34.2494746086431,-34.0213224469062,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP6_P4_R01,1613,ac9013a2acee8183f115530f22b3df7f1cb2df5356b78402ccb515e2c5e66bfa,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,6,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.24936185987444e-14,3.10707119171564e-09,2080,15,15,360.36929028187,16640,16217.6801579489,-16.6440554749835,-16.5324095663603,3451.68677156379,225.096670837424,312.758442216288,11.8566230626849,10.428223368001,477.728604944859,120.000000070501,116.403430819665,5.99999999999994,6.13215465610111,28.5006785376684,22.6440554749835,8,13.764679129016,12.1867997786227,0.167598667749607,112.00000007049,106.268073330131,-28.2494746086461,-28.0213224469092,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP10_P4_R01,1614,9795a1ca95329e82544d80c92c683454024c33ad1ed1dad30e4b763d9fbc2171,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,10,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.56319401867222e-14,3.10707119171564e-09,2080,15,15,905.206730591766,16640,16217.6801579489,-12.6440554749835,-12.5324095663603,8670.24516731218,225.096670837424,312.758442216288,15.8566230626849,14.428223368001,1200.00000070499,120.000000070501,116.403430819665,9.99999999999993,10.1321546561011,28.5006785376684,22.6440554749835,8,17.764679129016,16.1867997786227,0.420988819459621,112.00000007049,106.268073330131,-24.249474608643,-24.0213224469061,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP14_P4_R01,1615,ce1de11a7d49ef61f6f26f6bbb85ade27622f8c483e9104c133a8289b60e320f,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,14,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.61237130111753e-14,3.10707119171564e-09,2080,15,15,2273.77650428461,16640,16217.6801579489,-8.64405547498354,-8.53240956636031,21778.671193633,225.096670837424,312.758442216288,19.8566230626849,18.428223368001,3014.26371958235,120.000000070501,116.403430819665,13.9999999999999,14.1321546561011,28.5006785376684,22.6440554749835,8,21.764679129016,20.1867997786227,1.05747610341755,112.00000007049,106.268073330131,-20.2494746086443,-20.0213224469073,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP18_P4_R01,1616,3cf3bdd83a305d5498a6653a4bfd9cffb068bb551f6ed2e912e613c2ff702a12,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,18,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.15991837520464e-14,3.10707119171564e-09,2080,15,15,5711.46834939779,16640,16217.6801579489,-4.64405547498354,-4.53240956636031,54705.5486675952,225.096670837424,312.758442216288,23.8566230626849,22.428223368001,7571.48813821053,120.000000070501,116.403430819665,18,18.1321546561011,28.5006785376684,22.6440554749835,8,25.764679129016,24.1867997786227,2.65625987582214,112.00000007049,106.268073330131,-16.2494746086411,-16.0213224469041,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP22_P4_R01,1617,2ba178c2942262044c4d2a07635626a8c6723b9b5182082943a347cfb44a1c27,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,22,1,230,430100230,430200230,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.11608058431985e-14,3.10707119171564e-09,2080,15,15,14346.5598508487,16640,16217.6801579489,-0.644055474983541,-0.532409566360313,137414.12542642,225.096670837424,312.758442216288,27.8566230626849,26.428223368001,19018.7183207066,120.000000070501,116.403430819665,21.9999999999999,22.1321546561011,28.5006785376684,22.6440554749834,8,29.764679129016,28.1867997786227,6.67222314063878,112.00000007049,106.268073330131,-12.2494746086425,-12.0213224469055,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SM6_P4_R02,1618,32ab4bd4cfa93afe25168b2622aea53c61e473a07c00762615164c1e6cc293e1,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,-6,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.83026943495679e-15,3.10707119171564e-09,2080,15,15,22.7350352257106,16640,16886.9462680622,-28.6445769051629,-28.7085549007841,215.673853279661,225.096670837424,211.801763752647,-0.185715742581761,0.0786792528821223,30.1426371958244,120.000000070501,112.85630771126,-5.99999999999993,-5.73344591170703,28.4588611625811,22.6445769051629,8,1.69664597844159,-0.0985603410388386,0.258305093070109,112.00000007049,108.06292214622,-26.3708505358615,-26.2154373782897,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP0_P4_R02,1619,ad284caa4bd5fc1e29aed31a6b6755c2782bafd6ed44b912240f81dea75966c1,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,0,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.574918139293e-14,3.10707119171564e-09,2080,15,15,90.5098054614174,16640,16886.9462680622,-22.6445769051629,-22.7085549007841,858.613074915358,225.096670837424,211.801763752647,5.81428425741824,6.07867925288212,120.000000070505,120.000000070501,112.85630771126,1.55256722115076e-13,0.266554088293062,28.4588611625811,22.644576905163,8,7.69664597844159,5.90143965896116,1.02833109741753,112.00000007049,108.06292214622,-20.3708505358593,-20.2154373782874,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP6_P4_R02,1620,01d532a4d2e104269611ef99d06f420f7b5e9a653442dad339fd61688c9e91f7,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,6,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.43179362011276e-14,3.10707119171564e-09,2080,15,15,360.326025595923,16640,16886.9462680622,-16.6445769051629,-16.7085549007841,3418.20021854791,225.096670837424,211.801763752647,11.8142842574182,12.0786792528821,477.728604944877,120.000000070501,112.85630771126,6.0000000000001,6.26655408829301,28.4588611625811,22.644576905163,8,13.6966459784416,11.9014396589612,4.09385983585044,112.00000007049,108.06292214622,-14.3708505358595,-14.2154373782877,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP10_P4_R02,1621,121591e856e463bb174dcdaef4343836fe6c49f289e8f5cc27b3b8caeb9361b8,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,10,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.03757019537443e-14,3.10707119171564e-09,2080,15,15,905.098054614174,16640,16886.9462680622,-12.6445769051629,-12.7085549007841,8586.13074915358,225.096670837424,211.801763752647,15.8142842574182,16.0786792528821,1200.00000070504,120.000000070501,112.85630771126,10.0000000000001,10.266554088293,28.4588611625811,22.644576905163,8,17.6966459784416,15.9014396589612,10.2833109741735,112.00000007049,108.06292214622,-10.37085053586,-10.2154373782882,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP14_P4_R02,1622,a61a4bbf3ef63dcbe37292c44005de2c115318cb64c985e0990f354013afa0d5,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,14,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.85281263549471e-14,3.10707119171564e-09,2080,15,15,2273.50352257106,16640,16886.9462680622,-8.64457690516289,-8.70855490078406,21567.3853279661,225.096670837424,211.801763752647,19.8142842574182,20.0786792528821,3014.26371958245,120.000000070501,112.85630771126,14.0000000000001,14.266554088293,28.4588611625811,22.644576905163,8,21.6966459784416,19.9014396589612,25.8305093070201,112.00000007049,108.06292214622,-6.37085053586,-6.21543737828819,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP18_P4_R02,1623,842ceb4a577c670af3c4ea7dea926d2327f1e9e61d364d21dca592f9c94ce388,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,18,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.72524511455849e-14,3.10707119171564e-09,2080,15,15,5710.78265033548,16640,16886.9462680622,-4.64457690516289,-4.70855490078406,54174.8225684567,225.096670837424,211.801763752647,23.8142842574182,24.0786792528821,7571.48813821082,120.000000070501,112.85630771126,18.0000000000001,18.266554088293,28.4588611625811,22.644576905163,8,25.6966459784416,23.9014396589612,64.883305847283,112.00000007049,108.06292214622,-2.37085053586019,-2.21543737828837,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP22_P4_R02,1624,f0dd221209dc0755b6d2476ea21a940472a38029780440eb885272732e045422,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,22,2,231,430100231,430200231,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.79753026401608e-14,3.10707119171564e-09,2080,15,15,14344.837452678,16640,16886.9462680622,-0.644576905162882,-0.708554900784054,136081.001739146,225.096670837424,211.801763752647,27.8142842574182,28.0786792528821,19018.7183207075,120.000000070501,112.85630771126,22.0000000000001,22.266554088293,28.4588611625811,22.644576905163,8,29.6966459784416,27.9014396589612,162.979495589271,112.00000007049,108.06292214622,1.62914946413967,1.78456262171149,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SM6_P4_R03,1625,a783ae672918bbc0624ae32ebc227cb060848db6ddfb656cd1309d0cd25e663f,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,-6,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,9.99200722162641e-16,3.10707119171564e-09,2080,15,15,22.7830256328131,16640,16356.8755090517,-28.635419231783,-28.5608894953374,217.812857007041,225.096670837424,325.172990480984,-0.14285560254982,-1.7403095344094,30.1426371958238,120.000000070501,124.99922466295,-6.00000000000002,-6.17726072900108,28.4925636292332,22.635419231783,8,1.75825321010885,0.123361299788033,0.0665536272798864,112.00000007049,113.05031544855,-32.2604629273898,-32.3010004830678,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP0_P4_R03,1626,0bbc07e30c7f80cf47e29b8f076956e83ee596aa9624aa5c8972884b6c63b22e,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,0,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,4.44089209850063e-16,3.10707119171564e-09,2080,15,15,90.7008587132701,16640,16356.8755090517,-22.635419231783,-22.5608894953374,867.128602132465,225.096670837424,325.172990480984,5.85714439745018,4.2596904655906,120.000000070501,120.000000070501,124.99922466295,1.92865493310657e-15,-0.177260729001061,28.4925636292332,22.635419231783,8,7.75825321010886,6.12336129978804,0.264954762464682,112.00000007049,113.05031544855,-26.2604629273897,-26.3010004830677,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP6_P4_R03,1627,913efc169321fdffeccfb7d66bd24d1f10b8dd5e3cf6f8831824e3cc91078217,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,6,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.6811554799872e-15,3.10707119171564e-09,2080,15,15,361.086622291125,16640,16356.8755090517,-16.635419231783,-16.5608894953374,3452.10114300965,225.096670837424,325.172990480984,11.8571443974502,10.2596904655906,477.728604944863,120.000000070501,124.99922466295,5.99999999999998,5.82273927099892,28.4925636292332,22.635419231783,8,13.7582532101089,12.123361299788,1.05480390809508,112.00000007049,113.05031544855,-20.2604629273889,-20.3010004830669,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP10_P4_R03,1628,17960c19f418582590ae642f6f9aa300f3bec6611481d059a130371f3b2f83c8,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,10,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,9.41469124882133e-15,3.10707119171564e-09,2080,15,15,907.008587132701,16640,16356.8755090517,-12.635419231783,-12.5608894953374,8671.28602132465,225.096670837424,325.172990480984,15.8571443974502,14.2596904655906,1200.000000705,120.000000070501,124.99922466295,9.99999999999996,9.8227392709989,28.4925636292332,22.635419231783,8,17.7582532101089,16.123361299788,2.64954762464748,112.00000007049,113.05031544855,-16.2604629273887,-16.3010004830666,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP14_P4_R03,1629,b94bc5a5c1eda08f78dee7e4b3712d5e266c995556f67a5cc5031cb160b1fd05,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,14,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.01833976912686e-14,3.10707119171564e-09,2080,15,15,2278.3025632813,16640,16356.8755090517,-8.635419231783,-8.5608894953374,21781.2857007041,225.096670837424,325.172990480984,19.8571443974502,18.2596904655906,3014.26371958236,120.000000070501,124.99922466295,14,13.8227392709989,28.4925636292332,22.635419231783,8,21.7582532101089,20.123361299788,6.65536272798617,112.00000007049,113.05031544855,-12.2604629273915,-12.3010004830694,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
MC1_K2_N2_L8_SP18_P4_R03,1630,bdbb145348b6829dc14dc21e07e60ab9a196d43808ed28907788bd6e954579f3,7ac5f2ed7f8b920df52a4e1cde4f3ee8f80b69a8208c8d8579b1925f9a445627,STAGE5_TOEPLITZ_CORRELATED,8,P4,18,3,232,430100232,430200232,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6.30635233120972e-15,3.10707119171564e-09,2080,15,15,5722.83729557981,16640,16356.8755090517,-4.635419231783,-4.5608894953374,54712.1160124322,225.096670837424,325.172990480984,23.8571443974502,22.2596904655906,7571.48813821057,120.000000070501,124.99922466295,18,17.8227392709989,28.4925636292332,22.635419231783,8,25.7582532101089,24.123361299788,16.7175153332056,112.00000007049,113.05031544855,-8.2604629273908,-8.30100048306873,1.45208054544538e-16,3.10707119171564e-09,15.0000000088126,1,0
