row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,NATURAL,L,1,CORE_PLUS,24,24,24,0.194917445166767,0.363706191037933,0.100070713319443,0.309787137637478,11.8481229520415,45.0000000000001,0.250697526415884,0.476557778131753,0.251113396987448,0.486971488706173,2.61252845,3.176383,,0,0,0,0
METHOD,NATURAL,L,4,CORE_PLUS,24,24,24,0.155297614340821,0.388684110130188,0.0820972944068295,0.349977567475704,11.2987208211845,45.0000000000001,0.198072739949584,0.502455532033676,0.206155281280883,0.548003169719533,2.35380575,3.2112166,,0,0,0,0
METHOD,NATURAL,L,8,CORE_PLUS,24,24,24,0.141681308325435,0.250388139221863,0.0812244331770969,0.210725147643469,0.367445128826581,37.0304846468766,0.141240473740062,0.33273236070082,0.166240473740062,0.337316235655046,2.6815281,3.85808323,,0,0,0,0
METHOD,NATURAL,NOISE,WHITE,CORE_PLUS,36,36,36,0.152208081812739,0.370467555103829,0.100070713319442,0.270503484934642,3.09653451521191,45.0000000000001,0.162997830665358,0.432455532033676,0.192752362282859,0.447213595499958,2.27855415,3.1474268,,0,0,0,0
METHOD,NATURAL,NOISE,STAGE5_TOEPLITZ_CORRELATED,CORE_PLUS,36,36,36,0.143790631140787,0.352675976256304,0.100000000000001,0.292705098312484,1.37421418480376,45.0000000000001,0.199498387284621,0.479053755500807,0.211896134168863,0.502383078557291,2.8854593,3.805243,,0,0,0,0
METHOD,NATURAL,PROFILE,P1,TANGENT_PROFILE_SAFE,18,18,18,0.0521246308457133,0.178593334333965,0.0107157538049777,0.0737115722430701,2.78923286572049,20.8739795291689,0.0818049776175255,0.275679797464466,0.0864088623604577,0.2756821314031,4.98029295,5.55390039,,0,0,0,0
METHOD,NATURAL,PROFILE,P2,TANGENT_PROFILE_SAFE,18,18,18,0.113812256177493,0.33369316876853,0.0782233936850213,0.218994949366117,4.2921027287993,23.7971937277244,0.198999999999997,0.473931786601994,0.199003502479375,0.498736100624784,4.98981055,5.29836604,,0,0,0,0
METHOD,NATURAL,PROFILE,P3,TANGENT_PROFILE_SAFE,18,18,18,0.0581319402666474,0.0857037434240468,0.0180101131141833,0.0536779152107075,6.026038579077,13.435237547046,0.0989630650452616,0.149,0.0994712223949935,0.149024749667929,4.93110305,5.34776072,,0,0,0,0
METHOD,NATURAL,PROFILE,P4,TANGENT_PROFILE_SAFE,18,18,18,0.0879198284202638,0.221084693433074,0.031868885335556,0.154848826033631,8.78027887246201,52.684642694725,0.0989999999999998,0.249849300656989,0.0990206878533476,0.274318713571566,4.9554411,5.30308642,,0,0,0,0
METHOD,NATURAL,SNR_DB,-6,TANGENT_PROFILE_SAFE,24,24,24,0.111898016336571,0.289857421658004,0.0475704114461928,0.133215874809101,7.20918474911583,38.961940878085,0.181117767337473,0.464513838175061,0.181121706727676,0.516622181126457,4.90602625,5.42953197,,0,0,0,0
METHOD,NATURAL,SNR_DB,+0,TANGENT_PROFILE_SAFE,24,24,24,0.078137814460309,0.261388911749119,0.025957945358323,0.12785988630477,6.57188199677093,19.2206581168071,0.111626546482758,0.316391046625063,0.124214296061161,0.324020745840244,4.91185655,5.31608511,,0,0,0,0
METHOD,NATURAL,SNR_DB,+6,TANGENT_PROFILE_SAFE,24,24,24,0.066073722846644,0.110764549769189,0.0181453925239873,0.0883606673423406,2.088847629017,18.2347869606337,0.0990000000000001,0.149,0.0990206878533476,0.195747832572539,5.04557515,5.44759332,,0,0,0,0
METHOD,NATURAL,L,1,TANGENT_PROFILE_SAFE,24,24,24,0.101538820320221,0.265706523200613,0.0333967524966563,0.198951165296178,10.3741355380437,38.961940878085,0.123428867414117,0.40688295107356,0.165945361758575,0.433691900511962,4.92995215,5.04830096,,0,0,0,0
METHOD,NATURAL,L,4,TANGENT_PROFILE_SAFE,24,24,24,0.0765091670672102,0.325921606978476,0.0363008508820863,0.109848826033631,4.07041281549757,24.3052828356271,0.102802578113203,0.218123893356536,0.107889934563037,0.228190268924595,4.94605905,5.33479947,,0,0,0,0
