row_type,scope_type,scope_value,method_id,reference_method_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,resulting_element_snr_median_db,resulting_element_snr_min_db,resulting_element_snr_max_db,realized_white_snr_median_db,realized_white_snr_p90_db,comparison_id,paired_count,wins,ties,losses
METHOD,PROFILE,P4,CORE_LITE,,18,18,1,0.453548636089696,0.613842582580859,0.335410196624969,0.606995563410525,39.3450337629899,49.2108730403779,0.182842712474618,0.70738633753706,1.82842712474619,7.07386337537061,0.182842712474618,0.746270128963774,0,0,167,381.888888888889,0.1560371,0.17920861,-22.0329330904635,-28.644370079335,-15.4197204167865,-0.0233566966219027,6.64008693741629,,0,0,0,0
METHOD,PROFILE,P4,CORE_PLUS,,18,18,1,0.401218345717807,0.625186263745669,0.324797115381993,0.618465843842649,38.4502032276989,61.1911333238567,0.182842712474618,0.445888935494929,1.82842712474619,4.4588893549493,0.182842712474618,0.462421353027538,0.722222222222222,0.277777777777778,1786.94444444444,3623.33333333333,1.5469722,1.97093278,-22.0329330904635,-28.644370079335,-15.4197204167865,-0.0233566966219027,6.64008693741629,,0,0,0,0
METHOD,PROFILE,P4,TANGENT_PROFILE_SAFE,,18,18,1,0.373309461858374,0.613842582580859,0.28560486594701,0.606995563410525,32.8368027379387,60.5698499472675,0.182842712474618,0.46043585438703,1.82842712474619,4.60435854387031,0.182842712474618,0.481006658047966,0.5,0.5,402.333333333333,878.555555555556,4.51863255,4.57148783,-22.0329330904635,-28.644370079335,-15.4197204167865,-0.0233566966219027,6.64008693741629,,0,0,0,0
PAIRWISE,PROFILE,P4,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,18,8,9,1
PAIRWISE,PROFILE,P4,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,18,9,3,6
METHOD,NOISE,WHITE,CORE_LITE,,36,36,1,0.407541094661894,0.595970256341589,0.3,0.53851648071345,30.127559351529,67.5000000000001,0.140028153987288,0.609524158061723,1.00000000000001,3.47213595499958,0.23123933623853,0.624806409779528,0,0,158.694444444444,365.805555555556,0.1483533,0.1862111,-21.4197204092832,-27.4197207451357,-15.4197195094785,0.0732157267572234,6.16974924841433,,0,0,0,0
METHOD,NOISE,WHITE,CORE_PLUS,,36,36,1,0.366259086535284,0.639106188644571,0.293906292720867,0.62647853533696,32.6780463730684,71.9320164119126,0.150656654340917,0.441408770171107,0.991796048051166,2.70661392692221,0.233461406997195,0.45164688804057,0.722222222222222,0.277777777777778,1697.41666666667,3444.75,1.3551913,1.9636627,-21.4197204092832,-27.4197207451357,-15.4197195094785,0.0732157267572234,6.16974924841433,,0,0,0,0
METHOD,NOISE,WHITE,TANGENT_PROFILE_SAFE,,36,36,1,0.373458038170792,0.604063335477107,0.283535802689554,0.558077276737142,26.8924737181247,70.5681704901903,0.182616765679562,0.609524158061723,0.996666666666663,3.29762079030863,0.221116475715991,0.624806409779528,0.416666666666667,0.583333333333333,395.722222222222,865.861111111111,4.5152923,4.56892135,-21.4197204092832,-27.4197207451357,-15.4197195094785,0.0732157267572234,6.16974924841433,,0,0,0,0
PAIRWISE,NOISE,WHITE,TANGENT_PROFILE_SAFE,CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_LITE,36,13,21,2
PAIRWISE,NOISE,WHITE,TANGENT_PROFILE_SAFE,CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_VS_CORE_PLUS,36,19,5,12
