scenario,data_split,trial_id,method,start_id,domain_hash,iteration,score,rss,max_angle_update_deg,relative_score_change,function_converged,angle_converged,monotonicity_violation_flag,statistical_calibration_status,phase_factor
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,17714.0405401559,594.041047708335,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18280.3229031862,27.7586846781087,0.4,0.0319679952039469,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18308.0815878643,0,0.200000000000001,0.00151850078497631,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,18308.0815878643,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,16947.5122841495,1360.5693037148,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18308.0815878643,0,0.6,0.0802813581664905,0,0,0,NOT_CALIBRATED_STAGE5,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18308.0815878643,0,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19366.4146335756,1.04943583905333,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19366.4146335756,1.04943583905333,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19066.9502375674,300.513831847235,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19363.1181317397,4.34593767495971,0.6,0.0155330501460447,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19365.8162722137,1.64779720095248,0.199999999999999,0.000139344317152333,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19365.8162722137,1.64779720095248,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19360.9607996056,6.50326980909813,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19365.8162722137,1.64779720095248,0.2,0.000250786758901168,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_azimuth_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19365.8162722137,1.64779720095248,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18600.3752740902,40.4980353426508,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18616.9130634344,23.9602459984962,0.199999999999999,0.000889110520645853,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18616.9130634344,23.9602459984962,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18088.1862830896,552.687026343254,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18616.9130634344,23.9602459984962,0.6,0.0292305028304058,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18616.9130634344,23.9602459984962,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,17311.1076181684,1329.76569126446,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,18620.2630357435,20.6102736893445,0.6,0.075625167750741,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_elevation_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,18620.2630357435,20.6102736893445,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19143.3973391789,73.003074346565,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19199.2307930975,17.1696204279833,0.399999999999999,0.00291659066200923,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19199.3752441882,17.0251693372593,0.199999999999999,7.52379573331478e-06,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19199.3752441882,17.0251693372593,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18905.5677216366,310.832691888918,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19199.3752441882,17.0251693372593,0.4,0.0155407934253891,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19199.3752441882,17.0251693372593,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,18176.8914974006,1039.50891612488,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19196.1142178601,20.2861956653578,0.6,0.0560724434431088,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_both_half_grid,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19196.1142178601,20.2861956653578,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19366.0267408676,1.02923731321789,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19366.0267408676,1.02923731321789,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19366.0267408676,1.02923731321789,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19366.0267408676,1.02923731321789,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19362.6646476918,4.39133048905569,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19365.4464803281,1.60949785268531,0.200000000000001,0.00014366992802832,0,0,0,NOT_CALIBRATED_STAGE5,1
validation_fixed_center_bias,VALIDATION,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19365.4464803281,1.60949785268531,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19306.3542671309,63.0228839631091,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19350.8808619989,18.4962890950774,0.6,0.00230631812987284,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.8808619989,18.4962890950774,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19068.998085299,300.379065794928,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19341.1036628753,28.2734882186887,0.6,0.0142695267134153,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.7798226059,18.5973284880893,0.199999999999999,0.000500289947216021,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19350.7798226059,18.5973284880893,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19300.910748925,68.4664021689823,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19347.8489933997,21.5281576942616,0.800000000000001,0.00243191863250987,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.8808619989,18.4962890950774,0.200000000000001,0.000156703135331402,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19350.8808619989,18.4962890950774,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19304.8527670758,62.9925920030619,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19349.2892802326,18.5560788463117,0.6,0.00230183123864773,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19349.2892802326,18.5560788463117,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19067.1575435099,300.687815569025,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19339.615647964,28.2297111148619,0.6,0.0142893928385725,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19349.2955490091,18.5498100697914,0.199999999999999,0.000500521893571835,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19349.2955490091,18.5498100697914,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19299.4190194775,68.4263396013885,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19346.2597638524,21.5855952264719,0.800000000000001,0.00242705463452778,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19349.2892802326,18.5560788463117,0.200000000000001,0.000156594422753524,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19349.2892802326,18.5560788463117,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19305.8445213253,62.9415979988516,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19350.2730705647,18.5130487594324,0.6,0.0023013004787407,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.2730705647,18.5130487594324,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19068.2383121638,300.547807160288,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19340.5140191091,28.2721002150029,0.6,0.014279017415657,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.1983384963,18.5877808277619,0.199999999999999,0.000500727094309517,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19350.1983384963,18.5877808277619,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19300.414485844,68.3716334801538,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19347.2310830128,21.5550363113143,0.800000000000001,0.00242567832950829,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.2730705647,18.5130487594324,0.200000000000001,0.000157231158238081,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,2,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19350.2730705647,18.5130487594324,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19306.4214369386,63.1071785920612,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19350.9807548719,18.547860658764,0.199999999999999,0.00230800503753859,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,MAIN_GROUPED_CONDITIONAL_JOINT,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.9807548719,18.547860658764,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,0,19069.1282339996,300.400381531123,0,Inf,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1,19341.2612805306,28.2673350000987,0.6,0.0142708698159479,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,2,19350.9807548719,18.547860658764,0.199999999999999,0.000502525362765178,0,0,0,NOT_CALIBRATED_STAGE5,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,1,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,3,19350.9807548719,18.547860658764,0,0,1,1,0,NOT_CALIBRATED_STAGE5,1
