scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,MAIN_GROUPED_CONDITIONAL_JOINT,19349.2892802326,18.5560788463117,3.23979574669828e-07,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,GROUPED_CONDITIONAL_ONLY,19304.8527670758,62.9925920030619,0.00229686821521356,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19349.2955490091,18.5498100697914,1.12809651324325e-15,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,LOCAL_FULL_DML_REFERENCE,19349.2955490091,18.5498100697696,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,2,CONVENTIONAL_DBF,19067.1575435099,300.687815569025,0.0145813063211856,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,MAIN_GROUPED_CONDITIONAL_JOINT,19350.2730705647,18.5130487594324,-9.40032937474601e-16,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,GROUPED_CONDITIONAL_ONLY,19305.8445213253,62.9415979988516,0.00229601665451353,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.2730705647,18.5130487594324,-9.40032937474601e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,LOCAL_FULL_DML_REFERENCE,19350.2730705647,18.5130487594506,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,3,CONVENTIONAL_DBF,19068.2383121638,300.547807160288,0.0145752340224007,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,MAIN_GROUPED_CONDITIONAL_JOINT,19350.9807548719,18.547860658764,7.51998847639966e-16,1,0,64,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,GROUPED_CONDITIONAL_ONLY,19306.4214369386,63.1071785920612,0.00230269041645826,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,4,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,19350.9807548719,18.547860658764,7.51998847639966e-16,1,0,121,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
