scenario,data_split,trial_id,group_index,oracle_Kq,condition_source,eta_condition_deg,upstream_group_support_status,conditional_estimate_status,az_hat_deg,score,rss,rank_Gphi,group_noise_scale,group_recovery_relative_error,num_score_eval,num_svd,runtime_sec,fixed_measurement_hash,domain_hash,statistical_calibration_status,pass_flag,phase_factor
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,12,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.1346927056,1.37204289739748,2,0.0312500100165639,0.0947221407144488,21,42,0.0068967,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,13,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.2293640741,1.38668948075792,2,0.0312500100165639,0.0947162305186478,21,42,0.0069759,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,14,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.8368996587,1.39179602758304,2,0.0312500100165639,0.0947380942643302,21,42,0.0052807,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,15,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.4399943057,1.38565953727448,2,0.0312500100165639,0.0947044649719608,21,42,0.0059022,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,16,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.4292514637,1.29988133347069,2,0.03125,0.0947467381282142,21,42,0.0067425,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,17,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.2964512934,1.38370239328651,2,0.0312500100165639,0.0947139426831253,21,42,0.0061929,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,18,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.0357870218,1.29426362541926,2,0.03125,0.0947443277745296,21,42,0.0055718,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,19,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19305.2204390792,1.29243990440227,2,0.03125,0.0947719601921597,21,42,0.0058443,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,20,1,2,ESTIMATED_ELEVATION,10,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.9265807939,1.29875184421689,2,0.03125,0.0947308229558998,21,42,0.0068636,ccf433c83d073aaf2f715b179ced026783548b153385064557ffd1b8d59daa8b,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
normal_core_offgrid_white_l4,NORMAL_HOLDOUT,21,1,2,ESTIMATED_ELEVATION,10.2,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,CONDITIONAL_AZIMUTH_RETURNED,7.6 8.2,19306.1787610662,1.38239109754068,2,0.0312500100165639,0.094719280393878,21,42,0.0063748,36eab15ac254bfe18015ddb533b51d6529910ab8c3f8bf9b62434edd8e561919,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,NOT_CALIBRATED_STAGE5,1,1
