az_center_grid,el_center_grid,score_grid,score_grid_norm,truth_center_az,truth_center_el,fixed_est_center_az,fixed_est_center_el,c05_est_center_az,c05_est_center_el
-0.726,9.751,93415.7472772649,0.322428145672423,0,10.31,0.02,10.36,-0.012,10.312
-0.726,9.811,94757.7438400249,0.329808964643502,0,10.31,0.02,10.36,-0.012,10.312
-0.726,9.871,95999.5196378982,0.336638581515187,0,10.31,0.02,10.36,-0.012,10.312
-0.726,9.931,97144.0865183768,0.342933561084829,0,10.31,0.02,10.36,-0.012,10.312
-0.726,9.991,98184.2435824012,0.348654299277528,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.051,99103.9915502597,0.353712801987714,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.111,99880.9101785364,0.357985760585145,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.171,100489.421515891,0.361332499427474,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.231,100904.650999539,0.36361621142444,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.291,101106.37996229,0.364725696349071,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.351,101082.450162094,0.364594085338906,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.411,100831.014752787,0.363211220963162,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.471,100361.251305915,0.360627578756609,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.531,99692.4977108037,0.356949514774374,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.591,98852.1187913206,0.352327532241827,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.651,97872.640868982,0.346940521997865,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.711,96788.7443006046,0.340979221815312,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.771,95634.5992586641,0.334631563514749,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.831,94441.8387885152,0.328071525024098,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.891,93238.2646366995,0.32145201259066,0,10.31,0.02,10.36,-0.012,10.312
-0.726,10.951,92047.2297011653,0.314901464331931,0,10.31,0.02,10.36,-0.012,10.312
-0.726,11.011,90887.5556059018,0.308523396906046,0,10.31,0.02,10.36,-0.012,10.312
-0.726,11.071,89773.8176088692,0.302397972470977,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.511,86629.5198048565,0.28510471440566,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.571,88953.0235974168,0.297883704566582,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.631,91072.6138537738,0.3095411949128,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.691,93028.3877318228,0.320297714968676,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.751,94852.9153786689,0.330332396608547,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.811,96569.1661028058,0.339771568254251,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.871,98189.1746051393,0.34868141930688,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.931,99713.4703425622,0.357064861715381,0,10.31,0.02,10.36,-0.012,10.312
-0.686,9.991,101131.376026232,0.364863171681026,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.051,102422.31989902,0.371963207024838,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.111,103558.262033286,0.378210751532247,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.171,104507.186930186,0.383429723827355,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.231,105237.379689371,0.387445695789645,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.291,105721.946108384,0.390110752554652,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.351,105942.860329938,0.391325754084963,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.411,105893.824295066,0.39105606181712,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.471,105581.438350995,0.38933797686349,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.531,105024.556101131,0.386275191765144,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.591,104252.09926152,0.382026772466352,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.651,103299.900488998,0.376789794250841,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.711,102207.242659833,0.370780308192389,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.771,101013.67751172,0.364215844070148,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.831,99756.5060582134,0.357301552952398,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.891,98469.0771728276,0.350220849614658,0,10.31,0.02,10.36,-0.012,10.312
-0.686,10.951,97179.876645817,0.343130402462011,0,10.31,0.02,10.36,-0.012,10.312
-0.686,11.011,95912.2663552613,0.33615869900159,0,10.31,0.02,10.36,-0.012,10.312
-0.686,11.071,94684.6893702474,0.329407173885299,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.511,87105.9202335112,0.287724859210214,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.571,89822.80788556,0.302667413074352,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.631,92345.3027887784,0.316540830304149,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.691,94711.9973314441,0.329557364372857,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.751,96954.1158717134,0.34188874547818,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.811,99093.0460890021,0.353652603273097,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.871,101138.645949469,0.364903155380561,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.931,103088.379201078,0.375626452720773,0,10.31,0.02,10.36,-0.012,10.312
-0.646,9.991,104927.4176157,0.385740941830392,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.051,106629.889343903,0.395104330663078,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.111,108161.405719227,0.40352748570772,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.171,109482.838185229,0.410795204630941,0,10.31,0.02,10.36,-0.012,10.312
-0.646,10.231,110555.056650357,0.416692276656431,0,10.31,0.02,10.36,-0.012,10.312
