center_az,actual_center_az,selected_center_column,scenario_name,trial_id,seed,truth_az1,truth_az2,truth_el1,truth_el2,cached_status,direct_status,cached_success,direct_success,cached_rmse,direct_rmse,same_estimate_flag,same_policy_flag,same_score_flag,az_diff_max,el_diff_max,score_diff_abs,score_diff_rel,cached_policy_name,direct_policy_name,cached_confidence,direct_confidence,cached_boundary_flag,direct_boundary_flag,cached_num_pairs,direct_num_pairs,cached_cache_miss_count,cached_fallback_used,cached_runtime_total_sec,direct_runtime_total_sec,pass_flag
0,0,1,weak_secondary,8,20364617,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0497425,0.1319522,1
0,0,1,weak_secondary,9,20364618,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.102889,0.1994061,1
0,0,1,weak_secondary,10,20364619,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.049092,0.1293515,1
0,0,1,low_snr_hard,1,20365610,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0968004,0.194958,1
0,0,1,low_snr_hard,2,20365611,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0508744,0.1143887,1
0,0,1,low_snr_hard,3,20365612,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0820323,0.1769366,1
0,0,1,low_snr_hard,4,20365613,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.047717,0.1135544,1
0,0,1,low_snr_hard,5,20365614,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1226147,0.2334293,1
0,0,1,low_snr_hard,6,20365615,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0462833,0.1258134,1
0,0,1,low_snr_hard,7,20365616,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0931093,0.1836789,1
0,0,1,low_snr_hard,8,20365617,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0381229,0.1114854,1
0,0,1,low_snr_hard,9,20365618,-0.415,0.415,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1032674,0.1852301,1
0,0,1,low_snr_hard,10,20365619,-0.415,0.415,10.495,10.125,ok,ok,1,1,0.0199499373432599,0.0199499373432599,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0674517,0.1259474,1
8,7.5,5,easy_noncoherent,1,20461610,6.865,8.135,9.975,10.645,ok,ok,1,1,0.0595818764390646,0.0595818764390646,1,1,1,0,0,5.82076609134674e-11,2.74069987507408e-16,NORMAL,NORMAL,medium,medium,,,18612,18612,0,0,0.1054804,0.1841655,1
8,7.5,5,easy_noncoherent,2,20461611,6.865,8.135,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,2.91038304567337e-11,1.55011229118974e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0468561,0.1091865,1
8,7.5,5,easy_noncoherent,3,20461612,6.865,8.135,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,2.91038304567337e-11,1.34228493101916e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0451329,0.125173,1
8,7.5,5,easy_noncoherent,4,20461613,6.865,8.135,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,2.91038304567337e-11,1.56249197700243e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0552978,0.1287909,1
8,7.5,5,easy_noncoherent,5,20461614,6.865,8.135,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0496697,0.1228354,1
8,7.5,5,easy_noncoherent,6,20461615,6.865,8.135,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,5.82076609134674e-11,3.14662822986856e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.042454,0.1155456,1
8,7.5,5,easy_noncoherent,7,20461616,6.865,8.135,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,5.82076609134674e-11,2.67525321414155e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.041593,0.1144821,1
8,7.5,5,easy_noncoherent,8,20461617,6.865,8.135,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,2.91038304567337e-11,1.52371149215452e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0416812,0.1210046,1
8,7.5,5,easy_noncoherent,9,20461618,6.865,8.135,9.975,10.645,ok,ok,1,1,0.0373898381916808,0.0373898381916808,1,1,1,0,0,5.82076609134674e-11,2.68995712497791e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0456953,0.1226775,1
8,7.5,5,easy_noncoherent,10,20461619,6.865,8.135,10.645,9.975,ok,ok,1,1,0.0282488937836506,0.0282488937836506,1,1,1,0,0,2.91038304567337e-11,1.53419864378447e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0400873,0.1247871,1
8,7.5,5,strong_coherent,1,20462610,6.865,8.135,10.125,10.495,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.45451060756121e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0505461,0.1083823,1
8,7.5,5,strong_coherent,2,20462611,6.865,8.135,10.495,10.125,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,5.82076609134674e-11,3.16093591579242e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0464273,0.1213355,1
8,7.5,5,strong_coherent,3,20462612,6.865,8.135,10.125,10.495,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.45335028699221e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0465866,0.1274938,1
8,7.5,5,strong_coherent,4,20462613,6.865,8.135,10.495,10.125,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.58175961232329e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0471658,0.1296461,1
8,7.5,5,strong_coherent,5,20462614,6.865,8.135,10.125,10.495,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.45162234717532e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0523249,0.1478346,1
8,7.5,5,strong_coherent,6,20462615,6.865,8.135,10.495,10.125,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0922695,0.1710485,1
8,7.5,5,strong_coherent,7,20462616,6.865,8.135,10.125,10.495,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,8.73114913702011e-11,4.35573333860574e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0553767,0.1606007,1
8,7.5,5,strong_coherent,8,20462617,6.865,8.135,10.495,10.125,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.58080164134592e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0618941,0.1548182,1
8,7.5,5,strong_coherent,9,20462618,6.865,8.135,10.125,10.495,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.45073783858339e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0645888,0.1287905,1
8,7.5,5,strong_coherent,10,20462619,6.865,8.135,10.495,10.125,ok,ok,1,1,0.0140712472794703,0.0140712472794703,1,1,1,0,0,2.91038304567337e-11,1.58226239364965e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.05357,0.1290979,1
8,7.5,5,hard_phase,1,20463610,7.085,7.915,10.125,10.495,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0669042,0.1465307,1
8,7.5,5,hard_phase,2,20463611,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0448649,0.13574,1
8,7.5,5,hard_phase,3,20463612,7.085,7.915,10.125,10.495,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,2.91038304567337e-11,2.03874502751243e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0512487,0.1569374,1
8,7.5,5,hard_phase,4,20463613,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,5.82076609134674e-11,3.50924715704143e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.1191238,0.2045772,1
8,7.5,5,hard_phase,5,20463614,7.085,7.915,10.125,10.495,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0554613,0.1237863,1
8,7.5,5,hard_phase,6,20463615,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,8.73114913702011e-11,5.21491045932703e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0444966,0.0978863,1
8,7.5,5,hard_phase,7,20463616,7.085,7.915,10.125,10.495,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,2.91038304567337e-11,2.03859362699419e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0407673,0.1161348,1
8,7.5,5,hard_phase,8,20463617,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,2.91038304567337e-11,1.74782120105342e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0500035,0.1194838,1
8,7.5,5,hard_phase,9,20463618,7.085,7.915,10.125,10.495,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0446828,0.1179113,1
8,7.5,5,hard_phase,10,20463619,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,2.91038304567337e-11,1.75869894252964e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0387585,0.11648,1
8,7.5,5,weak_secondary,1,20464610,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,2.91038304567337e-11,2.91756487695078e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0966811,0.1804635,1
8,7.5,5,weak_secondary,2,20464611,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,4.36557456851006e-11,4.14730122585082e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.044074,0.1080114,1
8,7.5,5,weak_secondary,3,20464612,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,1.45519152283669e-11,1.45897686400438e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1080253,0.1962001,1
8,7.5,5,weak_secondary,4,20464613,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,4.36557456851006e-11,4.14628731406196e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0526485,0.1164067,1
8,7.5,5,weak_secondary,5,20464614,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,2.91038304567337e-11,2.91908762329794e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1026919,0.2141518,1
8,7.5,5,weak_secondary,6,20464615,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,2.91038304567337e-11,2.78102572949958e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0512486,0.1248777,1
8,7.5,5,weak_secondary,7,20464616,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,2.91038304567337e-11,2.91768358773466e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0924582,0.1723903,1
8,7.5,5,weak_secondary,8,20464617,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,0,0,EASY,EASY,high,high,,,9729,9729,0,0,0.0478959,0.1137226,1
8,7.5,5,weak_secondary,9,20464618,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,1.45519152283669e-11,1.45905527327836e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.0971941,0.2076453,1
8,7.5,5,weak_secondary,10,20464619,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,1.45519152283669e-11,1.38836360197625e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0707032,0.1803242,1
8,7.5,5,low_snr_hard,1,20465610,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,2.91038304567337e-11,2.92552076079925e-16,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1365605,0.2228313,1
8,7.5,5,low_snr_hard,2,20465611,7.085,7.915,10.495,10.125,ok,ok,1,1,0.0199499373432601,0.0199499373432601,1,1,1,0,0,7.27595761418343e-11,6.93371310826943e-16,EASY,EASY,high,high,,,9729,9729,0,0,0.0409913,0.1170396,1
8,7.5,5,low_snr_hard,3,20465612,7.085,7.915,10.125,10.495,ok,ok,0,0,0.141950695665783,0.141950695665783,1,1,1,0,0,0,0,NORMAL,NORMAL,medium,medium,,,23133,23133,0,0,0.1379047,0.2030309,1
