scenario_name,center_az,trial_id,repeat_id,direct_runtime_total_sec,cached_runtime_total_sec,runtime_reduction_ratio,direct_num_pairs,cached_num_pairs,same_estimate_flag,same_policy_flag,cache_miss_count
low_snr_hard,8,8,1,0.1179012,0.0510387,0.567106187214379,9729,9729,1,1,0
low_snr_hard,8,9,1,0.1917042,0.0951319,0.503756829532165,23133,23133,1,1,0
low_snr_hard,8,10,1,0.1350476,0.0544704,0.596657771037767,9729,9729,1,1,0
easy_noncoherent,15,1,1,0.1766881,0.0836716,0.526444621907191,18612,18612,1,1,0
easy_noncoherent,15,2,1,0.1105943,0.0428709,0.612358864787787,9729,9729,1,1,0
easy_noncoherent,15,3,1,0.1423134,0.0543672,0.617975538494618,9729,9729,1,1,0
easy_noncoherent,15,4,1,0.1292617,0.0464521,0.640635238434896,9729,9729,1,1,0
easy_noncoherent,15,5,1,0.1195628,0.0469619,0.607219804153131,9729,9729,1,1,0
easy_noncoherent,15,6,1,0.1394727,0.0541299,0.611896091493174,9729,9729,1,1,0
easy_noncoherent,15,7,1,0.1217851,0.0480528,0.605429564043549,9729,9729,1,1,0
easy_noncoherent,15,8,1,0.1157501,0.0382274,0.669741969985339,9729,9729,1,1,0
easy_noncoherent,15,9,1,0.1783918,0.0954876,0.464731002209743,20394,20394,1,1,0
easy_noncoherent,15,10,1,0.1287316,0.0509253,0.604407154109791,9729,9729,1,1,0
strong_coherent,15,1,1,0.1149761,0.0425114,0.630258810309273,9729,9729,1,1,0
strong_coherent,15,2,1,0.1193192,0.052385,0.560967555933999,9729,9729,1,1,0
strong_coherent,15,3,1,0.1313829,0.0496553,0.622056599450918,9729,9729,1,1,0
strong_coherent,15,4,1,0.1133326,0.0480504,0.576023138973252,9729,9729,1,1,0
strong_coherent,15,5,1,0.1200143,0.0487512,0.593788406881513,9729,9729,1,1,0
strong_coherent,15,6,1,0.1277508,0.0504145,0.605368420393454,9729,9729,1,1,0
strong_coherent,15,7,1,0.124349,0.0543155,0.56320115159752,9729,9729,1,1,0
strong_coherent,15,8,1,0.1325859,0.0487101,0.632614780304693,9729,9729,1,1,0
strong_coherent,15,9,1,0.1629342,0.0529323,0.675130819680583,9729,9729,1,1,0
strong_coherent,15,10,1,0.1133136,0.0471564,0.583841657135595,9729,9729,1,1,0
hard_phase,15,1,1,0.125061,0.0532091,0.574534827004422,9729,9729,1,1,0
hard_phase,15,2,1,0.1175056,0.042759,0.636110959818085,9729,9729,1,1,0
hard_phase,15,3,1,0.1184299,0.0492535,0.584112626963292,9729,9729,1,1,0
hard_phase,15,4,1,0.1502841,0.0741068,0.506888619621104,9729,9729,1,1,0
hard_phase,15,5,1,0.1693515,0.0540747,0.680695476567967,9729,9729,1,1,0
hard_phase,15,6,1,0.1218073,0.0449106,0.631297959974484,9729,9729,1,1,0
hard_phase,15,7,1,0.1103256,0.0408502,0.629730543047126,9729,9729,1,1,0
hard_phase,15,8,1,0.113158,0.0449987,0.602337439686103,9729,9729,1,1,0
hard_phase,15,9,1,0.1218988,0.0444571,0.635295015209338,9729,9729,1,1,0
hard_phase,15,10,1,0.1118558,0.0506576,0.54711691302552,9729,9729,1,1,0
weak_secondary,15,1,1,0.2423842,0.113917,0.530014745185536,23133,23133,1,1,0
weak_secondary,15,2,1,0.1254806,0.0484489,0.613893303028516,9729,9729,1,1,0
weak_secondary,15,3,1,0.2042658,0.1194818,0.415067035206089,23133,23133,1,1,0
weak_secondary,15,4,1,0.1264133,0.0535321,0.576531108672901,9729,9729,1,1,0
weak_secondary,15,5,1,0.2046669,0.0934591,0.543359966853458,23133,23133,1,1,0
weak_secondary,15,6,1,0.1142009,0.041147,0.639696359660913,9729,9729,1,1,0
weak_secondary,15,7,1,0.1965847,0.121359,0.38266304549642,23133,23133,1,1,0
weak_secondary,15,8,1,0.1220751,0.0551945,0.547864388396979,9729,9729,1,1,0
weak_secondary,15,9,1,0.2212675,0.1029288,0.534821878495486,23133,23133,1,1,0
weak_secondary,15,10,1,0.122855,0.0558646,0.545280208375728,9729,9729,1,1,0
low_snr_hard,15,1,1,0.2249472,0.0903068,0.598542235689086,23133,23133,1,1,0
low_snr_hard,15,2,1,0.123506,0.0525387,0.574606092011724,9729,9729,1,1,0
low_snr_hard,15,3,1,0.1895946,0.093447,0.507122038285901,23133,23133,1,1,0
low_snr_hard,15,4,1,0.1113886,0.0487328,0.562497418945924,9729,9729,1,1,0
low_snr_hard,15,5,1,0.207723,0.0951742,0.541821560443475,23133,23133,1,1,0
low_snr_hard,15,6,1,0.1176662,0.0439667,0.626343843856604,9729,9729,1,1,0
low_snr_hard,15,7,1,0.2207082,0.1024434,0.535842347497737,23133,23133,1,1,0
low_snr_hard,15,8,1,0.1225529,0.0496649,0.594747247923142,9729,9729,1,1,0
low_snr_hard,15,9,1,0.2116939,0.1153587,0.455068379391187,23133,23133,1,1,0
